from_path,from_table,from_column,to_path,to_label,to_column
nyc/,city_record_online.csv,DueDate,nyc/,recent_contract_awards.csv,StartDate
nyc/,city_record_online.csv,DueDate,nyc/,recent_contract_awards.csv,EndDate
nyc/,city_record_online.csv,EndDate,nyc/,recent_contract_awards.csv,StartDate
nyc/,city_record_online.csv,EndDate,nyc/,recent_contract_awards.csv,EndDate
nyc/,city_record_online.csv,StartDate,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,city_record_online.csv,EndDate,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,city_record_online.csv,DueDate,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,city_record_online.csv,StartDate,nyc/,capital_projects1.csv,Date Reported As Of
nyc/,city_record_online.csv,StartDate,nyc/,capital_projects1.csv,Design Start
nyc/,city_record_online.csv,StartDate,nyc/,city_record_online.csv,EndDate
nyc/,city_record_online.csv,EndDate,nyc/,city_record_online.csv,StartDate
nyc/,city_record_online.csv,StartDate,nyc/,city_record_online.csv,DueDate
nyc/,city_record_online.csv,DueDate,nyc/,city_record_online.csv,StartDate
nyc/,city_record_online.csv,EndDate,nyc/,city_record_online.csv,DueDate
nyc/,city_record_online.csv,DueDate,nyc/,city_record_online.csv,EndDate
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,film_permits.csv,EnteredOn
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,film_permits.csv,EndDateTime
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,film_permits.csv,StartDateTime
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,capital_projects1.csv,Forecast Completion
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,capital_projects1.csv,Design Start
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,capital_projects1.csv,Date Reported As Of
nyc/,agency_spending.csv,AGENCY NAME,nyc/,recent_contract_awards.csv,AgencyName
nyc/,agency_spending.csv,AGENCY NAME,nyc/,city_record_online.csv,AgencyName
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,recent_contract_awards.csv,EndDate
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,recent_contract_awards.csv,StartDate
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,evictions.csv,Executed Date
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,city_record_online.csv,DueDate
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,city_record_online.csv,EndDate
nyc/,agency_spending.csv,PUBLICATION DATE,nyc/,city_record_online.csv,StartDate
nyc/,agency_spending.csv,FIRST PLAN FISCAL YEAR,nyc/,civil_list.csv,CALENDAR YEAR
nyc/,agency_spending.csv,AGENCY NAME,nyc/,civil_list.csv,AGENCY NAME
nyc/,film_permits.csv,StartDateTime,nyc/,city_record_online.csv,StartDate
nyc/,film_permits.csv,Category,nyc/,capital_projects2.csv,Category
nyc/,film_permits.csv,Borough,nyc/,capital_projects2.csv,Borough
nyc/,film_permits.csv,EnteredOn,nyc/,capital_projects1.csv,Date Reported As Of
nyc/,film_permits.csv,EndDateTime,nyc/,capital_projects1.csv,Date Reported As Of
nyc/,film_permits.csv,StartDateTime,nyc/,capital_projects1.csv,Date Reported As Of
nyc/,film_permits.csv,EnteredOn,nyc/,capital_projects1.csv,Forecast Completion
nyc/,film_permits.csv,EndDateTime,nyc/,capital_projects1.csv,Forecast Completion
nyc/,film_permits.csv,StartDateTime,nyc/,capital_projects1.csv,Forecast Completion
nyc/,film_permits.csv,EnteredOn,nyc/,capital_projects1.csv,Design Start
nyc/,film_permits.csv,EndDateTime,nyc/,capital_projects1.csv,Design Start
nyc/,film_permits.csv,StartDateTime,nyc/,capital_projects1.csv,Design Start
nyc/,film_permits.csv,EnteredOn,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,film_permits.csv,EndDateTime,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,film_permits.csv,StartDateTime,nyc/,agency_spending.csv,PUBLICATION DATE
nyc/,film_permits.csv,ParkingHeld,nyc/,housing.csv,Address
nyc/,film_permits.csv,Borough,nyc/,housing.csv,Borough
nyc/,film_permits.csv,ZipCode(s),nyc/,housing.csv,Postcode
nyc/,film_permits.csv,EnteredOn,nyc/,recent_contract_awards.csv,EndDate
nyc/,film_permits.csv,EnteredOn,nyc/,recent_contract_awards.csv,StartDate
nyc/,film_permits.csv,EndDateTime,nyc/,city_record_online.csv,StartDate
nyc/,film_permits.csv,StartDateTime,nyc/,city_record_online.csv,EndDate
