Project ID,Project Name,Project Start Date,Address,Borough,Postcode,Community Board,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status
52733,HCCI 2,12/04/2014,166 WEST 120 STREET,Manhattan,10027.0,MN-10,MN11,Preservation,Non Prevailing Wage
52733,HCCI 2,12/04/2014,203 WEST 140 STREET,Manhattan,10030.0,MN-10,MN03,Preservation,Non Prevailing Wage
52733,HCCI 2,12/04/2014,205 WEST 140 STREET,Manhattan,10030.0,MN-10,MN03,Preservation,Non Prevailing Wage
52733,HCCI 2,12/04/2014,211 WEST 140 STREET,Manhattan,10030.0,MN-10,MN03,Preservation,Non Prevailing Wage
52733,HCCI 2,12/04/2014,213 WEST 140 STREET,Manhattan,10030.0,MN-10,MN03,Preservation,Non Prevailing Wage
52733,HCCI 2,12/04/2014,215 WEST 140 STREET,Manhattan,10030.0,MN-10,MN03,Preservation,Non Prevailing Wage
52733,HCCI 2,12/04/2014,223 WEST 145 STREET,Manhattan,10039.0,MN-10,MN03,Preservation,Non Prevailing Wage
52733,HCCI 2,12/04/2014,210 WEST 147 STREET,Manhattan,10039.0,MN-10,MN03,Preservation,Non Prevailing Wage
52733,HCCI 2,12/04/2014,302 WEST 150 STREET,Manhattan,10039.0,MN-10,MN03,Preservation,Non Prevailing Wage
52733,HCCI 2,12/04/2014,308 WEST 150 STREET,Manhattan,10039.0,MN-10,MN03,Preservation,Non Prevailing Wage
52733,HCCI 2,12/04/2014,86 WEST 120 STREET,Manhattan,10027.0,MN-10,MN11,Preservation,Non Prevailing Wage
54565,CONFIDENTIAL,12/04/2014,---- ----,Brooklyn,,BK-18,,Preservation,Non Prevailing Wage
54646,CONFIDENTIAL,12/04/2014,---- ----,Queens,,QN-14,,New Construction,Non Prevailing Wage
58248,CONFIDENTIAL,12/04/2014,---- ----,Staten Island,,SI-01,,Preservation,Non Prevailing Wage
58290,CONFIDENTIAL,12/03/2014,---- ----,Queens,,QN-07,,Preservation,Non Prevailing Wage
58508,BAM South Apartments (20140284),12/03/2014,286 ASHLAND PLACE,Brooklyn,11217.0,BK-02,BK68,New Construction,Non Prevailing Wage
54643,CONFIDENTIAL,12/02/2014,---- ----,Queens,,QN-08,,New Construction,Non Prevailing Wage
65100,25 WOODBINE LLC,12/02/2014,25 WOODBINE STREET,Brooklyn,11221.0,BK-04,BK78,New Construction,Non Prevailing Wage
53603,CONFIDENTIAL,11/26/2014,---- ----,Bronx,,BX-03,,Preservation,Non Prevailing Wage
54391,CONFIDENTIAL,11/26/2014,---- ----,Queens,,QN-07,,New Construction,Non Prevailing Wage
44265,CULVER EL PHASE I,11/25/2014,1204 37 STREET,Brooklyn,11218.0,BK-12,BK88,New Construction,Non Prevailing Wage
44265,CULVER EL PHASE I,11/25/2014,1208 37 STREET,Brooklyn,11218.0,BK-12,BK88,New Construction,Non Prevailing Wage
44265,CULVER EL PHASE I,11/25/2014,1214 37 STREET,Brooklyn,11218.0,BK-12,BK88,New Construction,Non Prevailing Wage
44265,CULVER EL PHASE I,11/25/2014,1220 37 STREET,Brooklyn,11218.0,BK-12,BK88,New Construction,Non Prevailing Wage
44265,CULVER EL PHASE I,11/25/2014,1226 37 STREET,Brooklyn,11218.0,BK-12,BK88,New Construction,Non Prevailing Wage
