Project ID,Project Name,Project Start Date,Address,Borough,Postcode,Community Board,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status
53118,CONFIDENTIAL,08/14/2014,---- ----,Queens,,QN-02,,Preservation,Non Prevailing Wage
53447,CONFIDENTIAL,08/14/2014,---- ----,Staten Island,,SI-03,,New Construction,Non Prevailing Wage
53448,CONFIDENTIAL,08/14/2014,---- ----,Queens,,QN-03,,New Construction,Non Prevailing Wage
58211,CONFIDENTIAL,08/14/2014,---- ----,Staten Island,,SI-01,,Preservation,Non Prevailing Wage
65091,1690 NELSON AVE,08/14/2014,1690 NELSON AVENUE,Bronx,10453.0,BX-05,BX36,New Construction,Non Prevailing Wage
58185,CONFIDENTIAL,08/13/2014,---- ----,Brooklyn,,BK-07,,Preservation,Non Prevailing Wage
49544,BRC. 330 EAST 4TH ST. CLYDE BURTON,08/08/2014,330 EAST 4 STREET,Manhattan,10009.0,MN-03,MN28,Preservation,Non Prevailing Wage
53108,CONFIDENTIAL,08/08/2014,---- ----,Queens,,QN-12,,Preservation,Non Prevailing Wage
53107,CONFIDENTIAL,08/07/2014,---- ----,Queens,,QN-05,,Preservation,Non Prevailing Wage
58176,CONFIDENTIAL,08/07/2014,---- ----,Staten Island,,SI-01,,Preservation,Non Prevailing Wage
58184,CONFIDENTIAL,08/07/2014,---- ----,Queens,,QN-13,,Preservation,Non Prevailing Wage
53446,CONFIDENTIAL,08/05/2014,---- ----,Staten Island,,SI-03,,New Construction,Non Prevailing Wage
