fk_table,fk_column,pk_table,pk_column,Match Type
recent_contract_awards.csv,VendorAddress,housing.csv,Postcode,sem-overlap
recent_contract_awards.csv,StartDate,housing.csv,Project Start Date,equi-overlap
recent_contract_awards.csv,EndDate,housing.csv,Project Start Date,equi-overlap
recent_contract_awards.csv,StartDate,agency_spending.csv,PUBLICATION DATE,sem-overlap
recent_contract_awards.csv,EndDate,agency_spending.csv,PUBLICATION DATE,sem-overlap
recent_contract_awards.csv,StartDate,capital_projects1.csv,Date Reported As Of,sem-overlap
recent_contract_awards.csv,EndDate,capital_projects1.csv,Date Reported As Of,sem-overlap
recent_contract_awards.csv,StartDate,capital_projects1.csv,Design Start,equi-overlap
recent_contract_awards.csv,EndDate,capital_projects1.csv,Design Start,equi-overlap
recent_contract_awards.csv,StartDate,capital_projects1.csv,Forecast Completion,equi-overlap
recent_contract_awards.csv,EndDate,capital_projects1.csv,Forecast Completion,equi-overlap
recent_contract_awards.csv,StartDate,film_permits.csv,StartDateTime,sem-overlap
recent_contract_awards.csv,EndDate,film_permits.csv,StartDateTime,sem-overlap
recent_contract_awards.csv,StartDate,film_permits.csv,EndDateTime,sem-overlap
recent_contract_awards.csv,EndDate,film_permits.csv,EndDateTime,sem-overlap
recent_contract_awards.csv,StartDate,film_permits.csv,EnteredOn,sem-overlap
recent_contract_awards.csv,EndDate,film_permits.csv,EnteredOn,sem-overlap
housing.csv,Postcode,film_permits.csv,ZipCode(s),equi-overlap
housing.csv,Borough,film_permits.csv,Borough,equi-overlap
housing.csv,Address,film_permits.csv,ParkingHeld,sem-overlap
housing.csv,Borough,capital_projects2.csv,Borough,equi-overlap
housing.csv,Project Name,capital_projects2.csv,Project Name,equi-overlap
evictions.csv,BOROUGH,capital_projects2.csv,Borough,equi-overlap
agency_spending.csv,AGENCY NAME,city_record_online.csv,AgencyName,sem-overlap
agency_spending.csv,AGENCY NAME,recent_contract_awards.csv,AgencyName,sem-overlap
agency_spending.csv,PUBLICATION DATE,capital_projects1.csv,Date Reported As Of,sem-overlap
agency_spending.csv,PUBLICATION DATE,capital_projects1.csv,Design Start,sem-overlap
agency_spending.csv,PUBLICATION DATE,capital_projects1.csv,Forecast Completion,sem-overlap
agency_spending.csv,PUBLICATION DATE,film_permits.csv,StartDateTime,sem-overlap
agency_spending.csv,PUBLICATION DATE,film_permits.csv,EndDateTime,sem-overlap
agency_spending.csv,PUBLICATION DATE,film_permits.csv,EnteredOn,sem-overlap
capital_projects1.csv,Design Start,capital_projects1.csv,Date Reported As Of,sem-overlap
capital_projects1.csv,Forecast Completion,capital_projects1.csv,Date Reported As Of,sem-overlap
capital_projects1.csv,Design Start,film_permits.csv,StartDateTime,sem-overlap
capital_projects1.csv,Design Start,film_permits.csv,EndDateTime,sem-overlap
capital_projects1.csv,Design Start,film_permits.csv,EnteredOn,sem-overlap
capital_projects1.csv,Forecast Completion,film_permits.csv,StartDateTime,sem-overlap
capital_projects1.csv,Forecast Completion,film_permits.csv,EndDateTime,sem-overlap
capital_projects1.csv,Forecast Completion,film_permits.csv,EnteredOn,sem-overlap
capital_projects1.csv,Date Reported As Of,film_permits.csv,StartDateTime,sem-overlap
capital_projects1.csv,Date Reported As Of,film_permits.csv,EndDateTime,sem-overlap
capital_projects1.csv,Date Reported As Of,film_permits.csv,EnteredOn,sem-overlap
capital_projects2.csv,Borough,film_permits.csv,Borough,sem-overlap
