school/sat.School Name,school/sat.Number of Test Takers,school/sat.Critical Reading Mean,school/sat.Mathematics Mean,school/sat.Writing Mean,DBN
"New Explorations into Sci, Tech and Math HS ",47.0,568.0,583.0,568.0,01M539
William H Maxwell Voc High School ,49.0,355.0,367.0,355.0,19K660
East Brooklyn Community High School ,,,,,18K673
BRONX HIGH SCHOOL OF BUSINESS ,35.0,369.0,397.0,366.0,09X412
Bronx Center for Science and Mathematics ,73.0,447.0,495.0,454.0,09X260
YABC AT WALTON HIGH SCHOOL ,,,,,10X430
BRONX HIGH SCHOOL OF MUSIC ,38.0,421.0,432.0,439.0,10X442
FOOD AND FNANCE HIGH SCHOOL ,50.0,422.0,412.0,407.0,02M288
TEACHERS PREPARATORY SCHOOL ,59.0,396.0,389.0,389.0,23K697
YABC AT G. WASHINGTON EDUCATIONAL CAMPUS ,,,,,06M457
FREDERICK DOUGLAS ACADEMY II ,33.0,414.0,410.0,406.0,03M860
VANGUARD HIGH SCHOOL ,54.0,367.0,395.0,373.0,02M449
SCHOOL FOR HUMAN RIGHTS ,21.0,357.0,391.0,343.0,17K531
Theatre Arts Production Company School ,53.0,382.0,375.0,363.0,10X225
BACCALAUREATE SCH GLOBAL EDUC ,64.0,560.0,587.0,570.0,30Q580
SECONDARY SCHOOL FOR RESEARCH ,65.0,373.0,395.0,368.0,15K464
High School of Computers and Technology ,56.0,399.0,402.0,373.0,11X275
Aviation Career & Technical Education High School ,289.0,444.0,494.0,427.0,24Q610
EAST BRONX ACADEMY FOR THE FUTURE ,22.0,415.0,390.0,397.0,12X271
NEW UTRECHT HIGH SCHOOL ,317.0,409.0,471.0,407.0,20K445
Bronx Health School High School 11x249 ,52.0,363.0,366.0,364.0,11X249
HERITAGE SCHOOL ,47.0,369.0,385.0,361.0,04M680
Progress High School For Professional Careers ,102.0,365.0,375.0,373.0,14K474
Bronx Leadership Academy High School ,116.0,402.0,397.0,396.0,09X525
BROOKLYN PREP HIGH SCHOOL ,44.0,397.0,377.0,387.0,14K488
Urban Assembly School for Applied Math Science ,,,,,09X241
East Side Community High School ,69.0,418.0,431.0,402.0,01M450
MOTT HALL HIGH SCHOOL ,63.0,424.0,421.0,410.0,05M304
GROVER CLEVELAND HIGH SCHOOL ,269.0,398.0,431.0,391.0,24Q485
SCHOOL FOR THE PHYSICAL CITY ,14.0,382.0,404.0,359.0,02M690
YABC at Automative High School ,,,,,14K923
Bronx Academy of Letters ,51.0,416.0,406.0,435.0,07X551
AUGUST MARTIN HIGH SCHOOL ,102.0,377.0,372.0,362.0,27Q400
FREDERICK DOUGLASS ACADEMY ,216.0,465.0,481.0,466.0,05M499
Jane Addams Vocational High School ,152.0,370.0,377.0,363.0,08X650
P754 X - Jeffrey M. Rapport School for Career Devt ,,,,,75X754
Brooklyn Lab School ,,,,,19K639
PATHWAYS COLLEGE PREPARATORY SCHOOL ,42.0,406.0,415.0,394.0,29Q259
THURGOOD MARSHALL ACADEMY ,52.0,423.0,434.0,404.0,05M670
YABC AT ERASMUS CAMPUS ,,,,,17K467
LIFE SCIENCES SECONDARY SCHOOL ,71.0,399.0,389.0,383.0,02M655
Institute for Collaborative Education ,42.0,484.0,478.0,472.0,02M407
Seward Park High School ,,,,,02M445
Bronx Expeditionary Learning High School ,46.0,371.0,358.0,343.0,09X227
Urban Assembly School for Careers in Sports ,58.0,381.0,423.0,384.0,07X548
DeWitt Clinton High School ,438.0,425.0,440.0,417.0,10X440
Christopher Columbus High School ,114.0,354.0,373.0,350.0,11X415
Bronx High School of Law and Community Service ,57.0,389.0,400.0,382.0,10X439
HIGH SCHOOL OF ART AND DESIGN ,212.0,427.0,423.0,418.0,02M630
BENJAMIN BANNEKER ACADEMY ,168.0,476.0,477.0,445.0,13K670
ACADEMY FOR COLLEGE PREPARATION CAREER ,50.0,401.0,412.0,404.0,17K382
METROPOLITAN CORPORATE ACADEMY ,17.0,370.0,348.0,348.0,15K530
FDNY HIGH SCH DOR FIRE & LIFE ,29.0,376.0,375.0,363.0,19K502
JAMAICA HIGH SCHOOL ,153.0,393.0,400.0,391.0,28Q470
Civic Leadership Academy ,,,,,24Q293
High School of Applied Communication ,67.0,411.0,420.0,407.0,24Q267
Samuel Gompers Vocational Technical High School ,105.0,370.0,385.0,354.0,07X655
Urban Assembly Academy History & Citizenship ,22.0,359.0,380.0,371.0,09X239
Midwood High School at Brooklyn College ,725.0,493.0,543.0,491.0,22K405
BOYS AND GIRLS HIGH SCHOOL ,143.0,369.0,367.0,366.0,16K455
BRONX REGIONAL HIGH SCHOOL ,12.0,359.0,366.0,359.0,12X480
MONROE CAMPUS ,47.0,355.0,369.0,366.0,12X690
YOUNG WOMEN LEADERSHIP SCHOOL ,48.0,451.0,445.0,470.0,04M610
MARTIN VAN BUREN HIGH SCHOOL ,343.0,402.0,411.0,398.0,26Q435
PEACE & DIVERSITY ACAD HIGH SCHOOL ,24.0,408.0,400.0,401.0,12X278
Gateway School for Environmental Research & Tech ,31.0,377.0,367.0,368.0,08X295
FRANCIS LEWIS HIGH SCHOOL ,808.0,457.0,530.0,454.0,26Q430
Robert H. Goddard High School for Communication Art ,,,,,27Q308
CANARSIE HIGH SCHOOL ,128.0,372.0,373.0,364.0,18K500
Expeditionary Learning Sch for Community Leaders ,,,,,21K572
SECONDARY SCHOOL JOURNALISM ,75.0,393.0,372.0,370.0,15K463
LEON M GOLDSTEIN HIGH SCHOOL ,239.0,543.0,578.0,559.0,22K535
BARD HIGH SCHOOL EARLY COLLEGE II ,42.0,545.0,548.0,541.0,24Q299
High School for Innovation in Advertising and Media ,,,,,18K617
INTERNATIONAL COMMUNITY HIGH SCHOOL ,33.0,322.0,335.0,327.0,07X334
Belmont Preparatory High School ,65.0,358.0,370.0,346.0,10X434
Prospect Heights High School ,12.0,388.0,373.0,374.0,17K440
ARTS & MEDIA PREPARATORY ACADEMY ,,,,,18K589
YABC AT CANARSIE HIGH SCHOOL ,,,,,18K501
ACADEMY OF ENVIRONMENTAL LEADERSHIP ,36.0,382.0,369.0,374.0,32K403
ALL CITY LEADERSHIP SECONDARY ,29.0,394.0,420.0,395.0,32K554
BROOKLYN COMMUNITY HIGH SCHOOL ,43.0,393.0,356.0,377.0,13K412
W E B DUBOIS HIGH SCHOOL ,17.0,381.0,344.0,360.0,17K489
HIGH SCHOOL VIOLIN AND DANCE ,26.0,332.0,379.0,337.0,09X543
