school/sat.School Name,school/sat.Number of Test Takers,school/sat.Critical Reading Mean,school/sat.Mathematics Mean,school/sat.Writing Mean,DBN
South Richmond High School ,10.0,407.0,421.0,400.0,75R025
URBAN ACADEMY ,34.0,513.0,460.0,502.0,02M565
ACADEMY FOR LANGUAGE AND TECHNOLOGY ,,,,,09X365
HS FOR SERVICE AND LEARNING AT ERASMUS ,54.0,371.0,366.0,381.0,17K539
Professional Performng Arts School ,69.0,495.0,465.0,499.0,02M408
LOWER MANHATTAN ARTS ACADEMY ,35.0,409.0,381.0,412.0,02M308
HS of Graphic Commnctn And Art ,125.0,370.0,378.0,360.0,02M625
YABC AT GRACE DODGE HIGH SCHOOL ,13.0,367.0,378.0,358.0,10X667
WILLIAMSBURG PREP ,58.0,375.0,386.0,369.0,14K561
LANDMARK SCHOOL ,47.0,369.0,370.0,359.0,02M419
PARK EAST HIGH SCHOOL ,46.0,360.0,374.0,362.0,04M495
Queens Collegiate: A College Board School ,,,,,28Q310
MILLENNIUM ART ACADEMY ,41.0,380.0,389.0,371.0,08X312
RICHMOND HILL HIGH SCHOOL ,397.0,380.0,401.0,380.0,27Q475
BROOKLYN THEATRE ARTS HIGH SCHOOL ,,,,,18K567
URBAN ASSEMBLY SCHOOL FOR THE PERFORMIN ,34.0,349.0,370.0,363.0,05M369
ACADEMY FOR YOUNG WRITERS ,70.0,377.0,366.0,365.0,14K404
Mott Haven Village Preparatory High School ,48.0,345.0,352.0,349.0,07X473
UNIVERSITY HEIGHTS HIGH SCHOOL ,66.0,401.0,388.0,396.0,07X495
Science Skills Center High School ,104.0,419.0,421.0,409.0,13K419
FREEDOM ACADEMY ,40.0,416.0,386.0,408.0,13K509
