school/math.Grade,school/math.Year,school/math.Category,school/math.Number Tested,school/math.Mean Scale Score,school/math.Level 1 #,school/math.Level 1 %,school/math.Level 2 #,school/math.Level 2 %,school/math.Level 3 #,school/math.Level 3 %,school/math.Level 4 #,school/math.Level 4 %,school/math.Level 3+4 #,school/math.Level 3+4 %,DBN
4,2006,All Students,111,687.0,7.0,6.3,12.0,10.8,49.0,44.1,43.0,38.7,92.0,82.9,24Q058
7,2010,All Students,318,667.0,28.0,8.8,145.0,45.6,104.0,32.7,41.0,12.9,145.0,45.6,22K278
6,2007,All Students,197,652.0,24.0,12.2,60.0,30.5,105.0,53.3,8.0,4.1,113.0,57.4,11X322
4,2006,All Students,113,664.0,13.0,11.5,17.0,15.0,68.0,60.2,15.0,13.3,83.0,73.5,04M108
5,2009,All Students,68,677.0,0.0,0.0,7.0,10.3,53.0,77.9,8.0,11.8,61.0,89.7,23K178
6,2011,All Students,790,674.0,98.0,12.4,282.0,35.7,279.0,35.3,131.0,16.6,410.0,51.9,24Q061
All Grades,2007,All Students,728,,58.0,8.0,214.0,29.4,366.0,50.3,90.0,12.4,456.0,62.6,17K181
All Grades,2009,All Students,1042,,57.0,5.5,259.0,24.9,653.0,62.7,73.0,7.0,726.0,69.7,17K061
All Grades,2011,All Students,964,736.0,0.0,0.0,0.0,0.0,19.0,2.0,945.0,98.0,964.0,100.0,20K187
4,2010,All Students,15,737.0,0.0,0.0,0.0,0.0,1.0,6.7,14.0,93.3,15.0,100.0,03M859
All Grades,2007,All Students,464,,9.0,1.9,17.0,3.7,226.0,48.7,212.0,45.7,438.0,94.4,31R032
All Grades,2009,All Students,255,,5.0,2.0,13.0,5.1,154.0,60.4,83.0,32.5,237.0,92.9,04M224
5,2008,All Students,91,689.0,3.0,3.3,6.0,6.6,47.0,51.6,35.0,38.5,82.0,90.1,08X036
7,2009,All Students,93,660.0,1.0,1.1,19.0,20.4,71.0,76.3,2.0,2.2,73.0,78.5,19K311
3,2010,All Students,88,709.0,0.0,0.0,24.0,27.3,31.0,35.2,33.0,37.5,64.0,72.7,17K399
7,2008,All Students,44,596.0,27.0,61.4,15.0,34.1,2.0,4.5,0.0,0.0,2.0,4.5,75K141
5,2008,All Students,19,629.0,7.0,36.8,7.0,36.8,5.0,26.3,0.0,0.0,5.0,26.3,75R025
4,2009,All Students,89,722.0,0.0,0.0,0.0,0.0,23.0,25.8,66.0,74.2,89.0,100.0,26Q041
6,2008,All Students,55,655.0,3.0,5.5,18.0,32.7,31.0,56.4,3.0,5.5,34.0,61.8,09X250
5,2008,All Students,30,679.0,0.0,0.0,6.0,20.0,17.0,56.7,7.0,23.3,24.0,80.0,10X307
All Grades,2011,All Students,435,705.0,1.0,0.2,43.0,9.9,164.0,37.7,227.0,52.2,391.0,89.9,26Q266
3,2009,All Students,151,692.0,0.0,0.0,8.0,5.3,102.0,67.5,41.0,27.2,143.0,94.7,24Q071
7,2007,All Students,95,670.0,0.0,0.0,20.0,21.1,59.0,62.1,16.0,16.8,75.0,78.9,31R080
4,2011,All Students,127,668.0,17.0,13.4,54.0,42.5,50.0,39.4,6.0,4.7,56.0,44.1,17K022
8,2007,All Students,318,663.0,26.0,8.2,85.0,26.7,159.0,50.0,48.0,15.1,207.0,65.1,30Q230
3,2006,All Students,35,687.0,0.0,0.0,2.0,5.7,21.0,60.0,12.0,34.3,33.0,94.3,10X051
7,2011,All Students,317,670.0,28.0,8.8,138.0,43.5,98.0,30.9,53.0,16.7,151.0,47.6,22K278
All Grades,2011,All Students,378,673.0,61.0,16.1,166.0,43.9,119.0,31.5,32.0,8.5,151.0,39.9,17K091
3,2009,All Students,29,722.0,0.0,0.0,0.0,0.0,12.0,41.4,17.0,58.6,29.0,100.0,31R005
6,2007,All Students,175,646.0,34.0,19.4,64.0,36.6,57.0,32.6,20.0,11.4,77.0,44.0,10X020
6,2007,All Students,48,647.0,8.0,16.7,16.0,33.3,23.0,47.9,1.0,2.1,24.0,50.0,12X267
All Grades,2010,All Students,85,,28.0,32.9,39.0,45.9,16.0,18.8,2.0,2.4,18.0,21.2,10X386
6,2009,All Students,47,643.0,9.0,19.1,12.0,25.5,25.0,53.2,1.0,2.1,26.0,55.3,17K353
3,2009,All Students,88,711.0,0.0,0.0,0.0,0.0,45.0,51.1,43.0,48.9,88.0,100.0,25Q032
8,2009,All Students,296,683.0,10.0,3.4,22.0,7.4,195.0,65.9,69.0,23.3,264.0,89.2,15K051
7,2010,All Students,421,661.0,62.0,14.7,202.0,48.0,107.0,25.4,50.0,11.9,157.0,37.3,31R061
4,2010,All Students,49,681.0,5.0,10.2,14.0,28.6,21.0,42.9,9.0,18.4,30.0,61.2,16K026
5,2007,All Students,31,613.0,14.0,45.2,13.0,41.9,4.0,12.9,0.0,0.0,4.0,12.9,75Q009
4,2011,All Students,65,672.0,4.0,6.2,35.0,53.8,20.0,30.8,6.0,9.2,26.0,40.0,04M050
5,2008,All Students,139,668.0,4.0,2.9,26.0,18.7,93.0,66.9,16.0,11.5,109.0,78.4,08X100
3,2011,All Students,182,695.0,9.0,4.9,35.0,19.2,83.0,45.6,55.0,30.2,138.0,75.8,20K204
3,2009,All Students,120,702.0,0.0,0.0,2.0,1.7,76.0,63.3,42.0,35.0,118.0,98.3,27Q064
7,2006,All Students,295,614.0,113.0,38.3,153.0,51.9,29.0,9.8,0.0,0.0,29.0,9.8,04M045
8,2011,All Students,49,658.0,10.0,20.4,26.0,53.1,10.0,20.4,3.0,6.1,13.0,26.5,01M188
4,2007,All Students,214,703.0,3.0,1.4,9.0,4.2,100.0,46.7,102.0,47.7,202.0,94.4,20K105
8,2011,All Students,391,691.0,7.0,1.8,83.0,21.2,190.0,48.6,111.0,28.4,301.0,77.0,31R007
7,2011,All Students,14,633.0,7.0,50.0,7.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,75X352
6,2007,All Students,161,644.0,31.0,19.3,54.0,33.5,62.0,38.5,14.0,8.7,76.0,47.2,28Q072
7,2009,All Students,18,633.0,3.0,16.7,11.0,61.1,4.0,22.2,0.0,0.0,4.0,22.2,75X168
4,2010,All Students,61,693.0,4.0,6.6,15.0,24.6,26.0,42.6,16.0,26.2,42.0,68.9,02M198
5,2009,All Students,117,700.0,1.0,0.9,3.0,2.6,48.0,41.0,65.0,55.6,113.0,96.6,25Q107
All Grades,2009,All Students,285,,0.0,0.0,17.0,6.0,201.0,70.5,67.0,23.5,268.0,94.0,09X128
5,2006,All Students,40,651.0,5.0,12.5,13.0,32.5,21.0,52.5,1.0,2.5,22.0,55.0,17K394
6,2007,All Students,39,675.0,1.0,2.6,4.0,10.3,27.0,69.2,7.0,17.9,34.0,87.2,21K209
3,2006,All Students,144,670.0,12.0,8.3,29.0,20.1,75.0,52.1,28.0,19.4,103.0,71.5,08X119
All Grades,2009,All Students,317,,1.0,0.3,2.0,0.6,138.0,43.5,176.0,55.5,314.0,99.1,31R056
3,2008,All Students,126,693.0,2.0,1.6,6.0,4.8,81.0,64.3,37.0,29.4,118.0,93.7,21K177
6,2008,All Students,59,666.0,4.0,6.8,9.0,15.3,39.0,66.1,7.0,11.9,46.0,78.0,23K518
3,2011,All Students,81,670.0,23.0,28.4,47.0,58.0,11.0,13.6,0.0,0.0,11.0,13.6,11X112
4,2011,All Students,88,699.0,2.0,2.3,14.0,15.9,44.0,50.0,28.0,31.8,72.0,81.8,25Q154
All Grades,2009,All Students,180,,1.0,0.6,21.0,11.7,126.0,70.0,32.0,17.8,158.0,87.8,02M407
4,2008,All Students,70,680.0,2.0,2.9,5.0,7.1,53.0,75.7,10.0,14.3,63.0,90.0,13K011
All Grades,2008,All Students,171,,0.0,0.0,7.0,4.1,105.0,61.4,59.0,34.5,164.0,95.9,20K127
5,2010,All Students,80,673.0,6.0,7.5,35.0,43.8,33.0,41.3,6.0,7.5,39.0,48.8,07X154
3,2008,All Students,61,668.0,3.0,4.9,12.0,19.7,44.0,72.1,2.0,3.3,46.0,75.4,31R020
All Grades,2011,All Students,566,666.0,101.0,17.8,261.0,46.1,148.0,26.1,56.0,9.9,204.0,36.0,19K202
All Grades,2011,All Students,594,696.0,18.0,3.0,114.0,19.2,230.0,38.7,232.0,39.1,462.0,77.8,27Q232
All Grades,2007,All Students,187,,26.0,13.9,86.0,46.0,71.0,38.0,4.0,2.1,75.0,40.1,01M301
3,2008,All Students,87,677.0,1.0,1.1,14.0,16.1,62.0,71.3,10.0,11.5,72.0,82.8,23K327
6,2007,All Students,61,615.0,29.0,47.5,22.0,36.1,8.0,13.1,2.0,3.3,10.0,16.4,30Q235
6,2008,All Students,257,640.0,40.0,15.6,102.0,39.7,108.0,42.0,7.0,2.7,115.0,44.7,09X339
All Grades,2009,All Students,179,,9.0,5.0,45.0,25.1,108.0,60.3,17.0,9.5,125.0,69.8,12X044
5,2007,All Students,82,648.0,16.0,19.5,26.0,31.7,33.0,40.2,7.0,8.5,40.0,48.8,09X042
7,2009,All Students,144,688.0,0.0,0.0,2.0,1.4,88.0,61.1,54.0,37.5,142.0,98.6,15K443
All Grades,2009,All Students,391,,0.0,0.0,21.0,5.4,262.0,67.0,108.0,27.6,370.0,94.6,27Q146
5,2006,All Students,85,637.0,22.0,25.9,34.0,40.0,27.0,31.8,2.0,2.4,29.0,34.1,09X063
All Grades,2011,All Students,476,698.0,13.0,2.7,79.0,16.6,233.0,48.9,151.0,31.7,384.0,80.7,31R042
6,2010,All Students,57,648.0,16.0,28.1,37.0,64.9,4.0,7.0,0.0,0.0,4.0,7.0,03M421
5,2011,All Students,21,688.0,2.0,9.5,3.0,14.3,9.0,42.9,7.0,33.3,16.0,76.2,21K121
All Grades,2008,All Students,667,,69.0,10.3,269.0,40.3,303.0,45.4,26.0,3.9,329.0,49.3,14K050
4,2006,All Students,93,662.0,8.0,8.6,24.0,25.8,51.0,54.8,10.0,10.8,61.0,65.6,30Q076
8,2011,All Students,105,672.0,6.0,5.7,49.0,46.7,42.0,40.0,8.0,7.6,50.0,47.6,21K225
4,2008,All Students,127,668.0,7.0,5.5,25.0,19.7,76.0,59.8,19.0,15.0,95.0,74.8,30Q092
3,2008,All Students,100,677.0,6.0,6.0,11.0,11.0,68.0,68.0,15.0,15.0,83.0,83.0,17K006
All Grades,2006,All Students,1577,,201.0,12.7,500.0,31.7,672.0,42.6,204.0,12.9,876.0,55.5,24Q125
3,2009,All Students,60,699.0,0.0,0.0,5.0,8.3,35.0,58.3,20.0,33.3,55.0,91.7,17K394
7,2006,All Students,287,644.0,37.0,12.9,115.0,40.1,119.0,41.5,16.0,5.6,135.0,47.0,30Q010
3,2008,All Students,42,737.0,0.0,0.0,0.0,0.0,7.0,16.7,35.0,83.3,42.0,100.0,26Q205
4,2009,All Students,112,687.0,4.0,3.6,15.0,13.4,56.0,50.0,37.0,33.0,93.0,83.0,09X199
8,2006,All Students,254,622.0,93.0,36.6,113.0,44.5,46.0,18.1,2.0,0.8,48.0,18.9,09X323
8,2009,All Students,112,643.0,9.0,8.0,59.0,52.7,44.0,39.3,0.0,0.0,44.0,39.3,06M321
3,2010,All Students,101,680.0,11.0,10.9,55.0,54.5,27.0,26.7,8.0,7.9,35.0,34.7,19K158
All Grades,2007,All Students,487,,21.0,4.3,96.0,19.7,273.0,56.1,97.0,19.9,370.0,76.0,18K244
6,2009,All Students,111,656.0,5.0,4.5,44.0,39.6,55.0,49.5,7.0,6.3,62.0,55.9,10X331
7,2010,All Students,76,665.0,9.0,11.8,34.0,44.7,27.0,35.5,6.0,7.9,33.0,43.4,16K267
4,2011,All Students,24,631.0,14.0,58.3,8.0,33.3,2.0,8.3,0.0,0.0,2.0,8.3,75Q224
4,2008,All Students,71,664.0,4.0,5.6,16.0,22.5,44.0,62.0,7.0,9.9,51.0,71.8,31R014
3,2009,All Students,169,694.0,0.0,0.0,5.0,3.0,116.0,68.6,48.0,28.4,164.0,97.0,08X182
All Grades,2010,All Students,199,,4.0,2.0,60.0,30.2,77.0,38.7,58.0,29.1,135.0,67.8,31R038
6,2006,All Students,81,679.0,0.0,0.0,15.0,18.5,44.0,54.3,22.0,27.2,66.0,81.5,25Q193
6,2006,All Students,67,639.0,13.0,19.4,31.0,46.3,23.0,34.3,0.0,0.0,23.0,34.3,10X243
3,2007,All Students,95,680.0,7.0,7.4,9.0,9.5,52.0,54.7,27.0,28.4,79.0,83.2,19K065
7,2009,All Students,54,677.0,0.0,0.0,5.0,9.3,38.0,70.4,11.0,20.4,49.0,90.7,25Q200
3,2010,All Students,68,675.0,18.0,26.5,28.0,41.2,16.0,23.5,6.0,8.8,22.0,32.4,29Q181
All Grades,2011,All Students,126,677.0,11.0,8.7,56.0,44.4,48.0,38.1,11.0,8.7,59.0,46.8,17K012
8,2006,All Students,59,618.0,27.0,45.8,23.0,39.0,9.0,15.3,0.0,0.0,9.0,15.3,15K429
All Grades,2010,All Students,318,,68.0,21.4,179.0,56.3,63.0,19.8,8.0,2.5,71.0,22.3,18K588
All Grades,2007,All Students,40,,22.0,55.0,8.0,20.0,9.0,22.5,1.0,2.5,10.0,25.0,75K396
All Grades,2010,All Students,136,,13.0,9.6,43.0,31.6,36.0,26.5,44.0,32.4,80.0,58.8,07X025
All Grades,2008,All Students,282,,12.0,4.3,63.0,22.3,177.0,62.8,30.0,10.6,207.0,73.4,09X114
All Grades,2006,All Students,307,,23.0,7.5,91.0,29.6,158.0,51.5,35.0,11.4,193.0,62.9,27Q215
All Grades,2011,All Students,9,671.0,0.0,0.0,7.0,77.8,1.0,11.1,1.0,11.1,2.0,22.2,75Q233
5,2009,All Students,128,703.0,2.0,1.6,6.0,4.7,39.0,30.5,81.0,63.3,120.0,93.8,22K207
8,2010,All Students,76,691.0,2.0,2.6,20.0,26.3,31.0,40.8,23.0,30.3,54.0,71.1,21K468
5,2009,All Students,63,699.0,1.0,1.6,3.0,4.8,25.0,39.7,34.0,54.0,59.0,93.7,20K127
All Grades,2010,All Students,392,,10.0,2.6,66.0,16.8,175.0,44.6,141.0,36.0,316.0,80.6,20K185
3,2009,All Students,88,683.0,0.0,0.0,7.0,8.0,68.0,77.3,13.0,14.8,81.0,92.0,30Q076
8,2010,All Students,440,683.0,27.0,6.1,124.0,28.2,205.0,46.6,84.0,19.1,289.0,65.7,24Q093
All Grades,2009,All Students,97,,1.0,1.0,25.0,25.8,65.0,67.0,6.0,6.2,71.0,73.2,07X369
All Grades,2009,All Students,336,,22.0,6.5,125.0,37.2,176.0,52.4,13.0,3.9,189.0,56.3,11X287
4,2007,All Students,123,699.0,4.0,3.3,1.0,0.8,63.0,51.2,55.0,44.7,118.0,95.9,31R056
3,2007,All Students,87,708.0,0.0,0.0,4.0,4.6,37.0,42.5,46.0,52.9,83.0,95.4,25Q022
4,2007,All Students,92,666.0,7.0,7.6,11.0,12.0,60.0,65.2,14.0,15.2,74.0,80.4,30Q127
All Grades,2009,All Students,247,,8.0,3.2,21.0,8.5,135.0,54.7,83.0,33.6,218.0,88.3,29Q034
6,2010,All Students,364,687.0,26.0,7.1,81.0,22.3,135.0,37.1,122.0,33.5,257.0,70.6,25Q237
6,2007,All Students,92,684.0,2.0,2.2,4.0,4.3,62.0,67.4,24.0,26.1,86.0,93.5,25Q129
7,2008,All Students,82,659.0,1.0,1.2,20.0,24.4,59.0,72.0,2.0,2.4,61.0,74.4,13K492
All Grades,2006,All Students,198,,26.0,13.1,68.0,34.3,89.0,44.9,15.0,7.6,104.0,52.5,14K120
7,2006,All Students,31,633.0,6.0,19.4,16.0,51.6,9.0,29.0,0.0,0.0,9.0,29.0,23K073
All Grades,2006,All Students,633,,206.0,32.5,263.0,41.5,159.0,25.1,5.0,0.8,164.0,25.9,09X323
3,2008,All Students,88,693.0,0.0,0.0,4.0,4.5,62.0,70.5,22.0,25.0,84.0,95.5,27Q065
5,2008,All Students,43,658.0,1.0,2.3,11.0,25.6,30.0,69.8,1.0,2.3,31.0,72.1,04M102
8,2011,All Students,85,688.0,1.0,1.2,16.0,18.8,52.0,61.2,16.0,18.8,68.0,80.0,30Q286
5,2006,All Students,126,665.0,8.0,6.3,30.0,23.8,73.0,57.9,15.0,11.9,88.0,69.8,31R013
7,2009,All Students,20,629.0,4.0,20.0,10.0,50.0,6.0,30.0,0.0,0.0,6.0,30.0,75X352
4,2011,All Students,4,,,,,,,,,,,,75X188
4,2006,All Students,123,662.0,14.0,11.4,33.0,26.8,56.0,45.5,20.0,16.3,76.0,61.8,10X079
7,2009,All Students,145,679.0,1.0,0.7,11.0,7.6,97.0,66.9,36.0,24.8,133.0,91.7,08X071
7,2008,All Students,17,613.0,7.0,41.2,5.0,29.4,5.0,29.4,0.0,0.0,5.0,29.4,75Q023
7,2009,All Students,117,672.0,4.0,3.4,12.0,10.3,76.0,65.0,25.0,21.4,101.0,86.3,10X279
7,2011,All Students,34,657.0,7.0,20.6,15.0,44.1,8.0,23.5,4.0,11.8,12.0,35.3,13K336
3,2009,All Students,60,700.0,0.0,0.0,1.0,1.7,41.0,68.3,18.0,30.0,59.0,98.3,29Q270
7,2011,All Students,529,679.0,32.0,6.0,163.0,30.8,181.0,34.2,153.0,28.9,334.0,63.1,24Q005
All Grades,2007,All Students,447,,20.0,4.5,77.0,17.2,239.0,53.5,111.0,24.8,350.0,78.3,18K279
All Grades,2011,All Students,280,705.0,4.0,1.4,49.0,17.5,110.0,39.3,117.0,41.8,227.0,81.1,31R050
All Grades,2007,All Students,152,,3.0,2.0,17.0,11.2,94.0,61.8,38.0,25.0,132.0,86.8,15K124
5,2008,All Students,111,676.0,5.0,4.5,17.0,15.3,66.0,59.5,23.0,20.7,89.0,80.2,21K188
4,2007,All Students,11,634.0,4.0,36.4,4.0,36.4,2.0,18.2,1.0,9.1,3.0,27.3,75K771
7,2011,All Students,75,723.0,0.0,0.0,0.0,0.0,3.0,4.0,72.0,96.0,75.0,100.0,30Q122
4,2009,All Students,62,678.0,6.0,9.7,7.0,11.3,36.0,58.1,13.0,21.0,49.0,79.0,27Q104
5,2006,All Students,52,693.0,4.0,7.7,3.0,5.8,20.0,38.5,25.0,48.1,45.0,86.5,02M212
All Grades,2007,All Students,151,,47.0,31.1,77.0,51.0,26.0,17.2,1.0,0.7,27.0,17.9,05M469
5,2010,All Students,22,621.0,13.0,59.1,9.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,75X186
6,2009,All Students,108,684.0,1.0,0.9,5.0,4.6,73.0,67.6,29.0,26.9,102.0,94.4,09X215
5,2007,All Students,139,661.0,10.0,7.2,40.0,28.8,76.0,54.7,13.0,9.4,89.0,64.0,11X089
All Grades,2007,All Students,141,,1.0,0.7,15.0,10.6,83.0,58.9,42.0,29.8,125.0,88.7,15K039
All Grades,2008,All Students,936,,23.0,2.5,59.0,6.3,423.0,45.2,431.0,46.0,854.0,91.2,15K051
5,2008,All Students,128,708.0,1.0,0.8,5.0,3.9,42.0,32.8,80.0,62.5,122.0,95.3,02M116
4,2008,All Students,43,666.0,7.0,16.3,8.0,18.6,20.0,46.5,8.0,18.6,28.0,65.1,08X093
4,2009,All Students,131,711.0,1.0,0.8,2.0,1.5,52.0,39.7,76.0,58.0,128.0,97.7,25Q129
All Grades,2006,All Students,831,,95.0,11.4,260.0,31.3,385.0,46.3,91.0,11.0,476.0,57.3,27Q043
3,2008,All Students,44,640.0,8.0,18.2,19.0,43.2,17.0,38.6,0.0,0.0,17.0,38.6,75R373
5,2010,All Students,75,667.0,6.0,8.0,44.0,58.7,18.0,24.0,7.0,9.3,25.0,33.3,22K109
8,2006,All Students,57,634.0,11.0,19.3,33.0,57.9,13.0,22.8,0.0,0.0,13.0,22.8,06M278
5,2011,All Students,27,669.0,3.0,11.1,12.0,44.4,11.0,40.7,1.0,3.7,12.0,44.4,13K287
6,2007,All Students,72,658.0,11.0,15.3,16.0,22.2,30.0,41.7,15.0,20.8,45.0,62.5,10X037
3,2010,All Students,214,693.0,29.0,13.6,78.0,36.4,53.0,24.8,54.0,25.2,107.0,50.0,09X053
4,2007,All Students,24,608.0,14.0,58.3,5.0,20.8,5.0,20.8,0.0,0.0,5.0,20.8,75M094
All Grades,2011,All Students,297,708.0,2.0,0.7,23.0,7.7,132.0,44.4,140.0,47.1,272.0,91.6,20K247
4,2010,All Students,101,701.0,2.0,2.0,19.0,18.8,40.0,39.6,40.0,39.6,80.0,79.2,21K100
All Grades,2011,All Students,266,665.0,63.0,23.7,135.0,50.8,61.0,22.9,7.0,2.6,68.0,25.6,12X300
All Grades,2006,All Students,226,,47.0,20.8,73.0,32.3,95.0,42.0,11.0,4.9,106.0,46.9,05M030
3,2009,All Students,124,701.0,1.0,0.8,2.0,1.6,71.0,57.3,50.0,40.3,121.0,97.6,25Q107
8,2009,All Students,95,682.0,2.0,2.1,9.0,9.5,61.0,64.2,23.0,24.2,84.0,88.4,06M187
All Grades,2010,All Students,295,,31.0,10.5,143.0,48.5,94.0,31.9,27.0,9.2,121.0,41.0,16K267
6,2006,All Students,398,637.0,95.0,23.9,148.0,37.2,144.0,36.2,11.0,2.8,155.0,38.9,06M143
4,2006,All Students,97,660.0,19.0,19.6,15.0,15.5,47.0,48.5,16.0,16.5,63.0,64.9,12X050
7,2006,All Students,579,652.0,63.0,10.9,194.0,33.5,256.0,44.2,66.0,11.4,322.0,55.6,31R072
7,2009,All Students,278,659.0,11.0,4.0,78.0,28.1,170.0,61.2,19.0,6.8,189.0,68.0,09X117
All Grades,2008,All Students,155,,14.0,9.0,59.0,38.1,76.0,49.0,6.0,3.9,82.0,52.9,09X517
All Grades,2009,All Students,443,,1.0,0.2,21.0,4.7,185.0,41.8,236.0,53.3,421.0,95.0,24Q877
6,2008,All Students,72,654.0,3.0,4.2,30.0,41.7,34.0,47.2,5.0,6.9,39.0,54.2,13K596
5,2009,All Students,226,689.0,1.0,0.4,22.0,9.7,117.0,51.8,86.0,38.1,203.0,89.8,29Q095
7,2009,All Students,84,703.0,1.0,1.2,1.0,1.2,33.0,39.3,49.0,58.3,82.0,97.6,25Q164
3,2010,All Students,258,699.0,25.0,9.7,74.0,28.7,76.0,29.5,83.0,32.2,159.0,61.6,24Q014
All Grades,2006,All Students,180,,17.0,9.4,56.0,31.1,97.0,53.9,10.0,5.6,107.0,59.4,12X273
All Grades,2009,All Students,536,,42.0,7.8,118.0,22.0,282.0,52.6,94.0,17.5,376.0,70.1,12X214
All Grades,2006,All Students,559,,22.0,3.9,64.0,11.4,295.0,52.8,178.0,31.8,473.0,84.6,27Q100
8,2011,All Students,22,600.0,18.0,81.8,4.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,75M811
6,2006,All Students,54,656.0,1.0,1.9,20.0,37.0,29.0,53.7,4.0,7.4,33.0,61.1,10X340
5,2008,All Students,160,668.0,14.0,8.8,31.0,19.4,85.0,53.1,30.0,18.8,115.0,71.9,08X072
All Grades,2006,All Students,609,,97.0,15.9,140.0,23.0,286.0,47.0,86.0,14.1,372.0,61.1,15K094
7,2006,All Students,404,664.0,16.0,4.0,101.0,25.0,231.0,57.2,56.0,13.9,287.0,71.0,31R007
5,2010,All Students,62,694.0,2.0,3.2,12.0,19.4,26.0,41.9,22.0,35.5,48.0,77.4,14K034
5,2007,All Students,32,661.0,2.0,6.3,11.0,34.4,16.0,50.0,3.0,9.4,19.0,59.4,01M363
3,2011,All Students,157,691.0,3.0,1.9,46.0,29.3,86.0,54.8,22.0,14.0,108.0,68.8,27Q100
7,2007,All Students,415,655.0,32.0,7.7,154.0,37.1,172.0,41.4,57.0,13.7,229.0,55.2,20K220
All Grades,2011,All Students,758,672.0,77.0,10.2,337.0,44.5,279.0,36.8,65.0,8.6,344.0,45.4,27Q043
8,2010,All Students,60,663.0,7.0,11.7,37.0,61.7,15.0,25.0,1.0,1.7,16.0,26.7,23K155
5,2007,All Students,1,,,,,,,,,,,,75Q255
5,2010,All Students,76,688.0,2.0,2.6,19.0,25.0,33.0,43.4,22.0,28.9,55.0,72.4,14K257
5,2010,All Students,180,699.0,7.0,3.9,41.0,22.8,59.0,32.8,73.0,40.6,132.0,73.3,20K200
All Grades,2007,All Students,547,,14.0,2.6,74.0,13.5,339.0,62.0,120.0,21.9,459.0,83.9,24Q081
4,2006,All Students,163,653.0,26.0,16.0,34.0,20.9,93.0,57.1,10.0,6.1,103.0,63.2,11X103
8,2011,All Students,82,670.0,6.0,7.3,41.0,50.0,30.0,36.6,5.0,6.1,35.0,42.7,05M670
3,2009,All Students,59,721.0,0.0,0.0,3.0,5.1,18.0,30.5,38.0,64.4,56.0,94.9,02M077
All Grades,2010,All Students,430,,20.0,4.7,148.0,34.4,149.0,34.7,113.0,26.3,262.0,60.9,06M153
4,2008,All Students,2,,,,,,,,,,,,75Q233
All Grades,2009,All Students,217,,6.0,2.8,35.0,16.1,145.0,66.8,31.0,14.3,176.0,81.1,14K059
All Grades,2010,All Students,1226,,14.0,1.1,148.0,12.1,365.0,29.8,699.0,57.0,1064.0,86.8,26Q216
5,2006,All Students,245,662.0,19.0,7.8,58.0,23.7,133.0,54.3,35.0,14.3,168.0,68.6,28Q086
5,2008,All Students,33,695.0,0.0,0.0,3.0,9.1,17.0,51.5,13.0,39.4,30.0,90.9,27Q333
All Grades,2011,All Students,457,692.0,10.0,2.2,96.0,21.0,174.0,38.1,177.0,38.7,351.0,76.8,08X101
4,2008,All Students,63,703.0,0.0,0.0,1.0,1.6,33.0,52.4,29.0,46.0,62.0,98.4,31R048
All Grades,2010,All Students,301,,45.0,15.0,148.0,49.2,83.0,27.6,25.0,8.3,108.0,35.9,30Q017
5,2011,All Students,107,668.0,14.0,13.1,49.0,45.8,38.0,35.5,6.0,5.6,44.0,41.1,17K091
5,2009,All Students,48,669.0,2.0,4.2,14.0,29.2,21.0,43.8,11.0,22.9,32.0,66.7,23K073
4,2008,All Students,71,707.0,0.0,0.0,3.0,4.2,28.0,39.4,40.0,56.3,68.0,95.8,20K112
4,2008,All Students,17,671.0,0.0,0.0,4.0,23.5,9.0,52.9,4.0,23.5,13.0,76.5,01M315
All Grades,2008,All Students,699,,64.0,9.2,251.0,35.9,329.0,47.1,55.0,7.9,384.0,54.9,32K162
4,2008,All Students,33,693.0,0.0,0.0,2.0,6.1,16.0,48.5,15.0,45.5,31.0,93.9,13K270
5,2009,All Students,122,675.0,2.0,1.6,21.0,17.2,74.0,60.7,25.0,20.5,99.0,81.1,18K219
7,2007,All Students,373,653.0,36.0,9.7,119.0,31.9,183.0,49.1,35.0,9.4,218.0,58.4,21K096
8,2010,All Students,97,670.0,7.0,7.2,46.0,47.4,38.0,39.2,6.0,6.2,44.0,45.4,21K099
4,2011,All Students,143,694.0,9.0,6.3,28.0,19.6,56.0,39.2,50.0,35.0,106.0,74.1,20K186
3,2007,All Students,30,654.0,3.0,10.0,10.0,33.3,16.0,53.3,1.0,3.3,17.0,56.7,19K089
3,2009,All Students,189,693.0,0.0,0.0,7.0,3.7,135.0,71.4,47.0,24.9,182.0,96.3,11X106
5,2008,All Students,56,672.0,4.0,7.1,10.0,17.9,28.0,50.0,14.0,25.0,42.0,75.0,10X003
5,2010,All Students,35,658.0,11.0,31.4,13.0,37.1,8.0,22.9,3.0,8.6,11.0,31.4,23K073
All Grades,2010,All Students,835,,31.0,3.7,142.0,17.0,211.0,25.3,451.0,54.0,662.0,79.3,30Q122
7,2009,All Students,115,654.0,5.0,4.3,38.0,33.0,66.0,57.4,6.0,5.2,72.0,62.6,09X325
5,2008,All Students,113,667.0,4.0,3.5,20.0,17.7,73.0,64.6,16.0,14.2,89.0,78.8,17K022
All Grades,2009,All Students,466,,0.0,0.0,4.0,0.9,150.0,32.2,312.0,67.0,462.0,99.1,02M124
3,2010,All Students,192,698.0,9.0,4.7,54.0,28.1,74.0,38.5,55.0,28.6,129.0,67.2,30Q069
