school/math.Grade,school/math.Year,school/math.Category,school/math.Number Tested,school/math.Mean Scale Score,school/math.Level 1 #,school/math.Level 1 %,school/math.Level 2 #,school/math.Level 2 %,school/math.Level 3 #,school/math.Level 3 %,school/math.Level 4 #,school/math.Level 4 %,school/math.Level 3+4 #,school/math.Level 3+4 %,DBN
8,2006,All Students,81,606.0,46.0,56.8,28.0,34.6,7.0,8.6,0.0,0.0,7.0,8.6,15K462
8,2011,All Students,91,648.0,22.0,24.2,48.0,52.7,20.0,22.0,1.0,1.1,21.0,23.1,16K584
4,2009,All Students,166,686.0,3.0,1.8,22.0,13.3,90.0,54.2,51.0,30.7,141.0,84.9,30Q148
4,2008,All Students,2,,,,,,,,,,,,75Q255
All Grades,2006,All Students,225,,52.0,23.1,35.0,15.6,98.0,43.6,40.0,17.8,138.0,61.3,14K110
3,2006,All Students,70,690.0,5.0,7.1,2.0,2.9,34.0,48.6,29.0,41.4,63.0,90.0,15K058
3,2009,All Students,43,674.0,0.0,0.0,11.0,25.6,27.0,62.8,5.0,11.6,32.0,74.4,14K147
4,2010,All Students,46,688.0,0.0,0.0,13.0,28.3,23.0,50.0,10.0,21.7,33.0,71.7,10X396
3,2006,All Students,58,640.0,16.0,27.6,20.0,34.5,20.0,34.5,2.0,3.4,22.0,37.9,19K174
4,2009,All Students,123,665.0,9.0,7.3,31.0,25.2,67.0,54.5,16.0,13.0,83.0,67.5,09X073
4,2009,All Students,163,677.0,8.0,4.9,31.0,19.0,84.0,51.5,40.0,24.5,124.0,76.1,18K114
All Grades,2009,All Students,380,,0.0,0.0,0.0,0.0,91.0,23.9,289.0,76.1,380.0,100.0,26Q203
6,2011,All Students,191,710.0,0.0,0.0,2.0,1.0,61.0,31.9,128.0,67.0,189.0,99.0,27Q323
All Grades,2007,All Students,1003,,66.0,6.6,236.0,23.5,470.0,46.9,231.0,23.0,701.0,69.9,02M104
All Grades,2006,All Students,430,,44.0,10.2,102.0,23.7,242.0,56.3,42.0,9.8,284.0,66.0,12X050
6,2010,All Students,167,695.0,5.0,3.0,30.0,18.0,63.0,37.7,69.0,41.3,132.0,79.0,30Q011
3,2008,All Students,144,669.0,12.0,8.3,23.0,16.0,89.0,61.8,20.0,13.9,109.0,75.7,19K346
All Grades,2011,All Students,252,695.0,6.0,2.4,45.0,17.9,140.0,55.6,61.0,24.2,201.0,79.8,31R039
5,2007,All Students,140,693.0,0.0,0.0,14.0,10.0,67.0,47.9,59.0,42.1,126.0,90.0,20K205
6,2006,All Students,110,693.0,0.0,0.0,1.0,0.9,64.0,58.2,45.0,40.9,109.0,99.1,18K235
3,2006,All Students,183,700.0,3.0,1.6,13.0,7.1,76.0,41.5,91.0,49.7,167.0,91.3,20K200
3,2009,All Students,63,687.0,1.0,1.6,5.0,7.9,41.0,65.1,16.0,25.4,57.0,90.5,05M175
7,2006,All Students,83,654.0,3.0,3.6,29.0,34.9,47.0,56.6,4.0,4.8,51.0,61.4,23K518
5,2009,All Students,13,630.0,3.0,23.1,9.0,69.2,0.0,0.0,1.0,7.7,1.0,7.7,75M811
All Grades,2009,All Students,991,,0.0,0.0,16.0,1.6,349.0,35.2,626.0,63.2,975.0,98.4,26Q074
3,2007,All Students,103,714.0,0.0,0.0,0.0,0.0,37.0,35.9,66.0,64.1,103.0,100.0,14K031
3,2006,All Students,206,686.0,5.0,2.4,28.0,13.6,107.0,51.9,66.0,32.0,173.0,84.0,24Q012
5,2010,All Students,152,673.0,15.0,9.9,64.0,42.1,50.0,32.9,23.0,15.1,73.0,48.0,08X072
All Grades,2011,All Students,141,675.0,19.0,13.5,55.0,39.0,51.0,36.2,16.0,11.3,67.0,47.5,19K190
All Grades,2006,All Students,278,,4.0,1.4,23.0,8.3,151.0,54.3,100.0,36.0,251.0,90.3,26Q026
4,2009,All Students,137,692.0,4.0,2.9,10.0,7.3,70.0,51.1,53.0,38.7,123.0,89.8,22K315
5,2011,All Students,144,697.0,5.0,3.5,18.0,12.5,60.0,41.7,61.0,42.4,121.0,84.0,31R036
6,2008,All Students,109,685.0,2.0,1.8,13.0,11.9,51.0,46.8,43.0,39.4,94.0,86.2,27Q124
All Grades,2011,All Students,795,693.0,26.0,3.3,155.0,19.5,269.0,33.8,345.0,43.4,614.0,77.2,25Q025
All Grades,2011,All Students,232,699.0,1.0,0.4,23.0,9.9,145.0,62.5,63.0,27.2,208.0,89.7,14K380
All Grades,2006,All Students,458,,69.0,15.1,99.0,21.6,202.0,44.1,88.0,19.2,290.0,63.3,19K214
4,2007,All Students,160,679.0,11.0,6.9,20.0,12.5,92.0,57.5,37.0,23.1,129.0,80.6,31R060
4,2011,All Students,143,710.0,1.0,0.7,10.0,7.0,58.0,40.6,74.0,51.7,132.0,92.3,03M087
3,2011,All Students,35,659.0,14.0,40.0,20.0,57.1,1.0,2.9,0.0,0.0,1.0,2.9,75M811
6,2008,All Students,91,632.0,23.0,25.3,36.0,39.6,30.0,33.0,2.0,2.2,32.0,35.2,09X328
6,2009,All Students,35,672.0,1.0,2.9,7.0,20.0,25.0,71.4,2.0,5.7,27.0,77.1,03M149
