DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,2012-2013 OVERALL GRADE,2012-2013 OVERALL SCORE,2012-13 OVERALL PERCENTILE,2012-2013 PROGRESS CATEGORY SCORE,2012-2013 PROGRESS GRADE,2012-2013 PERFORMANCE CATEGORY SCORE,2012-2013PERFORMANCE GRADE,2012-2013 ENVIRONMENT CATEGORY SCORE,2012-2013 ENVIRONMENT GRADE,2012-2013 COLLEGE AND CAREER READINESS SCORE,2012-2013 COLLEGE AND CAREER READINESS GRADE,2012-2013 ADDITIONAL CREDIT,2011-12 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE
09X110,9,P.S. 110 Theodore Schoenfeld,Daisy Perez,EMS,Elementary,A,65.4,83.28,33.5,B,19.2,A,7.3,B,.,.,5.4,B,B,B
09X114,9,P.S. X114 - Luis Llorens Torres Schools,Olivia Francis-Webber,EMS,Elementary,C,41,20.49,26.9,C,6.3,D,4.3,C,.,.,3.5,B,F,B
09X117,9,I.S. 117 Joseph H. Wade,Delise Jones,EMS,Middle,C,46.2,23.6,24.5,C,9.8,C,7.4,C,.,.,4.5,B,C,B
09X126,9,P.S. 126 Dr Marjorie H Dunbar,Nadine Kee-Foster,EMS,Elementary,D,35.9,8.69,25.2,C,5.8,D,1.4,D,.,.,3.5,C,A,B
09X128,9,Mott Hall III,Jorisis Stupart,EMS,Middle,B,65.1,69.1,36.7,B,16,B,9.8,B,.,.,2.5,C,A,A
09X132,9,P.S. 132 Garret A. Morgan,Anissa Chalmers,EMS,Elementary,C,47,34.92,36.3,A,5.2,D,0.5,F,.,.,4.9,D,C,B
09X145,9,J.H.S. 145 Arturo Toscanini,Robert Hannibal,EMS,Middle,A,75.2,88.2,46.7,A,10.2,C,11.6,A,.,.,6.7,B,B,B
09X163,9,P.S. 163 Arthur A. Schomburg,Dilsia Martinez,EMS,Elementary,B,58.1,69.02,42.8,A,7.3,C,3.1,C,.,.,4.9,C,C,C
09X170,9,P.S. 170,Nancy Ramos,EC,K-2,C,38.5,.,12.4,C,10.7,C,12.7,A,.,.,2.7,B,B,B
09X199,9,P.S. 199X - The Shakespeare School,Lilia Navarrete,EMS,Elementary,B,52.1,52.62,33.1,B,15.2,B,0.9,F,.,.,2.9,C,A,A
09X204,9,P.S. 204 Morris Heights,Marcy Glattstein,EMS,Elementary,A,65.4,83.28,32.3,B,18,A,13.1,A,.,.,2,A,B,A
09X215,9,Kappa,Sheri Warren,EMS,Middle,B,55.9,46.35,29.8,B,13.5,B,9.1,B,.,.,3.5,B,B,B
09X218,9,P.S./I.S. 218 Rafael Hernandez Dual Language Mag,Leticia Rosario,EMS,K-8,B,59.6,64.02,30.8,B,15.9,B,8.6,B,.,.,4.3,C,C,A
09X219,9,I.S. 219 New Venture School,Dominic Cipollone,EMS,Middle,C,46.7,24.72,27.1,C,8.3,C,7,C,.,.,4.3,B,C,B
09X227,9,Bronx Collegiate Academy,Darryl White,HS,High School,B,63.1,50.95,29.3,B,9.9,C,12.3,A,5.3,B,6.26,A,B,C
09X229,9,I.S. 229 Roland Patterson,Ezra Matthias,EMS,Middle,B,63.4,63.48,40,A,11.2,C,6.8,C,.,.,5.4,B,B,B
09X230,9,P.S. 230 Dr Roland N. Patterson,Rowena Penn,EMS,Elementary,,.,.,.,,.,,.,,.,.,.,F,C,C
09X231,9,Eagle Academy for Young Men,Jonathan Foy,EMS,Middle,C,47.1,25.56,23,C,9.7,C,9.9,B,.,.,4.5,C,.,.
09X231,9,Eagle Academy for Young Men,Jonathan Foy,HS,High School,B,65.8,59.08,27.6,C,12.6,B,11.6,B,6.2,B,7.81,B,B,B
09X232,9,I.S. 232,Neifi Acosta,EMS,Middle,A,86.7,97.47,53.2,A,16.2,B,11,B,.,.,6.2,A,A,A
09X236,9,P.S. 236 Langston Hughes,Beverly Ellis,EC,K-3,C,25,.,6.9,C,5.6,C,10.7,B,.,.,1.8,C,C,B
09X239,9,"Urban Assembly Academy for History and Citizenship for Young Men, The",Avis Terrell,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,F
09X241,9,Urban Assembly School for Applied Math and Scien,David Krulwich,EMS,Middle,B,58.9,52.53,33.7,B,12.4,B,8.1,C,.,.,4.7,B,B,B
09X241,9,"Urban Assembly School for Applied Math and Science, The",David Krulwich,HS,High School,A,71.4,72.36,30,B,17,A,10.2,B,7.4,A,6.84,A,A,
09X250,9,Eximius College Preparatory Academy: A College Board School,Jonathan Daly,HS,High School,B,66.4,60.7,31.6,B,12.2,B,13.1,A,5.8,B,3.55,B,B,B
09X252,9,Mott Hall Bronx High School,Kathryn Malloy,HS,High School,B,67.9,65.04,29,B,16.3,A,10.9,B,6.2,B,5.49,B,B,A
09X260,9,Bronx Center for Science and Mathematics,Edward Tom,HS,High School,A,86.2,95.39,46,A,16.6,A,12.4,A,7.5,A,3.73,A,A,B
09X263,9,Validus Preparatory Academy: An Expeditionary Learning School,Javier Fortiche Ocampo,HS,High School,D,44,7.86,20.6,C,7.9,C,8.9,C,3.5,C,3.06,B,C,A
09X276,9,Leadership Institute,Marta Colon,HS,High School,C,48.8,13.01,20.1,C,11.3,C,10.4,B,3.7,C,3.22,D,C,D
09X297,9,Morris Academy for Collaborative Studies,Matthew Mazzaroppi,HS,High School,B,61.7,46.88,25.6,C,12.9,B,10.6,B,3.8,C,8.76,B,B,A
09X303,9,I.S. X303 Leadership & Community Service,Patricia Bentley,EMS,Middle,A,70,79.78,37.4,B,14.7,B,11.9,A,.,.,6,C,C,C
09X313,9,I.S. 313 School of Leadership Development,Lauren Wilkins,EMS,Middle,C,41.8,14.89,26.9,C,6.2,D,3.9,F,.,.,4.8,C,C,B
09X323,9,Bronx Writing Academy,Kamar Samuels,EMS,Middle,A,77,89.61,49.4,A,14.7,B,7.1,C,.,.,5.8,C,C,A
09X324,9,Bronx Early College Academy for Teaching & Learn,Yvette Rivera,EMS,Middle,D,37,8.99,18.1,C,8.5,C,7.3,C,.,.,3.1,D,C,B
09X324,9,Bronx Early College Academy for Teaching & Learning,Yvette Rivera,HS,High School,A,74.4,77.51,37.6,A,17.2,A,7.8,C,7.6,A,4.19,,,
09X325,9,Urban Science Academy,Patrick Kelly,EMS,Middle,D,35.2,8.01,17.6,C,7,D,7.2,C,.,.,3.4,B,C,B
09X327,9,Comprehensive Model School Project M.S. 327,Manuel Ramirez,EMS,Middle,A,70.8,81.46,35.1,B,19.7,A,10.7,B,.,.,5.3,A,B,A
09X327,9,Comprehensive Model School Project M.S. 327,Manuel Ramirez,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
09X328,9,New Millennium Business Academy Middle School,Dorald Bastian,EMS,Middle,C,40.1,12.92,16.6,C,9.2,C,11.4,A,.,.,2.9,C,D,C
09X329,9,DreamYard Preparatory School,Alicia Wargo,HS,High School,C,53.6,24.12,27.4,C,6,D,11.1,B,4.5,C,4.64,B,D,D
09X339,9,I.S. 339,"Outerbridge, Kim",EMS,Middle,B,54.4,42.7,31.3,B,10,C,8.6,C,.,.,4.5,C,D,B
09X365,9,Academy for Language and Technology,Arisleyda Urena,HS,High School,A,77.5,83.74,39.5,A,14.4,B,11.3,B,3.9,C,8.3,A,A,
09X403,9,Bronx International High School,Joaquin Vega,HS,High School,C,56.9,29.54,27.9,B,9.4,C,10,B,3.1,D,6.48,A,A,A
09X404,9,School for Excellence,Carmen Bardeguez Brown,HS,High School,B,63.4,51.76,31.9,B,13.9,B,7.8,C,3.4,C,6.4,A,B,B
09X412,9,Bronx High School of Business,Vincent Rodriguez,HS,High School,C,47.4,11.38,21.3,C,8.2,C,7.6,C,5.1,C,5.17,C,C,C
09X413,9,Bronx High School for Medical Science,William Quintana,EMS,Middle,B,57.6,50.84,26.1,C,16.6,A,10.9,B,.,.,3.9,B,B,B
09X413,9,Bronx High School for Medical Science,William Quintana,HS,High School,B,63.6,52.03,31.4,B,12.4,B,9.7,C,6.1,B,3.9,B,C,B
09X414,9,Jonathan Levin High School for Media and Communications,Nasib Hoxha,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,D,C,C
09X443,9,THE FAMILY SCHOOL,Pamela Lee,EMS,Elementary,C,37.3,11.48,27.1,C,4.5,F,2.2,D,.,.,3.4,C,D,.
09X449,9,GRANT AVENUE ELEMENTARY SCHOOL,Kristin Erat,EMS,Elementary,D,30,3.28,8.5,F,9.2,C,10.9,A,.,.,1.4,B,.,.
09X454,9,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHO,Dr. Patrick Awosogba,EMS,Middle,A,76.9,89.33,42.3,A,17.2,A,11.7,A,.,.,5.7,A,A,.
09X457,9,SHERIDAN ACADEMY FOR YOUNG LEADERS,Lisette Febus,EMS,Elementary,C,46.6,33.93,32.5,B,8.1,C,2.4,D,.,.,3.6,C,C,.
09X505,9,"Bronx School for Law, Government and Justice",Meisha Ross-Porter,EMS,Middle,B,53.2,40.17,28.6,B,11.6,B,7.3,C,.,.,5.7,C,C,C
09X505,9,"Bronx School for Law, Government and Justice",Meisha Ross-Porter,HS,High School,B,60.5,42.28,28,B,12.5,B,8.8,C,6,B,5.22,B,C,B
09X517,9,Frederick Douglass Academy III Secondary School,Rahesha Amon,EMS,Middle,,.,.,.,,.,,.,,.,.,.,,.,C
09X517,9,Frederick Douglass Academy III Secondary School,Rahesha Amon,HS,High School,B,64,53.93,28.3,B,13.4,B,8,C,7.8,A,6.54,B,B,B
09X525,9,Bronx Leadership Academy High School,"Kenneth Gaskins,jr.",HS,High School,C,54.7,24.93,22.2,C,11.6,B,11,B,5.5,B,4.36,B,B,B
09X543,9,High School for Violin and Dance,Franklin Sim,HS,High School,C,50,14.63,26.4,C,8.7,C,6.3,D,3.8,C,4.79,B,A,A
09X564,9,Claremont International HS,Elizabeth Demchak,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
09X568,9,Young Women's Leadership School of the Bronx,Lemarie Laureano,EMS,Middle,,.,.,.,,.,,.,,.,.,.,,,
10X003,10,P.S. 3 Raul Julia Micro Society,Denise Brown,EMS,K-8,B,56.1,50.61,30,B,14.8,B,6.6,C,.,.,4.7,C,B,A
10X007,10,P.S. 007 Kingsbridge,Frank Patterson,EMS,Elementary,A,81,98.36,44.4,A,20.4,A,13.8,A,.,.,2.4,A,A,C
10X008,10,P.S. 008 Issac Varian,Rosa Maria Peralta,EMS,Elementary,A,70.4,91.15,39,A,19.5,A,8.3,B,.,.,3.6,A,B,B
10X009,10,P.S. 9 Ryer Avenue Elementary School,Jacqueline Bailey,EMS,Elementary,B,50.2,44.75,37.3,A,8.2,C,0.5,F,.,.,4.2,C,C,C
10X015,10,P.S. X015 Institute for Environmental Learning,Tara Edmonds,EMS,K-8,B,61,67.68,30.4,B,16.1,B,9.9,B,.,.,4.5,B,A,A
10X020,10,P.S. 20 P.O.George J. Werdan III,Joan Riley,EMS,K-8,C,52.4,36.59,27.9,C,14.5,B,5.3,C,.,.,4.6,A,C,B
10X023,10,P.S. 023 The New Children's School,Shirley Torres,EMS,Elementary,B,54,57.87,33.8,B,7.7,C,5.5,C,.,.,6.9,C,B,C
10X024,10,P.S. 024 Spuyten Duyvil,Donna Connelly,EMS,Elementary,C,37.1,10.82,23.9,C,11.1,B,0.9,F,.,.,1.1,C,B,C
10X032,10,P.S. 032 Belmont,Adalia Rosamilia,EMS,Elementary,A,77.6,96.07,42.4,A,20.8,A,9.2,A,.,.,5.2,A,B,A
10X033,10,P.S. 033 Timothy Dwight,Lynette Santos,EMS,Elementary,C,47.5,35.74,30,B,8.1,C,5.1,C,.,.,4.3,C,C,A
10X037,10,P.S. X037 - Multiple Intelligence School,Kenneth Petriccione,EMS,K-8,A,66.6,81.1,35.9,B,16.3,B,10.1,B,.,.,4.3,B,C,B
10X045,10,Thomas C. Giordano Middle School 45,Annamaria Giordano,EMS,Middle,C,40.1,12.92,20.4,C,11.6,B,4.1,F,.,.,4,D,C,C
10X046,10,P.S. 046 Edgar Allan Poe,Jennifer Alexander-Ade,EMS,Elementary,B,50,44.26,30.9,B,9.1,C,6.2,B,.,.,3.8,B,C,C
10X051,10,P.S. 051 Bronx New School,Paul Smith,EMS,Elementary,B,58.5,70,37.3,A,11.3,B,6.7,B,.,.,3.2,A,A,B
10X054,10,P.S. / I.S. 54,Maribelle Nunez-Pardo,EMS,Elementary,C,38.6,14.1,27.1,C,5.8,D,2,D,.,.,3.6,C,D,C
10X056,10,P.S. 056 Norwood Heights,Priscilla Sheeran,EMS,Elementary,A,67.7,87.54,40.6,A,14.1,B,8.7,B,.,.,4.3,A,A,A
10X059,10,P.S. 059 The Community School of Technology,Sita Basu,EMS,Elementary,B,49.8,43.44,31.9,B,9.3,C,4.4,C,.,.,4.2,B,B,B
10X080,10,J.H.S. 080 The Mosholu Parkway,Emmanuel Polanco,EMS,Middle,C,45.7,23.03,26.9,C,9.2,C,5.3,D,.,.,4.3,B,C,B
10X081,10,P.S. 081 Robert J. Christen,Anna Kirrane,EMS,Elementary,A,61.9,78.03,37.9,A,13.8,B,7.9,B,.,.,2.3,B,C,C
10X085,10,P.S. 085 Great Expectations,Ted Husted,EMS,Elementary,C,42.6,24.1,31.8,B,6.1,D,1.3,F,.,.,3.4,B,C,C
10X086,10,P.S. 086 Kingsbridge Heights,Fiona Tyson,EMS,Elementary,A,73.7,92.95,40.6,A,18.3,A,11.3,A,.,.,3.5,A,A,A
10X091,10,P.S. 091 Bronx,Meridith Struhl Nasjlett,EMS,Elementary,C,45.5,31.15,28.4,B,13.7,B,0.3,F,.,.,3.1,B,C,B
10X094,10,P.S. 094 Kings College School,Diane Daprocida,EMS,Elementary,C,37.6,11.64,22.6,C,7.6,C,4.6,C,.,.,2.8,D,C,C
10X095,10,P.S. 095 Sheila Mencher,Serge Marshall Davis,EMS,K-8,B,55.2,46.34,34.2,B,13.5,B,2.4,D,.,.,5.1,B,C,B
10X118,10,J.H.S. 118 William W. Niles,Elizabeth Lawrence,EMS,Middle,A,68.6,76.4,41.1,A,16.7,A,7.3,C,.,.,3.5,C,C,C
10X141,10,Riverdale / Kingsbridge Academy (Middle School /,Lori O'mara,EMS,Middle,B,59.5,53.93,32.7,B,14.6,B,6.9,C,.,.,5.3,B,C,D
10X141,10,Riverdale / Kingsbridge Academy (Middle School / High School 141),Lori O'mara,HS,High School,B,64.3,54.74,33,B,12.3,B,8.7,C,6.4,B,3.89,B,A,A
10X159,10,P.S. 159 Luis Munoz Marin Biling,Luis Liz,EMS,Elementary,A,78.9,96.72,47.6,A,14.9,B,10.9,A,.,.,5.5,C,C,B
10X205,10,P.S. 205 Fiorello Laguardia,Carol Rosado,EMS,Elementary,C,47.6,36.07,20.1,C,17.9,A,7.4,B,.,.,2.2,A,B,A
10X206,10,I.S. 206 Ann Mersereau,David Neering,EMS,Middle,B,59.8,54.49,36,B,10.2,C,10.3,B,.,.,3.3,C,C,B
10X207,10,P.S. 207,Maria Rosado,EC,K-2,B,47.1,.,21,B,14.2,B,6.5,C,.,.,5.4,B,C,C
10X209,10,P.S. 209,Anne Keegan,EC,K-2,B,50.5,.,18.3,B,15.7,B,13.2,A,.,.,3.3,A,B,A
10X213,10,Bronx Engineering and Technology Academy,Karalyne Sperling,HS,High School,B,63.3,51.49,27.4,C,14,B,8.6,C,5.8,B,7.42,B,C,A
10X225,10,Theatre Arts Production Company School,Ron Link,EMS,Middle,B,54.9,44.66,29.3,B,12.9,B,9.5,B,.,.,3.2,C,C,B
10X225,10,Theatre Arts Production Company School,Ron Link,HS,High School,C,56,28.18,19.5,C,15.3,A,10.3,B,6.3,B,4.55,B,,
10X226,10,P.S. 226,Gloria Darden,EMS,Elementary,C,41.7,21.97,25.6,C,7.5,C,4.5,C,.,.,4.1,C,C,D
10X228,10,Jonas Bronck Academy,Brenda Gonzalez,EMS,Middle,A,74.8,87.92,41,A,14.2,B,14.4,A,.,.,5.2,B,B,A
10X237,10,"The Marie Curie School for Medicine, Nursing, and Health Professions",Rodney Fisher,HS,High School,C,50.5,15.99,26.3,C,9.1,C,6.9,D,4.2,C,4.03,C,B,A
10X243,10,West Bronx Academy for the Future,Wilper Morales,EMS,Middle,A,67.7,75,44.7,A,9.9,C,7.4,C,.,.,5.7,D,C,C
10X243,10,West Bronx Academy for the Future,Wilper Morales,HS,High School,C,48.1,12.47,19.1,D,10.8,C,7.4,C,5,C,5.82,C,C,C
10X244,10,The New School for Leadership and Journalism,Dolores Peterson,EMS,Middle,A,93.9,99.72,55.7,A,20,A,11.8,A,.,.,6.4,A,A,B
10X246,10,P.S. 246 Poe Center,Beverly Miller,EMS,Elementary,C,38.8,14.59,24.1,C,8.5,C,3.8,C,.,.,2.4,C,B,C
10X254,10,I.S. 254,Antonio Pozo,EMS,Middle,B,61.9,60.39,37.5,B,13.3,B,6.6,C,.,.,4.5,B,C,A
10X268,10,Kingsbridge International High School,Ronald Foreman,HS,High School,B,66.7,61.79,38.2,A,7.5,C,10.6,B,4.3,C,6.1,B,B,B
10X279,10,"P.S. 279 Captain Manuel Rivera, Jr.",Jean Dalton Encke,EMS,K-8,C,50.6,34.76,28.9,B,8.8,C,8.1,B,.,.,4.8,A,B,B
10X280,10,P.S./M.S. 280 Mosholu Parkway,James Weeks,EMS,K-8,B,59.5,62.2,27.5,C,18,A,10.4,A,.,.,3.5,A,B,A
10X284,10,Bronx School of Law and Finance,Jessica Goring,HS,High School,C,57.9,31.44,26.2,C,12.1,B,9.7,C,5,C,4.94,B,B,B
10X291,10,P.S. 291,Carlos Velez,EMS,Elementary,A,73.9,93.28,38.7,A,20.5,A,11.5,A,.,.,3.2,A,B,B
10X306,10,P.S. 306,Darryl Harrington,EMS,Elementary,B,51.8,50.98,36.2,A,9.5,C,2.6,C,.,.,3.4,C,D,C
10X307,10,P.S. X307 - Eames Place,Yolanda Valez,EMS,Elementary,A,64.2,81.15,26.9,C,22.2,A,11.3,A,.,.,3.8,A,A,A
10X308,10,Bronx Dance Academy School,Sandra Sanchez,EMS,Middle,B,65.5,69.66,39.4,A,13.8,B,9,B,.,.,3.3,A,B,B
10X310,10,P.S. 310 Marble Hill,Elizabeth Cardona,EMS,Elementary,B,53.5,57.05,27.5,C,15.2,B,7,B,.,.,3.8,A,D,A
10X315,10,P.S. 315 Lab School,Gaby Flores,EMS,K-8,C,47.9,28.66,15,D,17.6,A,12.4,A,.,.,2.9,A,A,A
10X319,10,Providing Urban Learners Success In Education High School,Carol Wiggins,HST,High School Transfer,B,61.5,.,29.4,B,9.3,B,12,B,3.4,C,7.32,B,,
10X331,10,The Bronx School of Science Inquiry and Investig,Serapha Cruz,EMS,Middle,B,66.5,72.47,40.1,A,10,C,12.3,A,.,.,4.1,B,B,B
10X340,10,P.S. 340,Nelly Maldonado,EMS,Elementary,A,66.2,84.59,35.4,B,16.4,A,10.2,A,.,.,4.2,A,C,B
10X342,10,International School for Liberal Arts,Francine Cruz,EMS,Middle,A,71.3,82.58,39.8,A,12.9,B,12,A,.,.,6.6,A,A,B
10X342,10,International School for Liberal Arts,Francine Cruz,HS,High School,B,69.9,67.48,38.7,A,9.3,C,11.1,B,4.1,C,6.63,A,C,B
10X344,10,Ampark Neighborhood,Christine Mccourt,EMS,Elementary,C,43.2,25.74,17.9,D,15.1,B,8.5,B,.,.,1.6,C,C,.
10X360,10,P.S. 360,Nancy Rodriguez-Lewis,EMS,Elementary,C,47.9,36.89,27.8,C,10,C,7.8,B,.,.,2.3,B,C,B
10X363,10,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,Angelo Ledda,EMS,Middle,A,74,86.8,49.5,A,7.8,C,9.9,B,.,.,6.8,C,.,.
10X368,10,In-Tech Academy (M.S. / High School 368),Yvette Allen,EMS,Middle,B,53.2,40.17,28.1,C,12.7,B,7.2,C,.,.,5.2,B,B,B
10X368,10,In-Tech Academy (M.S. / High School 368),Yvette Allen,HS,High School,C,49.6,13.55,23.4,C,9,C,8.9,C,4.5,C,3.77,C,C,B
10X374,10,Knowledge and Power Preparatory Academy International High School (Kappa),Panorea Panagiosoulis,HS,High School,A,84.8,93.22,35.6,B,19,A,12.6,A,9.3,A,8.27,B,A,
10X382,10,"Elementary School for Math, Science, and Technol",Avon Connell-Cowell,EMS,Elementary,B,50,44.26,29.1,B,10.4,C,8.3,B,.,.,2.2,A,B,C
10X386,10,School for Environmental Citizenship,Angelyn Donald,EMS,Elementary,A,69.9,90,39.3,A,16,A,10.9,A,.,.,3.7,A,F,F
10X390,10,M.S. 390,Robert Mercedes,EMS,Middle,A,69.5,78.09,44.8,A,9.6,C,9.9,B,.,.,5.2,B,B,C
10X391,10,The Angelo Patri Middle School,Graciela Abadia,EMS,Middle,C,48,27.25,27.3,C,7.9,C,8.9,B,.,.,3.9,B,C,B
10X396,10,P.S. 396,Nicole Tine,EMS,Elementary,B,49,40.66,23.6,C,12.2,B,8.6,B,.,.,4.6,C,B,B
10X397,10,English Language Learners and International Support Preparatory Academy (ELLIS),Norma Vega,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,C,,
10X397,10,English Language Learners and International Support Preparatory Academy (ELLIS),Norma Vega,HST,High School Transfer,.,.,.,.,.,.,.,.,.,.,.,.,,,
10X433,10,High School for Teaching and the Professions,Jason Maass,HS,High School,B,63.9,53.66,28.1,B,13.6,B,8.5,C,7.3,A,6.4,B,B,A
10X434,10,Belmont Preparatory High School,Stephen Joseph Gumbs,HS,High School,B,65.9,59.35,31.7,B,12.3,B,10,B,5.6,B,6.3,B,A,A
10X437,10,Fordham High School for the Arts,Iris Blige,HS,High School,A,88.4,96.48,42.5,A,18.6,A,13.6,A,5.4,B,8.34,A,A,A
10X438,10,Fordham Leadership Academy for Business and Technology,Mary Ann Tucker,HS,High School,C,52.3,20.87,25,C,5.9,F,12,A,5,C,4.39,F,D,C
10X439,10,Bronx High School for Law and Community Service,Michael Barakat,HS,High School,B,59,36.59,26.2,C,11.5,C,10.7,B,4.7,C,5.85,C,B,D
10X440,10,DeWitt Clinton High School,Geraldine Ambrosio,HS,High School,F,32.3,2.44,13,F,6.2,D,5.2,D,5.1,C,2.84,F,F,C
10X442,10,"Celia Cruz Bronx High School of Music, The",Jerrod Mabry,HS,High School,B,59.8,38.75,30.9,B,12.2,B,9.4,C,4.1,C,3.22,B,C,B
10X445,10,Bronx High School of Science,Valerie Reidy,HS,High School,A,85.3,93.77,47.6,A,18.6,A,9.1,C,10,A,0.01,A,A,A
10X447,10,CRESTON ACADEMY,Pamela Edwards,EMS,Middle,A,83.1,94.66,48.8,A,16.7,A,12.1,A,.,.,5.5,B,C,.
10X459,10,EAST FORDHAM ACADEMY FOR THE ARTS,Tanicia Williams,EMS,Middle,C,51,35.11,32.9,B,7.3,D,6.6,C,.,.,4.2,C,A,.
10X475,10,John F. Kennedy High School,Lisa Luft,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,D
10X477,10,Marble Hill High School for International Studies,Kirsten Larson,HS,High School,A,87.9,95.93,45.5,A,15.4,A,12.2,A,6.6,B,8.13,A,A,A
10X503,10,Walton Yabc,Keesha Lindsay,YABC,YABC,C,52.5,.,27.1,B,7.1,C,8.2,C,3.8,C,6.29,B,C,B
10X504,10,Kennedy Yabc,Frank Parrino,YABC,YABC,F,33.5,.,13.3,D,4.5,C,7.2,D,2.9,C,5.59,C,D,B
10X524,10,Crotona International High School,Jesseca Long,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
10X546,10,Bronx Theatre High School,Charles Gallo,HS,High School,C,55.2,26.83,21.7,C,10,C,12.5,A,6,B,4.96,B,C,C
10X549,10,Discovery High School,Rolando Rivera,HS,High School,A,78.9,86.18,41.2,A,11.3,C,12.6,A,6.2,B,7.62,A,A,A
10X565,10,High School for Energy and Technology,Ignazio Accardi,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,,
10X660,10,Grace Dodge Career and Technical Education High School,Frank Giaimo,HS,High School,.,.,.,.,.,.,.,.,.,.,.,.,,F,D
10X667,10,Grace Dodge Yabc,Patricia Squire,YABC,YABC,C,46.5,.,22.5,C,5,C,10,B,3.2,C,5.73,B,D,D
10X696,10,High School of American Studies at Lehman College,Mr. Alessandro Weiss,HS,High School,A,90.7,97.56,49.4,A,18.5,A,12.9,A,9.9,A,0,A,A,A
11X016,11,P.S. 016 Wakefield,Yvonne Williams,EMS,Elementary,C,44.3,28.69,29.6,B,7.6,C,4.6,C,.,.,2.5,C,B,C
11X019,11,P.S. 019 Judith K. Weiss,Timothy P. Sullivan,EMS,K-8,B,55.3,46.95,29.1,B,12.4,B,11.2,A,.,.,2.6,B,B,C
11X021,11,P.S. 021 Philip H. Sheridan,Joyce Coleman,EMS,Elementary,D,34.4,7.05,20.3,C,7.8,C,4.4,C,.,.,1.8,C,C,C
11X041,11,P.S. 041 Gun Hill Road,Erika Tobia,EMS,Elementary,A,67.2,86.56,44,A,14.5,B,4.5,C,.,.,4.2,C,A,A
11X068,11,P.S. 068 Bronx,Catherine Helfrich,EMS,Elementary,C,47.7,36.39,32,B,9.7,C,3.5,C,.,.,2.5,C,B,B
11X076,11,P.S. 076 The Bennington School,Louise Sedotto,EMS,Elementary,D,32.9,5.9,18.8,D,6.9,D,5.1,C,.,.,2,C,B,A
11X078,11,P.S. 078 Anne Hutchinson,Claudina Skerritt,EMS,Elementary,B,48.9,40.16,36.2,A,7.3,C,3.1,C,.,.,2.2,C,B,C
11X083,11,P.S. 083 Donald Hertz,Claudia Macek,EMS,K-8,C,47.6,27.11,23,C,12.9,B,8.8,B,.,.,2.9,B,B,C
11X087,11,P.S. 087 Bronx,Donna Anaman,EMS,Elementary,B,56.7,65.25,38,A,10.8,B,5.6,C,.,.,2.3,C,C,C
11X089,11,P.S. 089 Bronx,Ralph Martinez,EMS,K-8,A,67.5,82.93,43.5,A,9.8,C,8.5,B,.,.,5.7,C,C,C
11X096,11,P.S. 096 Richard Rodgers,Marta Garcia,EMS,Elementary,D,34.6,7.38,15.1,F,10.7,B,6.3,B,.,.,2.4,B,B,B
11X097,11,P.S. 097 Bronx,Katheleen Bornkamp,EMS,Elementary,B,59.7,73.11,39.8,A,13.1,B,4.6,C,.,.,2.2,B,A,B
11X103,11,P.S. 103 Hector Fontanez,Farid Reyes,EMS,Elementary,D,33.9,6.89,20.8,C,5.4,D,5.6,C,.,.,2.1,C,B,B
11X105,11,P.S. 105 Sen Abraham Bernstein,Mr. Christopher Eustace,EMS,Elementary,C,48.7,39.18,32.5,B,10.7,B,2.5,D,.,.,3,B,C,B
11X106,11,P.S. 106 Parkchester,Eugenia Montalvo,EMS,Elementary,C,40.9,19.51,22.9,C,10.4,C,5.5,C,.,.,2.1,B,B,B
11X108,11,P.S. 108 Philip J. Abinanti,Charles Sperrazza,EMS,Elementary,C,41,20.49,27.5,C,10.8,B,1.3,F,.,.,1.4,C,C,C
11X111,11,P.S. 111 Seton Falls,Ava Fullenweider,EMS,Elementary,C,45.8,32.13,33.1,B,7.2,C,2.5,D,.,.,3,D,C,C
11X112,11,P.S. 112 Bronxwood,Susan Barnes,EMS,Elementary,F,16.1,0.16,6.7,F,1.2,F,6.2,B,.,.,2,C,D,A
11X121,11,P.S. 121 Throop,Rachel Donnelly,EMS,Elementary,A,61.3,77.05,35.9,B,13.4,B,9.5,A,.,.,2.4,C,C,B
11X127,11,J.H.S. 127 The Castle Hill,Harry Sherman,EMS,Middle,B,54.9,44.66,31.7,B,11.9,B,7.8,C,.,.,3.5,B,C,B
11X142,11,MS 142 John Philip Sousa,Lajuan White,EMS,Middle,,.,.,.,,.,,.,,.,.,.,C,C,C
