DBN,School Name,School Type,"Total Parent Response Rate (%)",Total Teacher Response Rate (%),Total Student Response Rate (%),Total Academic Expectations Score,Total Communication Score,Total Engagement Score,Total Safety and Respect Score
22K254,P.S. 254 Dag Hammarskjold,ES,95,98,N/A,8.5,8.6,8.3,8.8
22K255,P.S. 255 Barbara Reing School,ES,59,96,N/A,8.6,8.6,8.6,8.8
22K269,P.S. 269 Nostrand,ES,58,79,N/A,7.9,7.6,7.5,7.7
22K277,P.S. 277 Gerritsen Beach,ES,92,100,N/A,8.9,9.0,8.9,9.2
22K278,J.H.S. 278 Marine Park,MS,53,92,93,8.6,8.5,8.1,8.1
22K312,P.S. 312 Bergen Beach,ES,81,94,N/A,9.1,9.1,9.0,9.1
22K315,P.S. K315,ES,59,98,N/A,8.4,8.3,8.1,8.0
22K326,P.S. 326,ECC,63,100,N/A,9.4,9.6,9.3,9.4
22K361,P.S. 361 East Flatbush Early Childhood School,ECC,58,78,N/A,7.6,7.0,7.2,7.5
22K381,I. S. 381,MS,40,85,99,7.8,7.5,7.2,7.6
22K405,Midwood High School,HS,17,81,76,8.3,7.8,7.8,7.9
22K425,James Madison High School,HS,25,54,82,8.6,8.3,8.2,8.1
22K495,Sheepshead Bay High School,HS,5,73,72,7.0,6.6,6.4,6.3
22K535,Leon M. Goldstein High School for the Sciences,HS,18,88,90,8.2,7.9,7.8,8.4
22K555,Brooklyn College Academy,MS/HS,52,90,95,8.9,8.7,8.0,8.7
23K041,P.S. 041 Francis White,ES/MS,24,63,97,7.9,7.9,7.4,7.0
23K073,P.S. 073 Thomas S. Boyland,ES/MS,87,84,96,7.8,8.0,7.4,6.8
23K137,P.S./I.S. 137 Rachel Jean Mitchell,ES/MS,65,82,99,8.4,8.0,7.9,7.6
23K150,P.S. 150 Christopher,ES,76,100,N/A,7.2,6.5,6.8,6.7
23K155,P.S./ I.S. 155 Nicholas Herkimer,ES/MS,85,100,93,8.5,8.6,8.2,7.6
23K156,P.S. 156 Waverly,ES,70,100,N/A,8.7,8.8,8.5,8.6
23K165,P.S. 165 Ida Posner,ES/MS,35,77,90,8.0,8.0,7.7,7.2
23K178,P.S. 178 Saint Clair Mckelway,ES/MS,83,83,89,8.2,8.1,7.7,7.5
23K184,P.S. 184 Newport,ES/MS,69,75,77,7.8,7.7,7.3,7.3
23K284,P.S. 284 Lew Wallace,ES/MS,74,98,94,8.6,8.6,8.1,7.9
23K298,P.S. 298 Dr. Betty Shabazz,ES/MS,52,65,90,7.4,7.6,7.1,6.8
23K323,P.S./I.S. 323,ES/MS,81,97,98,8.5,8.5,8.3,8.2
23K327,P.S. 327 Dr. Rose B. English,ES/MS,45,66,94,8.3,8.1,7.8,7.4
23K332,P.S. 332 Charles H. Houston,ES/MS,55,100,82,7.6,7.9,7.4,7.2
23K363,Brownsville Collaborative Middle School,MS,76,100,99,8.8,9.0,8.6,8.4
23K392,I.S. 392,MS,77,100,98,8.5,8.3,7.9,8.2
23K401,Christopher Avenue Community School,ECC,29,69,N/A,7.6,7.6,7.2,7.2
23K446,Riverdale Avenue Community School,ECC,47,53,N/A,8.3,8.5,8.1,8.3
23K493,Brooklyn Collegiate: A College Board School,MS/HS,25,39,67,7.7,7.3,7.0,7.0
23K514,Frederick Douglass Academy VII High School,HS,46,100,88,7.3,7.3,6.8,7.0
23K518,Kappa V,MS,100,84,100,8.1,8.2,7.7,7.5
23K522,Mott Hall IV,MS,76,100,99,8.8,8.6,8.2,8.4
23K631,General D. Chappie James Elementary School of Science,ES,43,92,N/A,8.6,8.9,8.5,8.3
23K634,General D. Chappie James Middle School of Science,MS,41,100,85,7.2,7.6,6.6,5.8
23K643,Brooklyn Democracy Academy,HST,12,81,40,8.3,8.3,8.0,8.0
23K644,Eagle Academy for Young Men II,MS/HS,20,68,75,8.3,8.5,8.1,7.9
23K646,Aspirations Diploma Plus High School,HST,30,100,62,8.9,8.8,8.4,8.5
23K671,MOTT HALL BRIDGES ACADEMY,MS,70,81,82,9.2,9.1,8.9,8.9
23K697,Teachers Preparatory High School,MS/HS,40,71,81,7.9,7.5,7.1,7.0
24Q005,I.S. 5 - The Walter Crowley Intermediate School,MS,73,88,96,8.1,7.9,7.7,7.7
24Q007,P.S. 007 Louis F. Simeone,ECC,94,70,N/A,7.2,6.9,6.8,7.9
24Q012,P.S. 012 James B. Colgate,ES,85,100,N/A,8.8,9.0,8.6,9.0
24Q013,P.S. 013 Clement C. Moore,ES,91,90,N/A,8.0,7.8,7.6,8.3
24Q014,P.S. 014 Fairview,ES,22,59,N/A,8.4,8.6,8.2,8.7
24Q016,P.S. Q016 The Nancy DeBenedittis School,ES,82,98,N/A,8.9,8.8,8.6,8.9
24Q019,P.S. 019 Marino Jeantet,ES,82,86,N/A,8.1,8.2,7.9,8.4
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Center,ECC,90,98,N/A,8.7,8.5,8.5,9.0
24Q049,P.S. 049 Dorothy Bonawit Kole,ES/MS,82,67,98,7.9,7.5,7.3,7.5
24Q058,P.S. 58 - School of Heroes,ES,81,91,91,7.9,7.3,7.2,7.9
24Q061,I.S. 061 Leonardo Da Vinci,MS,69,59,96,8.0,8.0,7.5,7.6
24Q068,P.S. 068 Cambridge,ES,68,90,N/A,8.1,7.9,7.8,8.2
24Q071,P.S. 071 Forest,ES,78,68,N/A,7.8,6.9,7.1,8.0
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,MS,59,59,95,7.4,7.0,6.5,7.0
24Q077,I.S. 077,MS,81,97,95,8.0,7.9,7.3,7.5
24Q081,P.S. 81Q Jean Paul Richter,ES,96,100,N/A,8.6,8.7,8.5,8.7
24Q087,P.S. 087 Middle Village,ES/MS,39,42,92,8.7,8.8,8.5,8.6
24Q088,P.S. 088 Seneca,ES,73,76,N/A,7.4,6.8,6.8,8.0
24Q089,P.S. 089 Elmhurst,ES,97,95,N/A,8.3,8.4,8.0,8.5
24Q091,P.S. 091 Richard Arkwright,ES,51,61,N/A,8.4,8.1,8.0,8.3
24Q093,I.S. 093 Ridgewood,MS,57,100,95,7.8,7.4,7.1,7.1
24Q102,P.S. 102 Bayview,ES/MS,40,100,98,8.6,8.5,8.2,8.6
24Q110,PS 110,ECC,63,100,N/A,7.9,7.2,7.3,8.4
24Q113,P.S. 113 Isaac Chauncey,ES/MS,98,100,96,9.1,9.0,8.8,9.3
24Q119,I.S. 119 The Glendale,ES/MS,57,92,97,8.2,7.7,7.6,7.8
24Q125,I.S. 125 Thom J. McCann Woodside,MS,60,94,96,8.6,8.3,8.1,8.3
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",ES/MS,61,88,97,8.8,8.5,8.2,8.7
24Q143,P.S. 143 Louis Armstrong,ES,27,91,N/A,7.6,7.7,7.3,7.9
24Q153,P.S. 153 Maspeth Elem,ES,82,94,99,8.6,8.5,8.3,8.6
24Q199,P.S. 199 Maurice A. Fitzgerald,ES,81,99,N/A,8.1,8.2,7.7,8.4
24Q229,P.S. 229 Emanuel Kaplan,ES,70,98,97,8.5,8.3,8.2,8.2
24Q239,P.S. 239,ES,67,96,N/A,8.2,8.3,7.8,8.5
24Q264,Academy of Finance and Enterprise,HS,71,100,98,8.6,8.3,7.9,8.3
24Q267,High School of Applied Communication,HS,28,96,91,8.3,8.4,7.8,8.2
24Q290,P.S. 290,ECC,89,100,N/A,8.7,7.8,7.9,8.7
24Q293,Civic Leadership Academy,HS,56,88,97,8.2,7.7,7.5,8.4
24Q296,Pan American International High School,HS,38,93,79,8.0,7.3,7.4,7.6
24Q299,Bard High School Early College Queens,HS,47,93,48,8.9,8.0,8.1,8.7
24Q305,Learners and Leaders,ECC,87,69,N/A,8.7,8.9,8.7,8.8
24Q307,Pioneer Academy,ES,100,87,N/A,8.3,7.9,8.0,8.6
24Q330,P.S. 330,ECC,63,96,N/A,7.9,8.0,7.8,8.3
24Q455,Newtown High School,HS,17,67,74,8.5,8.4,8.1,8.1
24Q457,HS Arts & Business Yabc,YABC,32,93,51,8.6,8.6,8.3,8.7
24Q485,Grover Cleveland High School,HS,10,87,53,7.9,7.4,7.4,7.7
24Q520,Middle College High School at LaGuardia Community College,HS,45,72,81,8.0,7.9,7.7,8.1
24Q530,International High School at LaGuardia Community College,HS,76,94,90,8.6,8.5,8.2,8.6
24Q550,High School for Arts and Business,HS,29,100,78,8.6,8.4,8.1,8.3
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",MS/HS,28,100,83,8.4,8.4,8.0,8.4
24Q585,Maspeth High School,HS,21,52,91,8.2,8.0,7.5,8.2
24Q600,Queens Vocational and Technical High School,HS,18,89,92,8.1,7.9,7.7,7.7
24Q610,Aviation Career & Technical Education High School,HS,17,100,94,8.2,8.3,7.9,8.4
24Q744,VOYAGES Preparatory,HST,79,100,81,9.4,9.3,9.2,9.1
24Q877,The 51 Avenue Academy (The Path To Academic Excellence),ES,81,97,N/A,8.5,7.9,8.0,8.6
25Q020,P.S. 020 John Bowne,ES,82,80,N/A,8.4,8.1,7.9,8.2
25Q021,P.S. 021 Edward Hart,ES,100,100,N/A,8.3,8.1,8.1,8.4
25Q022,P.S. 022 Thomas Jefferson,ES,93,84,N/A,8.4,8.5,8.1,8.6
25Q024,P.S. 024 Andrew Jackson,ES,72,90,N/A,8.2,7.8,7.9,8.5
25Q025,I.S. 025 Adrien Block,MS,70,98,98,8.0,7.8,7.3,7.7
25Q029,P.S. 029 Queens,ES,66,81,N/A,7.6,6.9,7.0,8.1
25Q032,P.S. 032 State Street,ES,65,98,N/A,8.8,8.8,8.6,8.9
25Q079,P.S. 079 Francis Lewis,ES,46,58,N/A,7.9,7.1,7.5,8.2
25Q107,P.S. 107 Thomas A Dooley,ES,62,68,N/A,8.6,8.5,8.5,8.7
25Q120,P.S. 120 Queens,ES,76,98,N/A,7.4,6.9,6.9,7.9
25Q129,P.S. 129 Patricia Larkin,ES,71,76,N/A,8.8,8.9,8.5,9.1
25Q130,P.S. 130,ECC,58,80,N/A,8.6,8.5,8.6,8.7
25Q154,P.S. 154 Queens,ES,68,80,N/A,8.2,8.2,8.0,8.3
25Q163,P.S. 163 Flushing Heights,ES,75,89,N/A,8.3,8.7,8.2,8.5
25Q164,P.S. 164 Queens Valley,ES/MS,30,64,95,7.9,7.6,7.1,7.1
25Q165,P.S. 165 Edith K. Bergtraum,ES,91,75,N/A,7.5,6.1,6.9,7.8
25Q169,P.S. 169 Bay Terrace,ES,67,100,N/A,9.2,9.3,9.2,9.2
25Q184,P.S. 184 Flushing Manor,ES,89,94,N/A,9.0,9.2,9.0,9.2
25Q185,J.H.S. 185 Edward Bleeker,MS,68,73,93,8.1,7.8,7.4,7.7
25Q189,J.H.S. 189 Daniel Carter Beard,MS,96,94,99,8.5,8.3,8.0,8.2
25Q193,P.S. 193 Alfred J. Kennedy,ES,71,78,N/A,8.8,8.6,8.4,8.7
25Q194,J.H.S. 194 William Carr,MS,55,71,95,7.6,7.4,6.8,7.3
25Q200,PS/MS 200 - The Pomonok School & STAR Academy,ES/MS,38,80,94,7.4,7.2,6.6,6.6
25Q201,P.S. 201 The Discovery School for Inquiry and Research,ES,40,98,N/A,7.7,7.4,7.6,8.0
25Q209,P.S. 209 Clearview Gardens,ES,82,84,N/A,8.8,8.9,8.7,8.9
25Q214,P.S. 214 Cadwallader Colden,ES,71,83,N/A,7.8,7.7,7.5,7.9
25Q219,P.S. 219 Paul Klapper,ES/MS,37,84,100,8.6,8.4,8.1,8.6
25Q237,I.S. 237,MS,74,96,97,8.2,7.9,7.6,7.8
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood School,ECC,64,94,N/A,7.9,7.0,7.6,8.4
25Q244,The Active Learning Elementary School,ECC,73,100,N/A,8.5,8.6,8.1,8.8
25Q250,I.S. 250 The Robert F. Kennedy Community Middle School,MS,54,100,97,8.4,8.5,8.0,8.0
25Q252,"Queens School of Inquiry, The",MS/HS,38,100,99,8.1,7.7,7.4,7.9
25Q263,Flushing International High School,HS,66,97,93,8.5,8.5,8.1,8.4
25Q281,East-West School of International Studies,MS/HS,33,67,97,7.9,7.6,7.1,8.1
25Q285,World Journalism Preparatory: A College Board School,MS/HS,32,78,88,8.0,8.0,7.5,7.9
25Q294,BELL Academy,MS,50,100,99,8.4,8.3,8.0,8.2
25Q425,John Bowne High School,HS,14,74,76,8.0,7.7,7.6,7.3
25Q460,Flushing High School,HS,18,68,69,7.2,7.0,6.7,6.4
25Q467,Flushing Yabc,YABC,7,83,57,8.6,8.4,8.2,8.2
25Q499,"The Queens College School for Math, Science and Technology",ES/MS,61,93,100,8.0,7.9,7.5,7.9
25Q525,Townsend Harris High School,HS,33,96,94,8.2,7.9,7.7,8.6
25Q670,Robert F. Kennedy Community High School,HS,28,93,37,8.6,8.6,8.1,8.4
25Q792,North Queens Community High School,HST,61,100,84,8.4,8.3,7.9,8.1
26Q018,P.S. 018 Winchester,ES,67,83,N/A,8.9,8.6,8.5,8.8
26Q026,P.S. 026 Rufus King,ES,62,81,N/A,8.3,8.2,8.1,8.3
26Q031,P.S. 031 Bayside,ES,52,52,N/A,8.6,8.6,8.3,8.8
26Q041,P.S. 041 Crocheron,ES,70,100,N/A,8.9,9.2,8.9,9.1
26Q046,P.S. 046 Alley Pond,ES,57,88,N/A,9.0,9.2,9.0,9.1
26Q067,J.H.S. 067 Louis Pasteur,MS,34,94,97,7.6,7.4,7.1,7.7
26Q074,J.H.S. 074 Nathaniel Hawthorne,MS,87,98,99,8.1,8.0,7.6,8.0
26Q094,P.S. 094 David D. Porter,ES,78,77,N/A,8.8,8.8,8.6,8.9
26Q098,P.S. 098 The Douglaston School,ES,53,100,N/A,8.3,8.2,8.0,8.4
26Q115,P.S. 115 Glen Oaks,ES,56,87,N/A,8.9,8.9,8.7,8.9
26Q133,P.S. 133 Queens,ES,57,88,N/A,8.3,8.2,8.1,8.9
26Q158,M.S. 158 Marie Curie,MS,36,42,96,7.9,7.6,7.4,7.8
26Q159,P.S. 159,ES,76,88,N/A,8.9,8.6,8.4,9.0
26Q162,P.S. 162 John Golden,ES,71,83,N/A,8.5,8.5,8.2,8.6
26Q172,Irwin Altman Middle School 172,MS,75,49,98,7.7,7.0,6.9,7.5
26Q173,P.S. 173 Fresh Meadows,ES,89,98,N/A,8.4,7.9,7.9,8.3
26Q178,PS/IS 178Q The Holliswood School,ES/MS,53,87,100,8.2,7.8,7.7,7.6
26Q186,P.S. 186 Castlewood,ES,80,85,N/A,8.9,9.0,8.8,9.1
26Q188,P.S. 188 Kingsbury,ES,55,63,N/A,8.9,8.7,8.4,8.7
26Q191,P.S. 191 Mayflower,ES,67,96,N/A,9.2,9.1,9.0,9.1
26Q203,P.S. 203 Oakland Gardens,ES,72,88,N/A,8.9,8.9,8.7,9.0
26Q205,P.S. 205 Alexander Graham Bell,ES,56,81,N/A,8.2,7.8,8.0,8.2
26Q213,P.S. 213 The Carl Ullman School,ES,52,77,N/A,8.7,8.9,8.7,8.9
26Q216,J.H.S. 216 George J. Ryan,MS,41,86,98,7.6,7.2,6.9,7.2
26Q221,P.S. 221 The North Hills School,ES,78,91,N/A,9.1,9.2,9.0,9.2
26Q266,P.S. / I.S. 266,ES/MS,87,61,99,8.4,8.4,7.9,8.3
26Q415,Benjamin N. Cardozo High School,HS,21,85,81,7.7,7.3,7.3,7.2
26Q430,Francis Lewis High School,HS,26,76,84,8.7,8.5,8.5,8.4
26Q435,Martin Van Buren High School,HS,23,100,76,7.1,6.9,6.6,6.1
26Q495,Bayside High School,HS,13,87,38,7.9,7.6,7.6,7.9
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",HS,23,92,80,7.5,7.6,7.3,7.4
27Q042,P.S./M.S 042 R. Vernam,ES/MS,53,92,94,8.1,7.9,7.6,7.2
27Q043,P.S. 043,ES/MS,48,45,83,7.9,7.4,7.3,6.9
27Q045,P.S. 045 Clarence Witherspoon,ES,73,97,100,7.6,7.3,7.0,6.9
27Q047,P.S. 047 Chris Galas,ES/MS,100,95,95,8.9,8.9,8.6,9.0
27Q051,P.S. 051,ECC,73,95,N/A,8.7,8.7,8.5,8.7
27Q053,M.S. 053 Brian Piccolo,MS,64,65,90,7.4,7.1,6.7,6.6
27Q056,P.S. 056 Harry Eichler,ES,74,97,N/A,8.9,8.9,8.6,8.9
27Q060,P.S. 060 Woodhaven,ES,92,96,N/A,8.1,8.0,7.8,8.1
27Q062,P.S. 062 Chester Park,ES,91,89,N/A,8.3,8.1,8.1,8.5
27Q063,P.S. 063 Old South,ES,61,68,N/A,8.2,8.0,7.9,8.3
27Q064,P.S. 064 Joseph P. Addabbo,ES,80,100,N/A,9.0,9.1,8.8,8.9
27Q065,P.S. 65 - The Raymond York Elementary School,ES,77,95,N/A,8.7,8.5,8.4,8.7
27Q066,P.S. 066 Jacqueline Kennedy Onassis,ES,96,78,N/A,9.1,9.1,8.8,9.1
27Q090,P.S. 090 Horace Mann,ES,68,56,N/A,8.1,8.3,7.8,8.2
27Q096,P.S. 096,ES,57,87,N/A,8.6,8.6,8.2,8.5
27Q097,P.S. 097 Forest Park,ES,61,78,N/A,8.3,8.0,8.1,8.6
27Q100,P.S. 100 Glen Morris,ES,88,82,N/A,8.2,7.8,7.9,8.4
27Q104,P.S. 104 The Bays Water,ES,57,78,N/A,9.2,9.2,9.0,9.0
27Q105,P.S. 105 The Bay School,ES/MS,44,90,97,8.7,8.7,8.3,8.0
27Q106,P.S. 106,ES,31,68,N/A,7.6,7.6,7.4,7.4
27Q108,P.S. 108 Captain Vincent G. Fowler,ES,91,100,N/A,8.7,8.6,8.4,8.9
27Q114,P.S. / M.S. 114 Belle Harbor,ES/MS,65,85,97,8.2,7.9,7.6,8.5
27Q123,P.S. 123,ES,59,94,N/A,7.9,7.4,7.5,7.8
27Q124,P.S. 124 Osmond A Church,ES/MS,59,88,100,8.7,8.7,8.4,8.3
27Q137,M.S. 137 America's School of Heroes,MS,44,85,93,8.2,7.8,7.6,7.5
27Q146,P.S. 146 Howard Beach,ES/MS,74,100,100,8.5,8.3,7.9,8.4
27Q155,P.S. 155,ES,93,81,N/A,8.4,7.6,7.8,8.5
27Q183,P.S. 183 Dr. Richard R. Green,ES/MS,53,91,97,8.5,8.5,7.9,7.7
27Q197,P.S. 197 The Ocean School,ES,60,83,N/A,7.3,6.7,6.8,6.8
27Q202,J.H.S. 202 Robert H. Goddard,MS,78,97,94,8.3,8.1,7.8,7.8
27Q207,P.S. 207 Rockwood Park,ES/MS,89,80,99,8.3,8.2,7.7,8.3
27Q210,J.H.S. 210 Elizabeth Blackwell,MS,53,62,94,8.0,7.7,7.4,7.4
27Q215,P.S. 215 Lucretia Mott,ES,68,59,N/A,7.2,6.4,6.7,6.9
27Q223,P.S. 223 Lyndon B. Johnson,ES,76,63,N/A,8.3,8.2,8.2,8.1
27Q226,J.H.S. 226 Virgil I. Grissom,MS,55,83,86,7.5,7.0,6.8,6.4
27Q232,P.S. 232 Lindenwood,ES/MS,69,95,99,8.8,8.7,8.3,8.7
27Q253,P.S. 253,ES,82,94,N/A,8.4,8.3,8.2,8.4
27Q254,P.S. 254 - The Rosa Parks School,ES,94,98,N/A,8.8,8.3,8.4,9.0
27Q260,Frederick Douglass Academy VI High School,HS,29,78,74,6.8,6.4,6.1,6.3
27Q262,Channel View School for Research,MS/HS,41,100,90,8.5,8.4,8.0,8.2
27Q273,P.S. 273,ECC,77,100,N/A,8.6,8.6,8.4,8.8
27Q282,Knowledge and Power Preparatory Academy VI,MS,74,72,99,9.0,8.7,8.5,8.8
27Q302,"Queens High School for Information, Research, and Technology",HS,51,90,79,7.8,7.9,7.5,7.3
27Q306,New York City Academy for Discovery,ES,62,97,N/A,8.7,8.7,8.5,8.5
27Q308,Robert H. Goddard High School of Communication Arts and Technology,HS,52,86,88,8.4,8.2,7.8,8.0
27Q309,Academy of Medical Technology: A College Board School,MS/HS,48,88,74,7.7,7.7,6.9,6.8
27Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,ES,58,100,N/A,9.0,8.9,8.9,9.0
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,MS,62,100,90,8.9,9.1,8.7,9.0
27Q319,VILLAGE ACADEMY,MS,71,97,89,8.6,8.6,8.4,8.1
27Q323,Scholars' Academy,MS/HS,67,98,95,9.2,8.9,8.7,9.1
27Q324,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,HS,18,91,71,7.9,7.7,7.5,7.2
27Q333,Goldie Maple Academy,ES/MS,100,54,100,8.6,8.5,8.3,8.4
27Q351,Rockaway Collegiate High School,HS,31,100,79,8.0,8.0,7.4,7.1
27Q362,Wave Preparatory Elementary School,ECC,69,96,N/A,8.8,8.9,8.6,8.7
27Q400,August Martin High School,HS,14,70,58,7.4,7.4,6.9,6.6
27Q410,Beach Channel High School,HS,3,68,60,7.9,7.6,7.3,7.2
27Q475,Richmond Hill High School,HS,7,75,59,7.6,7.3,7.1,6.5
27Q480,John Adams High School,HS,11,81,61,7.5,7.4,7.0,6.9
27Q487,John Adams Yabc,YABC,71,100,88,8.9,9.0,8.6,8.8
27Q650,"High School for Construction Trades, Engineering and Architecture",HS,24,95,93,8.1,7.4,7.4,7.8
28Q008,J.H.S. 008 Richard S. Grossley,MS,43,78,90,7.6,7.1,6.9,6.4
28Q030,P.S. 030 Queens,ES,56,79,N/A,8.1,7.9,7.8,7.6
28Q040,P.S. 040 Samuel Huntington,ES,80,95,N/A,8.5,8.4,8.2,8.0
28Q048,P.S. 048 William Wordsworth,ES,71,93,N/A,8.0,7.9,7.6,8.1
28Q050,P.S. 050 Talfourd Lawn Elementary School,ES,69,96,N/A,8.0,7.7,7.7,7.6
28Q054,P.S. 054 Hillside,ES,74,81,N/A,8.1,8.3,8.0,8.3
28Q055,P.S. 055 Maure,ES,91,100,N/A,8.3,8.2,7.9,8.4
28Q072,Catherine & Count Basie Middle School 72,MS,38,88,93,7.9,7.8,7.2,6.4
28Q080,P.S. 080 Thurgood Marshall Magnet,ES,83,96,N/A,7.6,6.9,7.4,7.6
28Q082,P.S. 082 Hammond,ES,75,98,N/A,7.9,7.5,7.6,8.2
28Q086,P.S. Q086,ES,82,95,N/A,8.3,8.0,7.9,8.4
28Q099,P.S. 099 Kew Gardens,ES,69,96,100,8.6,8.7,8.3,8.7
28Q101,P.S. 101 School in the Gardens,ES,90,100,100,8.0,7.6,7.6,7.7
28Q117,P.S. 117 J. Keld / Briarwood School,ES,79,92,N/A,8.4,8.2,8.1,8.5
28Q121,P.S. 121 Queens,ES,74,100,N/A,8.8,8.7,8.6,8.9
28Q139,P.S. 139 Rego Park,ES,98,96,N/A,7.9,7.2,7.5,7.9
28Q140,P.S. 140 Edward K Ellington,ES,81,97,N/A,8.5,8.4,8.3,8.2
28Q144,P.S. 144 Col Jeromus Remsen,ES,62,93,N/A,8.7,8.8,8.8,8.8
28Q157,J.H.S. 157 Stephen A. Halsey,MS/HS,51,98,98,8.1,8.1,7.7,7.7
28Q160,P.S. 160 Walter Francis Bishop,ES,47,88,N/A,8.6,8.7,8.5,8.6
28Q161,P.S. 161 Arthur Ashe School,ES,78,91,N/A,9.1,9.0,8.9,9.2
28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,MS/HS,63,100,89,8.3,8.6,8.2,8.5
28Q174,P.S. 174 William Sidney Mount,ES,67,63,N/A,8.1,7.4,7.9,8.1
28Q175,P.S. 175 The Lynn Gross Discovery School,ES,83,100,N/A,8.6,8.7,8.5,8.6
28Q182,P.S. 182 Samantha Smith,ES,87,95,N/A,7.8,7.7,7.7,8.1
28Q190,J.H.S. 190 Russell Sage,MS,42,90,97,7.7,7.3,7.1,7.4
28Q196,P.S. 196 Grand Central Parkway,ES,86,100,N/A,8.8,8.9,8.6,8.7
28Q206,P.S. 206 The Horace Harding School,ES,63,100,N/A,8.3,8.4,8.2,8.2
28Q217,J.H.S. 217 Robert A. Van Wyck,MS,41,96,96,8.9,8.8,8.6,8.2
28Q220,P.S. 220 Edward Mandel,ES,58,89,N/A,8.3,8.0,8.0,8.1
28Q284,York Early College Academy,MS/HS,57,100,98,8.5,8.2,7.7,7.6
28Q303,The Academy for Excellence through the Arts,ECC,85,93,N/A,8.6,8.8,8.7,9.2
28Q310,Queens Collegiate: A College Board School,MS/HS,39,96,86,7.8,7.6,7.3,7.2
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,HS,45,100,86,8.4,8.5,7.9,7.9
28Q328,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,HS,41,79,81,8.8,8.5,8.2,8.1
28Q338,Queens Satellite High School for Opportunity,HST,20,86,55,8.4,8.3,8.0,8.4
28Q350,Jamaica Gateway to the Sciences,HS,16,42,93,8.2,8.2,7.4,7.3
28Q354,PS 354,ECC,55,100,N/A,9.2,9.3,9.2,9.3
28Q440,Forest Hills High School,HS,12,78,37,8.0,7.7,7.7,7.6
28Q470,Jamaica High School,HS,23,64,66,7.4,7.2,7.1,7.7
28Q505,Hillcrest High School,HS,36,86,40,9.0,8.9,8.8,8.7
28Q620,Thomas A. Edison Career and Technical Education High School,HS,49,100,94,8.1,8.0,7.7,7.8
28Q680,Queens Gateway to Health Sciences Secondary School,MS/HS,23,63,95,7.8,6.7,6.5,7.7
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,HS,23,81,89,8.1,8.2,7.6,7.9
28Q687,Queens High School for the Sciences at York College,HS,27,83,98,8.2,8.3,8.0,8.4
28Q690,High School for Law Enforcement and Public Safety,HS,18,97,73,7.6,7.6,7.3,7.5
28Q896,"Young Women's Leadership School, Queens",MS/HS,78,91,100,7.2,6.2,5.8,7.2
29Q015,P.S. 015 Jackie Robinson,ES,75,83,N/A,8.6,8.7,8.6,8.8
29Q033,P.S. 033 Edward M. Funk,ES,64,68,N/A,8.8,9.0,8.8,9.0
29Q034,P.S. 034 John Harvard,ES,25,84,N/A,7.9,8.0,7.6,8.0
29Q035,P.S. 035 Nathaniel Woodhull,ES,43,81,N/A,8.2,7.3,7.4,7.9
29Q036,P.S. 036 Saint Albans School,ES,86,97,N/A,8.5,8.5,8.2,8.5
29Q037,Cynthia Jenkins School,ES,69,83,N/A,8.2,8.2,8.0,7.8
29Q038,P.S. 038 Rosedale,ES,93,44,N/A,7.4,6.8,7.1,7.7
29Q052,P.S. 052 Queens,ES,48,95,N/A,8.2,8.2,8.0,8.1
29Q059,I.S. 059 Springfield Gardens,MS,44,95,95,7.4,7.3,6.9,6.7
29Q095,P.S. 095 Eastwood,ES,100,99,N/A,8.9,9.1,8.9,8.9
29Q109,Jean Nuzzi Intermediate School,MS,27,93,88,7.7,7.3,6.8,7.1
29Q116,PS/IS 116 William C. Hughley,ES/MS,49,100,94,8.3,8.6,8.2,8.0
29Q118,P.S. 118 Lorraine Hansberry,ES,34,78,N/A,7.9,7.4,7.1,7.5
29Q131,P.S. 131 Abigail Adams,ES,66,100,N/A,8.5,8.7,8.5,8.7
29Q132,P.S. 132 Ralph Bunche,ES,57,92,N/A,8.2,8.1,8.1,8.4
29Q134,P.S. 134 Hollis,ES,51,79,N/A,7.9,7.9,7.6,7.4
29Q135,The Bellaire School,ES,42,77,N/A,8.1,7.9,7.8,8.1
29Q136,P.S. 136 Roy Wilkins,ES,94,100,N/A,8.2,8.1,8.0,7.8
29Q138,P.S./ M.S.138 Sunrise,ES/MS,78,91,98,8.4,8.4,8.0,7.9
29Q147,PS/MS 147 Ronald McNair,ES/MS,48,61,95,8.3,8.2,8.1,8.2
29Q156,P.S. 156 Laurelton,ES/MS,68,89,92,7.5,7.4,6.8,6.4
29Q176,P.S. 176 Cambria Heights,ES,57,89,N/A,8.1,8.3,8.0,8.3
