air/rh_and_dp_daily_summary.o3_AQI,air/rh_and_dp_daily_summary.f0_,air/rh_and_dp_daily_summary.f1_,air/rh_and_dp_daily_summary.f2_,air/rh_and_dp_daily_summary.f3_,air/rh_and_dp_daily_summary.f4_,air/rh_and_dp_daily_summary.f5_,air/rh_and_dp_daily_summary.f6_,Day
,81.11253012048199,6.838554216867472,23.768674698795163,99.04096385542168,California,Inyo,Independence,2014-01-11
,77.08901345291466,6.145739910313895,23.840807174887903,99.34529147982067,California,Inyo,Independence,2013-07-22
,78.37878787878782,6.365967365967367,23.776223776223777,99.07459207459216,Idaho,Idaho,Not in a city,2014-06-12
,82.5428240740741,8.467592592592595,23.736111111111093,98.90740740740748,California,Inyo,Independence,2012-12-04
,74.14675324675328,9.898268398268414,23.86796536796536,99.45670995670989,Indiana,Porter,Dune Acres,2017-03-17
,65.55963302752295,3.770642201834864,14.192660550458717,98.70642201834862,Idaho,Butte,Not in a city,1992-07-15
,65.21951219512195,8.146341463414636,23.97560975609756,99.90243902439023,Utah,Grand,Not in a city,1990-09-02
,49.04761904761905,12.523809523809524,23.33333333333333,97.23809523809524,Utah,Grand,Not in a city,1990-01-16
,50.30952380952381,9.33333333333333,23.83333333333333,99.33333333333331,Utah,Grand,Not in a city,1990-05-24
,76.75304878048779,6.765243902439026,23.981707317073177,99.92378048780486,Indiana,Lake,Gary,2006-05-20
,80.6645569620253,6.113924050632912,23.89240506329115,99.5506329113924,California,Butte,Not in a city,1996-06-21
,77.82255125284743,8.57630979498861,23.81093394077449,99.2141230068337,Idaho,Idaho,Not in a city,2013-10-16
,44.06976744186046,7.72093023255814,23.906976744186046,99.6279069767442,Utah,Grand,Not in a city,1990-05-10
,57.40963855421688,11.951807228915664,23.975903614457827,99.90361445783132,California,Del Norte,Redwood National Park,1993-03-07
,76.46414253897547,6.67483296213808,23.92204899777284,99.67928730512256,California,Inyo,Independence,2012-07-21
,72.54470046082947,8.460829493087566,23.79032258064517,99.13364055299544,Arizona,Pima,Not in a city,2021-09-27
,74.55977961432505,8.669421487603312,23.928374655647367,99.70247933884296,California,Inyo,Independence,2009-12-28
,76.774099099099,7.466216216216216,23.831081081081077,99.29729729729728,California,Inyo,Independence,2012-09-02
,81.37734806629834,9.593922651933696,23.90055248618784,99.585635359116,California,Inyo,Independence,2009-11-29
,83.44080000000007,5.248000000000001,23.853333333333342,99.39466666666668,California,Inyo,Independence,2009-06-14
,77.51106194690264,4.893805309734508,14.95796460176989,99.64380530973456,North Carolina,Mecklenburg,Charlotte,2004-12-11
,69.21249999999993,7.587209302325576,23.98837209302325,99.95058139534883,California,Inyo,Independence,2008-04-27
,72.3744493392071,4.277533039647584,14.955947136563871,99.05506607929522,North Carolina,Mecklenburg,Charlotte,2004-07-14
,67.55855855855859,10.35135135135135,23.78378378378379,99.09909909909908,Arizona,Pima,Tucson,1995-02-20
,79.72847682119206,8.781456953642381,23.841059602649008,99.34437086092711,California,San Diego,El Cajon,1996-10-24
,74.89943502824863,8.333333333333334,23.864406779661007,99.44632768361586,California,Inyo,Independence,2008-05-06
,76.7066115702479,9.012396694214877,23.84297520661157,99.35537190082644,California,Kern,Arvin,2002-04-07
,63.023529411764734,11.305882352941172,23.694117647058825,98.7294117647059,California,Del Norte,Redwood National Park,1993-03-28
,75.42788461538466,7.028846153846151,17.129807692307683,99.94230769230764,Maryland,Anne Arundel,Fort Meade (U.S. Army),1996-11-30
,75.72663316582913,6.183417085427138,23.939698492462323,99.75125628140708,California,Inyo,Independence,2010-09-12
,56.02380952380952,12.26190476190476,23.82142857142857,99.26190476190474,California,Del Norte,Redwood National Park,1993-03-16
,85.66194503171246,7.439746300211421,23.775898520084567,99.07822410147992,Indiana,Porter,Dune Acres,2018-10-09
,72.24157303370787,4.971910112359552,18.016853932584265,99.84269662921346,California,Fresno,Parlier,1995-12-23
,68.23574660633481,10.624434389140262,23.9027149321267,99.59728506787336,Indiana,Porter,Dune Acres,2020-12-04
,81.78192090395478,7.282485875706214,23.84745762711864,99.37005649717511,North Carolina,Mecklenburg,Charlotte,2007-07-29
,76.34851258581236,8.97940503432494,23.931350114416475,99.71395881006856,Idaho,Idaho,Not in a city,2013-10-20
,72.80112612612605,5.416666666666665,23.849099099099103,99.37387387387383,California,Inyo,Independence,2012-05-30
,78.91715976331356,8.988165680473378,23.857988165680464,99.4142011834319,California,Kern,Arvin,1999-03-26
,76.62690582959642,7.914798206278027,23.852017937219724,99.39013452914796,Indiana,Porter,Dune Acres,2016-04-09
,62.06250000000001,9.723214285714285,23.8482142857143,99.3660714285714,Arizona,Pima,Tucson,1995-02-03
,78.73246376811585,9.25797101449275,23.85217391304348,99.38840579710144,California,Inyo,Independence,2008-10-03
,79.35307855626334,6.64331210191083,23.78768577494691,99.12314225053083,Idaho,Idaho,Not in a city,2017-08-09
,75.47499999999995,5.504504504504503,23.84234234234234,99.34234234234236,Indiana,Porter,Dune Acres,2020-05-31
,67.15606936416187,5.560693641618499,15.705202312138717,99.23699421965324,Arizona,Pima,Tucson,1995-02-22
,69.31334841628959,6.972850678733035,23.941176470588232,99.75565610859717,Arizona,Pima,Not in a city,2021-03-07
,78.48863636363636,6.801136363636366,23.79545454545455,99.17045454545456,California,Kern,Arvin,1999-10-29
,81.3858719646799,7.516556291390721,23.88520971302428,99.52317880794696,California,Inyo,Independence,2011-09-18
,79.70491803278685,8.114754098360658,23.65573770491802,98.57377049180327,Arizona,Pima,Tucson,1998-07-19
,50.494623655913976,5.129032258064515,13.946236559139784,99.33333333333331,Arizona,Cochise,Not in a city,1991-01-23
,68.85314685314685,4.97902097902098,15.608391608391608,98.56643356643356,West Virginia,Tucker,Not in a city,1993-08-04
,64.56164383561642,8.65753424657534,23.97260273972602,99.89041095890408,New York,Rensselaer,Not in a city,1992-10-29
,85.70501138952164,7.728929384965831,23.95444191343963,99.81093394077452,Indiana,Jasper,Not in a city,2015-12-12
,83.14439655172414,8.874999999999995,23.877155172413797,99.4913793103448,Indiana,Porter,Dune Acres,2019-03-10
,71.14109195402295,7.324712643678159,23.97701149425288,99.90517241379312,North Carolina,Mecklenburg,Charlotte,2007-06-23
,80.79267676767678,6.734848484848487,23.863636363636363,99.43686868686866,California,Inyo,Independence,2010-05-28
,78.28794520547945,7.172602739726029,23.84657534246576,99.36438356164388,California,Inyo,Independence,2009-10-31
,71.03271028037388,3.967289719626161,15.03504672897196,99.37149532710288,Arizona,Pima,Not in a city,2003-07-08
,68.78260869565216,7.391304347826086,23.88405797101449,99.52173913043475,New York,Rensselaer,Not in a city,1992-07-20
,79.56631853785899,9.420365535248036,23.78851174934725,99.12010443864229,California,Inyo,Independence,2010-11-29
,71.2758620689655,6.300492610837441,23.581280788177345,98.2610837438424,California,Kern,Arvin,2001-01-02
,57.48245614035087,4.017543859649122,14.684210526315788,99.85087719298242,Arizona,Cochise,Not in a city,1991-11-23
,80.08095238095234,6.310776942355888,23.91979949874684,99.66917293233088,California,Inyo,Independence,2010-06-26
,76.77370030581048,7.565749235474,23.938837920489284,99.7522935779816,Indiana,Lake,Gary,2006-05-24
,80.14542857142855,6.0314285714285765,23.79142857142857,99.1342857142858,North Carolina,Mecklenburg,Charlotte,2007-06-05
,59.4831460674157,5.331460674157304,15.808988764044956,99.79213483146064,Arizona,Pima,Tucson,1995-03-25
,56.013698630136986,12.780821917808222,23.972602739726028,99.89041095890413,Utah,Grand,Not in a city,1992-04-09
,74.7667984189724,5.284584980237156,18.45059288537549,99.2332015810276,California,Kern,Arvin,1999-07-31
,70.69346733668344,4.969849246231157,17.00502512562813,99.74874371859292,Arizona,Pima,Tucson,1995-09-13
,76.4430406852248,9.539614561027838,23.914346895074942,99.644539614561,Indiana,Porter,Dune Acres,2019-04-20
,74.01951219512192,5.935698447893572,23.65188470066518,98.55432372505534,Indiana,Porter,Dune Acres,2020-08-04
,48.4875,6.525,12.95,98.2875,Arizona,Coconino,Not in a city,1990-02-14
,79.86893203883497,8.009708737864075,23.766990291262136,99.49514563106789,California,Kern,Arvin,2000-10-14
,75.67384937238498,9.20292887029288,23.8347280334728,99.31380753138085,Idaho,Nez Perce,Not in a city,2017-10-11
,82.62753623188404,10.208695652173922,23.921739130434784,99.6782608695653,North Carolina,Mecklenburg,Charlotte,2007-10-01
,77.54205607476635,9.004672897196262,23.85514018691588,99.39719626168224,California,Kern,Arvin,2001-10-29
,81.00000000000001,7.027972027972029,23.944055944055947,99.7762237762238,Arizona,Pima,Tucson,1998-02-13
,81.22222222222219,9.181818181818182,23.61111111111111,98.38383838383838,California,Kern,Arvin,2000-11-13
,59.19999999999999,6.6,23.588888888888885,98.28888888888888,California,Del Norte,Redwood National Park,1993-04-02
,77.7522388059701,9.601279317697218,23.88272921108742,99.5159914712153,Indiana,Porter,Dune Acres,2019-01-03
,79.24181360201516,7.085642317380351,23.83375314861461,99.30982367758185,California,Inyo,Independence,2010-07-07
,73.34929577464791,7.443661971830986,23.75352112676056,98.98356807511736,Idaho,Idaho,Not in a city,2014-11-12
,44.23809523809523,11.190476190476188,23.83333333333333,99.30952380952382,Utah,Grand,Not in a city,1990-10-12
,76.17758985200835,8.651162790697672,23.921775898520085,99.67653276955592,Indiana,Porter,Dune Acres,2018-09-29
