air/no2_daily_summary.o3_AQI,air/no2_daily_summary.f0_,air/no2_daily_summary.f1_,air/no2_daily_summary.f2_,air/no2_daily_summary.f3_,air/no2_daily_summary.f4_,air/no2_daily_summary.f5_,air/no2_daily_summary.f6_,Day
26.413436692506465,27.934625322997416,14.178294573643406,22.98191214470284,95.85529715762276,Puerto Rico,Catano,Catano,2005-01-18
27.888020833333304,29.564322916666672,12.830729166666671,22.84375,95.28906250000004,North Dakota,Steele,Sharon,1999-03-04
11.756380510440836,12.7877030162413,10.255220417633408,23.33178654292345,97.28538283062647,Wyoming,Sweetwater,Not in a city,2020-08-15
10.768321513002364,11.72978723404255,12.82269503546098,22.947990543735223,95.7375886524823,Wyoming,Sweetwater,Not in a city,2019-04-21
27.141689373297,28.770027247956403,11.972752043596726,22.84196185286103,95.2561307901908,North Dakota,Mercer,Not in a city,2010-01-14
11.679814385150808,12.712296983758698,9.324825986078883,23.50580046403713,98.0116009280742,Wyoming,Fremont,Riverton,2020-09-26
23.268765133171907,24.65181598062954,10.007263922518163,22.803874092009664,95.11622276029055,North Dakota,Mercer,Not in a city,2001-07-18
22.96019900497513,24.3407960199005,13.502487562189057,22.937810945273625,95.67910447761189,North Dakota,Mercer,Not in a city,2004-09-29
37.75776397515526,39.65186335403728,12.21428571428572,22.925465838509304,95.61490683229812,North Dakota,Mercer,Beulah,1992-02-28
21.404432132963997,22.67091412742384,14.113573407202209,23.321329639889186,97.23822714681442,North Dakota,Mercer,Beulah,1997-01-26
24.12878787878786,25.51969696969697,10.74242424242424,22.66161616161617,94.5378787878787,North Dakota,Mercer,Beulah,1998-07-30
31.24626865671641,33.10199004975126,10.920398009950247,22.731343283582078,94.82587064676618,North Dakota,Steele,Sharon,1999-08-25
23.90080428954424,25.530831099195726,12.592493297587136,23.09115281501337,96.29758713136734,Wyoming,Sweetwater,Not in a city,2012-11-16
27.75466666666666,29.1976,11.90933333333333,22.890666666666668,95.48266666666666,North Dakota,Mercer,Beulah,1995-07-24
27.329729729729745,28.92972972972973,9.689189189189184,23.10810810810811,96.36756756756752,North Dakota,Mercer,Not in a city,2009-01-23
19.04827586206895,20.57103448275861,13.13333333333333,22.737931034482752,94.84367816091952,Wyoming,Sweetwater,Not in a city,2019-12-17
28.948320413436683,30.601291989664062,13.111111111111104,23.48062015503876,97.90439276485796,North Dakota,Steele,Sharon,1999-09-11
19.35911602209945,20.751657458563542,11.704419889502756,22.889502762430936,95.47513812154692,Wyoming,Sweetwater,Not in a city,2011-12-15
35.42767295597483,37.22295597484276,13.59119496855346,23.00943396226414,95.95597484276732,North Dakota,Mercer,Beulah,1991-03-08
17.124661246612447,18.36802168021682,9.905149051490511,23.0460704607046,96.11111111111111,Wyoming,Sweetwater,Not in a city,2012-03-30
28.306358381502893,29.99624277456648,12.433526011560698,22.534682080924856,94.00867052023122,North Dakota,Mercer,Beulah,1994-11-16
23.17119565217391,24.681249999999995,11.595108695652172,22.8125,95.1494565217391,Wyoming,Sweetwater,Not in a city,2010-10-12
32.393351800554,34.177008310249306,11.418282548476457,23.45983379501384,97.83102493074789,North Dakota,Mercer,Beulah,1997-02-01
19.99726775956285,21.396994535519127,12.161202185792346,22.87431693989073,95.3879781420765,Wyoming,Sweetwater,Not in a city,2013-02-28
23.847402597402592,25.28344155844156,10.01948051948052,23.467532467532457,97.85389610389608,North Dakota,Mercer,Beulah,1990-12-16
31.411917098445574,33.185233160621806,12.121761658031083,22.852331606217625,95.3082901554404,Puerto Rico,Catano,Catano,2006-02-09
20.27830188679246,21.841509433962266,13.653301886792454,22.84905660377359,95.28066037735856,Wyoming,Sweetwater,Not in a city,2019-01-31
33.542763157894704,35.44802631578951,9.095394736842117,23.016447368421048,96.00328947368416,North Dakota,Mercer,Beulah,1990-02-12
30.05789473684209,31.68157894736841,11.347368421052634,23.068421052631585,96.2157894736842,North Dakota,Mercer,Beulah,1997-05-09
30.67080745341618,32.39782608695654,13.130434782608694,22.56521739130434,94.13043478260876,North Dakota,Mercer,Beulah,1992-09-08
32.8096514745308,34.59061662198391,11.868632707774806,22.96514745308313,95.77747989276138,North Dakota,Mercer,Beulah,1996-05-01
21.532967032967008,22.87280219780219,11.332417582417587,22.958791208791208,95.70329670329672,North Dakota,Mercer,Not in a city,2009-02-22
17.40599455040873,18.628882833787465,12.730245231607634,22.782016348773837,95.02997275204366,Wyoming,Sweetwater,Not in a city,2012-08-29
22.896385542168677,24.163373493975904,10.959036144578322,22.9421686746988,95.67951807228911,North Dakota,Mercer,Not in a city,2004-05-12
29.750656167979,31.38661417322836,12.207349081364844,23.005249343832038,95.9527559055118,North Dakota,Mercer,Beulah,1997-05-02
12.819892473118278,13.797311827956992,12.604838709677423,23.451612903225804,97.79301075268818,Wyoming,Sweetwater,Not in a city,2013-05-11
11.853080568720378,12.84857819905212,10.680094786729857,23.426540284360183,97.67535545023696,Wyoming,Sweetwater,Not in a city,2017-07-15
31.645077720207272,33.465284974093265,11.62435233160621,22.795336787564764,95.08808290155436,Puerto Rico,Catano,Catano,2006-02-08
26.00251889168764,27.43979848866499,12.750629722921913,22.90931989924434,95.53904282115867,North Dakota,Mercer,Not in a city,2003-08-15
17.220670391061454,18.474022346368717,10.801675977653623,22.751396648044672,94.89664804469272,Wyoming,Sweetwater,Not in a city,2011-08-30
24.07232704402516,25.492138364779866,10.79245283018868,23.503144654088043,98.00943396226413,North Dakota,Mercer,Beulah,1992-07-05
27.486979166666664,29.18880208333333,11.369791666666666,23.25520833333332,96.98697916666671,North Dakota,Mercer,Not in a city,2007-02-09
12.952506596306067,13.710817941952504,8.641160949868075,23.010554089709736,96.00791556728228,North Dakota,Mercer,Not in a city,2008-05-25
21.516574585635368,23.013259668508272,10.160220994475145,23.00000000000001,95.90883977900552,Wyoming,Sweetwater,Not in a city,2012-02-10
24.194444444444454,25.50916666666664,8.838888888888885,23.30277777777781,97.1666666666666,North Dakota,Mercer,Beulah,1994-06-05
19.18604651162791,20.662325581395365,12.034883720930232,22.930232558139508,95.64186046511632,Wyoming,Sweetwater,Not in a city,2020-02-18
14.930069930069925,16.10186480186479,12.655011655011654,23.47785547785549,97.88811188811196,Wyoming,Sweetwater,Not in a city,2016-09-24
22.32390745501285,23.652956298200507,12.23136246786632,23.159383033419022,96.58097686375324,North Dakota,Mercer,Not in a city,2007-09-24
18.519125683060107,19.676502732240436,11.396174863387976,22.827868852459,95.16393442622952,North Dakota,Mercer,Not in a city,2010-03-21
24.54802259887005,26.01751412429376,13.802259887005656,23.27683615819208,97.05084745762711,North Dakota,Mercer,Beulah,1995-01-08
25.550122249388725,26.936674816625903,10.574572127139373,23.12958435207824,96.44987775061126,North Dakota,Mercer,Not in a city,2001-06-22
12.854111405835544,13.827851458885949,9.509283819628653,22.514588859416435,93.90450928381968,Wyoming,Sweetwater,Not in a city,2013-05-21
22.94929577464788,24.513521126760534,11.811267605633804,22.774647887323965,94.94929577464794,Wyoming,Sweetwater,Not in a city,2011-01-23
13.845744680851055,14.879255319148932,11.27925531914894,23.0744680851064,96.281914893617,Wyoming,Sweetwater,Not in a city,2013-04-28
34.48427672955976,36.77798742138362,12.179245283018862,23.5251572327044,98.09119496855344,North Dakota,Mercer,Beulah,1992-02-22
14.15801886792452,15.308490566037731,11.551886792452832,22.81132075471698,95.16509433962264,Wyoming,Sweetwater,Not in a city,2019-01-20
43.69883040935674,45.63391812865494,11.540935672514612,22.774853801169613,94.9970760233918,North Dakota,Mercer,Beulah,1993-03-02
