air/pm25_nonfrm_daily_summary.o3_AQI,air/pm25_nonfrm_daily_summary.f0_,air/pm25_nonfrm_daily_summary.f1_,air/pm25_nonfrm_daily_summary.f2_,air/pm25_nonfrm_daily_summary.f3_,air/pm25_nonfrm_daily_summary.f4_,air/pm25_nonfrm_daily_summary.f5_,air/pm25_nonfrm_daily_summary.f6_,Day
36.33333333333331,14.106651376146791,17.586009174311933,12.446100917431208,99.01490825688064,Georgia,Dougherty,Albany,2011-01-10
37.43105756358769,13.557712305025992,11.971403812824969,8.906412478336227,99.1533795493934,Alabama,Jefferson,Birmingham,2008-08-28
32.0081466395112,13.53916167664671,14.895808383233527,10.355688622754492,99.50778443113772,Alabama,Etowah,Gadsden,2017-11-30
37.72134831460679,14.45261401557287,16.282536151279196,12.538375973303664,99.68298109010014,Oregon,Baker,Baker City,2012-12-15
25.141618497109867,9.903430531732411,14.36963979416809,10.074614065180114,98.86449399656942,Oregon,Baker,Baker City,2012-04-24
39.55027932960896,14.368650088809945,12.797513321492008,9.16873889875665,99.15097690941404,Alabama,Jefferson,Birmingham,2008-07-11
35.48254620123201,12.985677419354856,13.209032258064504,9.379354838709675,99.3109677419354,Alabama,Jefferson,Not in a city,2006-05-08
29.257016248153587,10.78117229129663,13.985790408525746,9.976021314387207,99.19449378330384,Georgia,Dougherty,Albany,2011-09-27
38.6,15.977777777777776,14.444444444444445,9.333333333333334,92.11111111111111,Florida,Escambia,Ferry Pass,1999-03-04
38.375,20.08484848484849,16.18181818181818,12.181818181818183,97.24242424242424,California,Kern,Taft,2000-01-11
30.07012195121954,10.630683918669115,13.318853974122002,9.963955637707928,99.62292051756006,Alaska,Fairbanks North Star ,College,2009-09-13
30.534435261707973,11.19244505494507,16.947802197802197,12.469780219780253,99.74450549450542,Alabama,Etowah,Gadsden,2016-05-08
39.4100529100529,15.06899736147757,16.794195250659598,12.419525065963072,99.5474934036939,Indiana,Floyd,New Albany,2007-09-22
33.89593908629442,12.515809284818074,18.07779171894608,12.420326223337524,99.12923462986208,Alabama,Jefferson,Birmingham,2008-08-09
18.46666666666667,5.648387096774193,0.838709677419355,1.564516129032258,99.25806451612904,New Mexico,Dona Ana,Not in a city,1998-12-23
32.03508771929824,9.040350877192983,0.0,1.0,100.0,Alaska,Denali ,Not in a city,1994-09-14
42.16666666666668,17.70849056603774,17.415094339622637,12.198113207547166,99.65094339622648,Maryland,Baltimore (City),Baltimore,2002-04-15
56.5,24.506999999999994,17.11999999999999,12.26,97.09,Washington,Snohomish,Marysville,2002-08-28
38.8888888888889,14.575340768277584,11.650557620817812,9.106567534076827,98.8736059479553,Alabama,Jefferson,Not in a city,2006-06-01
39.65217391304347,17.28541666666666,16.47916666666666,12.52083333333333,98.08333333333334,Washington,Thurston,Lacey,2000-10-02
46.12,18.711881188118813,16.821782178217823,12.18811881188119,98.24752475247524,Washington,Snohomish,Marysville,2002-09-16
27.8432055749129,11.201036269430062,18.07081174438688,12.378238341968917,99.08808290155432,Alabama,Jefferson,Not in a city,2020-02-07
28.0818363273453,12.015194346289748,14.047114252061268,10.408716136631329,99.9234393404004,Alabama,Etowah,Gadsden,2017-12-24
30.45551601423488,11.254416961130747,16.787985865724384,12.466431095406362,99.52473498233206,Alabama,Jefferson,Not in a city,2006-04-15
48.65408805031445,18.85108695652173,16.681677018633536,12.383540372670804,98.93167701863352,Alabama,Etowah,Gadsden,2018-08-17
34.68192771084334,12.506971153846152,17.643028846153857,12.486778846153843,99.83293269230768,Alabama,Jefferson,Birmingham,2008-03-30
39.00471698113208,15.147209302325567,16.51162790697673,12.401162790697644,98.9313953488372,Alaska,Fairbanks North Star ,College,2009-03-19
41.649532710280376,16.27639680729762,16.521094640820976,12.459521094640822,98.6944127708096,Kansas,Wyandotte,Kansas City,2013-01-24
26.655172413793107,7.150572413793103,0.0,1.0,100.0,Alaska,Denali ,Not in a city,1988-08-10
27.39393939393939,7.157473636363635,0.0,1.0,100.0,Alaska,Denali ,Not in a city,1988-06-15
24.291304347826078,9.768586387434569,12.871727748691107,10.053664921465954,99.59816753926695,Puerto Rico,Catano,Catano,2019-02-08
47.358870967741936,18.911646586345377,17.126506024096404,12.45582329317269,99.62851405622496,Alabama,Jefferson,Not in a city,2005-06-25
40.461748633879786,15.337635869565206,18.04891304347828,12.414402173913052,99.39402173913038,Indiana,Floyd,New Albany,2007-09-01
31.788235294117644,14.819753086419755,14.882716049382726,11.858024691358024,99.69753086419752,California,Tulare,Visalia,2003-01-01
57.63157894736842,31.95217391304348,6.000000000000001,4.913043478260869,99.65217391304348,Florida,Escambia,Ferry Pass,1999-02-23
31.88235294117646,10.202702702702702,2.959459459459459,2.851351351351352,99.94594594594597,Florida,Escambia,Ferry Pass,1999-09-08
15.862068965517238,5.072580645161291,2.225806451612904,2.3548387096774204,99.46774193548389,Florida,Escambia,Ferry Pass,1999-01-02
33.004999999999995,13.049506172839516,17.3074074074074,12.381481481481476,98.92469135802476,Oregon,Baker,Baker City,2015-12-01
35.85427135678388,14.233992583436317,16.299134734239807,12.331273176761409,98.54140914709517,Oregon,Baker,Baker City,2015-01-07
25.8168498168498,10.447027027027028,17.547747747747753,12.372972972972963,98.70630630630627,Alabama,Jefferson,Not in a city,2020-03-03
32.99665551839467,13.05823627287852,17.301164725457568,12.415973377703832,99.42096505823618,Puerto Rico,Catano,Catano,2019-02-22
17.90625,4.2875,0.0,1.0,100.0,Alabama,Lawrence,Moulton,1995-04-12
