air/voc_daily_summary.o3_AQI,air/voc_daily_summary.f0_,air/voc_daily_summary.f1_,air/voc_daily_summary.f2_,air/voc_daily_summary.f3_,air/voc_daily_summary.f4_,air/voc_daily_summary.f5_,air/voc_daily_summary.f6_,Day
,29.96793658536585,10.792682926829276,18.123693379790925,83.95818815331,California,Fresno,Clovis,2017-09-03
,2.542355414126934,0.6115095016134825,1.742649695231269,98.37871997131592,California,Fresno,Parlier,2017-03-08
,26.395310344827585,15.977931034482758,18.4648275862069,76.68551724137933,Texas,Ector,Odessa,2013-03-02
,29.775130597014925,11.88805970149254,21.47014925373134,88.79291044776123,Texas,Jefferson,Nederland,2009-11-29
,20.523141263940516,7.6356877323420065,16.185873605947958,89.36431226765798,Texas,Harris,Houston,2010-01-19
,11.851318827186068,8.551181102362202,17.63489432242023,92.97762121840026,Connecticut,New Haven,Hamden (Town of),2003-06-29
,13.26662932454695,8.15980230642504,18.224052718286664,89.27512355848431,California,Los Angeles,Azusa,2019-10-25
,31.983694181326104,10.428958051420835,20.683355886332883,86.06495263870099,Texas,Harris,Channelview,2012-12-07
,36.53171610816543,10.033934252386,11.23011664899258,94.6680805938494,Texas,Harris,Channelview,2005-11-08
,8.944203199174408,10.261093911248716,19.0092879256966,84.80392156862742,Texas,Jefferson,Nederland,2013-11-23
,13.526186868686889,7.454545454545453,18.780303030303017,86.80555555555554,District Of Columbia,District of Columbia,Washington,1999-05-09
,4.497603194533426,2.801409352978857,4.317602676347063,91.380311765962,California,Fresno,Fresno,2001-07-30
,76.74600000000001,1.48,3.2,97.68,California,Contra Costa,Concord,1994-01-30
,78.0,12.0,22.75,95.0,Ohio,Columbiana,East Liverpool,1991-08-31
,51.74536748329622,7.726057906458796,17.752783964365257,84.4632516703786,Illinois,DuPage,Bensenville,2000-10-31
,32.13055375328083,6.811023622047241,18.71259842519685,83.27427821522312,Texas,Jefferson,Nederland,2007-10-24
,41.43269230769231,2.903846153846154,15.480769230769232,64.98076923076921,Ohio,Columbiana,East Liverpool,1994-03-18
,5.946218919570297,1.0794656383418255,1.6026029472524432,99.73633108387274,Massachusetts,Essex,Lynn,2005-12-12
,37.19359223300971,18.398058252427187,21.84466019417476,91.37864077669904,Texas,Harris,Houston,1997-04-13
,3.522964563485476,1.9133609958506224,2.6401659751037347,98.58937759336112,Texas,Tarrant,Eagle Mountain,2010-12-28
,5.870972379260199,0.9279599418510724,1.9783556775965083,99.48522048134372,California,Kern,Bakersfield,1999-01-30
,9.427051186943622,10.434718100890208,22.439169139465875,93.75519287833828,Texas,Jefferson,Beaumont,2016-04-15
,24.821931540342288,5.605134474327628,2.48533007334963,25.5012224938875,Ohio,Pickaway,Circleville,1993-08-27
,52.23784157490398,9.12676056338028,19.55313700384124,93.94494238156211,Texas,Ector,Odessa,2007-10-20
,13.298217821782178,0.2079207920792079,1.6534653465346534,98.15841584158416,Ohio,Columbiana,East Liverpool,1992-08-19
,6.6882307692307785,8.769230769230758,20.721153846153847,92.48717948717947,Texas,Dallas,Dallas,2022-01-20
,88.57066666666668,12.836666666666668,22.059999999999995,92.23999999999998,California,Kern,Bakersfield,1999-10-23
,23.395618969072157,10.578112609040437,17.850911974623312,82.6114195083267,Texas,Jefferson,Nederland,2007-09-01
,15.094610789393442,13.471807375800063,13.966473636086556,67.30935690338309,California,Ventura,Not in a city,2001-08-01
,25.813780519480517,9.43896103896104,21.63376623376624,90.412987012987,California,Kern,Shafter,2021-10-08
,8.71069169960475,8.140316205533594,12.18774703557312,86.53359683794464,Ohio,Columbiana,East Liverpool,1994-07-23
,7.011020710059178,0.0384615384615385,1.0650887573964496,99.73076923076935,Ohio,Columbiana,East Liverpool,1992-10-27
,38.63534883720929,8.967799642218246,21.46332737030412,89.65652951699461,Texas,Harris,Channelview,2007-02-09
,87.45096774193546,7.5887096774193585,21.193548387096776,91.69354838709678,Texas,El Paso,El Paso,1996-12-10
,11.613176470588234,9.62352941176471,8.517647058823533,72.41176470588232,California,Ventura,Simi Valley,1993-06-05
,256.0,16.0,17.0,71.0,Ohio,Columbiana,East Liverpool,1991-10-20
,220.5,7.75,12.0,54.50000000000001,Ohio,Columbiana,East Liverpool,1991-09-18
,28.19748546069316,8.977176669484363,17.46153846153847,86.02451394759086,Texas,Tarrant,Fort Worth,2009-09-26
,25.780143884892087,10.478417266187057,21.354316546762583,88.71582733812951,Texas,Harris,Houston,2010-03-11
,33.38889055472271,6.113943028485757,5.95952023988005,38.43328335832085,Ohio,Columbiana,East Liverpool,1996-01-13
,28.909795620437954,6.164963503649638,13.364963503649632,95.32992700729928,Louisiana,East Baton Rouge,Not in a city,2003-01-23
,4.450300094107728,0.7799002738956394,2.039328604536833,98.39799143198265,Texas,Ector,Odessa,2006-10-02
,39.5079528718704,10.503681885125182,16.970544918998524,88.00883652430045,Texas,Jefferson,Beaumont,2010-01-25
,18.020522346368704,12.938547486033515,20.22625698324022,85.36871508379893,California,Los Angeles,Santa Clarita,2018-02-03
,4.217808633412043,1.122638724911452,2.931670602125149,96.36769480519492,Texas,El Paso,El Paso,2014-09-26
,49.51265372168286,9.724919093851128,14.54045307443365,82.7669902912621,Louisiana,Iberville,Not in a city,1999-01-02
,5.877393615016098,1.428807036833423,2.477813555328672,95.57621927275606,Florida,Duval,Jacksonville,2002-09-17
,11.107500000000003,9.698138297872342,15.908244680851055,78.26994680851061,District Of Columbia,District of Columbia,Washington,1999-05-23
,2.6952799490056103,1.1606960734319245,1.8742988271290144,99.02141764405933,Massachusetts,Essex,Lynn,2007-04-18
