Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_
1999-05-21,,152.07189265536726,11.8686440677966,23.830508474576284,99.29661016949154,Alaska,Denali ,Not in a city
1999-05-22,,155.3083098591549,12.280281690140855,23.877464788732407,99.49014084507043,Alaska,Denali ,Not in a city
1999-05-23,,158.37697740112992,12.81214689265537,23.971751412429388,99.88700564971755,Alaska,Denali ,Not in a city
1999-05-24,,159.6418079096043,12.127118644067803,23.813559322033875,99.23163841807906,Alaska,Denali ,Not in a city
1999-05-25,,156.2417847025493,11.801699716713875,23.73087818696883,98.8866855524079,Alaska,Denali ,Not in a city
1999-05-26,,161.54957983193285,12.26050420168068,23.683473389355726,98.68627450980391,Alaska,Denali ,Not in a city
1999-05-27,,162.39621848739492,11.161064425770313,23.838935574229684,99.33333333333331,Alaska,Denali ,Not in a city
1999-05-28,,154.83781512605051,11.808123249299717,23.80112044817927,99.17366946778726,Alaska,Denali ,Not in a city
1999-05-29,,154.1964788732395,12.032394366197174,23.87323943661971,99.47323943661969,Alaska,Denali ,Not in a city
1999-05-30,,149.54618644067804,12.53248587570622,23.903954802259886,99.60451977401132,Alaska,Denali ,Not in a city
1999-05-31,,147.37720797720795,12.455840455840466,23.94017094017092,99.75498575498564,Alaska,Denali ,Not in a city
1999-06-01,,145.77521126760553,12.263380281690129,23.650704225352115,98.55492957746473,Alaska,Denali ,Not in a city
1999-06-02,,149.87394366197182,12.273239436619715,23.68450704225354,98.69295774647891,Alaska,Denali ,Not in a city
1999-06-03,,152.94366197183118,12.525352112676059,23.833802816901407,99.31830985915498,Alaska,Denali ,Not in a city
1999-06-04,,146.93277074542914,11.624472573839668,23.92405063291139,99.69198312236283,Alaska,Denali ,Not in a city
1999-06-05,,141.77757404795497,12.361071932299009,23.926657263751785,99.69534555712258,Alaska,Denali ,Not in a city
1999-06-06,,147.57545839210155,11.730606488011285,23.98871650211565,99.9548660084626,Alaska,Denali ,Not in a city
1999-06-07,,150.2252468265162,12.390691114245415,23.822284908321578,99.2637517630465,Alaska,Denali ,Not in a city
1999-06-08,,152.62998585572848,12.226308345120227,23.838755304101834,99.34087694483735,Alaska,Denali ,Not in a city
1999-06-09,,154.04596888260244,11.968882602545976,23.666195190947683,98.61951909476669,Alaska,Denali ,Not in a city
1999-06-10,,150.02985714285722,12.56,23.642857142857128,98.51714285714291,Alaska,Denali ,Not in a city
1999-06-11,,150.816231884058,12.273913043478267,23.886956521739133,99.54202898550732,Alaska,Denali ,Not in a city
1999-06-12,,156.20872093023254,12.03779069767443,23.918604651162802,99.66569767441865,Alaska,Denali ,Not in a city
1999-06-13,,163.97217391304363,11.565217391304351,23.910144927536244,99.62898550724633,Alaska,Denali ,Not in a city
1999-06-14,,159.51994219653187,12.550578034682076,23.8294797687861,99.29768786127167,Alaska,Denali ,Not in a city
1999-06-15,,158.18328571428577,10.935714285714289,23.79285714285715,99.14571428571428,Alaska,Denali ,Not in a city
1999-06-16,,160.0283475783475,12.293447293447295,23.705128205128197,98.7777777777778,Alaska,Denali ,Not in a city
1999-06-17,,161.24374100719405,10.909352517985601,23.82446043165469,99.27769784172659,Arizona,Cochise,Not in a city
1999-06-18,,143.85093256814923,11.502152080344333,23.736011477761853,98.91248206599722,Arizona,Cochise,Not in a city
1999-06-19,,140.12995658466002,11.975397973950797,23.914616497829222,99.64688856729379,Arizona,Cochise,Not in a city
1999-06-20,,143.7380607814763,11.787264833574548,23.871201157742416,99.46454413892917,Arizona,Cochise,Not in a city
1999-06-21,,142.6413642960813,12.126269956458644,23.690856313497843,98.72859216255448,Arizona,Cochise,Not in a city
1999-06-22,,145.41611030478956,12.654571843251093,23.55297532656023,98.16545718432505,Arizona,Cochise,Not in a city
1999-06-23,,146.74425036390107,11.726346433770013,23.857350800582225,99.41484716157218,Arizona,Cochise,Not in a city
1999-06-24,,149.89622641509433,12.078374455732943,23.776487663280083,99.0754716981132,Arizona,Cochise,Not in a city
1999-06-25,,154.3780663780662,10.795093795093795,23.744588744588736,98.94660894660902,Arizona,Cochise,Not in a city
1999-06-26,,147.66865021770695,11.78519593613934,23.904208998548626,99.60377358490572,Arizona,Cochise,Not in a city
1999-06-27,,151.45108538350226,11.43849493487699,23.86541244573083,99.4399421128798,Arizona,Cochise,Not in a city
1999-06-28,,153.20914368650213,12.918722786647315,23.690856313497804,98.73004354136418,Arizona,Cochise,Not in a city
1999-06-29,,155.82788321167894,10.362043795620433,23.636496350364983,98.4963503649635,Arizona,Cochise,Not in a city
1999-06-30,,145.60587371512483,11.414096916299565,23.73861967694566,98.9309838472833,Arizona,Cochise,Not in a city
1999-07-01,,146.58663793103452,11.556034482758617,23.669540229885076,98.63074712643675,Arizona,Cochise,Not in a city
1999-07-02,,137.26494992846912,11.397711015736764,23.79113018597998,99.13590844062944,Arizona,Cochise,Not in a city
1999-07-03,,137.4656115107915,11.687769784172659,23.896402877697852,99.57122302158268,Arizona,Cochise,Not in a city
1999-07-04,,150.07027417027413,12.017316017316027,23.913419913419933,99.6421356421358,Arizona,Cochise,Not in a city
1999-07-05,,152.74992743105943,11.728592162554426,23.793904208998537,99.14368650217706,Arizona,Cochise,Not in a city
1999-07-06,,161.8901591895803,12.157742402315481,23.77134587554271,99.05933429811871,Arizona,Cochise,Not in a city
1999-07-07,,161.09725433526006,10.833815028901745,23.579479768786143,98.25289017341036,Arizona,Cochise,Not in a city
1999-07-08,,158.92782608695651,12.317391304347828,23.802898550724656,99.18985507246373,Arizona,Cochise,Not in a city
1999-07-09,,157.72227011494246,11.808908045977011,23.612068965517256,98.38793103448279,Arizona,Cochise,Not in a city
1999-07-10,,161.7897398843931,11.394508670520226,23.950867052023078,99.80057803468209,Arizona,Cochise,Not in a city
