air/pm25_speciation_daily_summary.o3_AQI,air/pm25_speciation_daily_summary.f0_,air/pm25_speciation_daily_summary.f1_,air/pm25_speciation_daily_summary.f2_,air/pm25_speciation_daily_summary.f3_,air/pm25_speciation_daily_summary.f4_,air/pm25_speciation_daily_summary.f5_,air/pm25_speciation_daily_summary.f6_,Day
,279.3509009914643,0.0072225869993434,1.0453053184504275,100.0,California,Riverside,Rubidoux,2001-09-08
,85.02016854492959,0.0172406011644175,1.026357358848219,99.98894254637354,Maine,Hancock,Not in a city,2012-05-27
,272.7945013209014,0.1763791763791763,1.5291375291375289,99.97202797202796,Illinois,Cook,Chicago,2005-06-11
,226.56530787315825,0.2261370916079436,1.4625240230621397,99.9026265214606,California,Riverside,Rubidoux,2003-12-09
,238.55871111111108,0.5555555555555555,2.742222222222221,99.83999999999996,Maine,Hancock,Not in a city,2022-02-15
,253.23263267616184,0.4520239880059969,1.6139430284857563,99.7586206896552,Illinois,Cook,Chicago,2009-01-21
,65.72577711427459,0.0327970297029703,1.07420585808581,99.98612830032997,Texas,Harris,Deer Park,2016-02-18
,284.8126815642457,0.353072625698324,1.6614525139664809,99.97765363128492,Michigan,Wayne,Detroit,2011-02-10
,40.52217446729873,0.0506186726659167,1.0891852804113775,99.98666238148796,Massachusetts,Suffolk,Boston,2020-09-27
,258.5079322871442,0.7720930232558146,2.145348837209303,99.8720930232558,Illinois,Cook,Chicago,2015-12-03
,77.302473163987,0.0,1.0,100.0,Colorado,Pitkin,Not in a city,1999-07-03
,149.46170331776784,0.0832360494980155,1.0,100.0,Indiana,Washington,Not in a city,2001-07-30
,264.44182104851325,1.035993740219092,3.021909233176839,99.36932707355244,Texas,Harris,Deer Park,2016-03-23
,250.83149059163057,0.1774891774891775,1.4696969696969695,99.95310245310247,Tennessee,Blount,Not in a city,2003-07-30
,240.6658005249344,1.7086614173228352,4.013123359580054,99.87139107611549,California,Orange,Anaheim,2020-11-13
,283.2932629771909,0.241296518607443,1.6086434573829531,99.8967587034814,California,Riverside,Mira Loma,2012-02-02
,252.86832994059407,0.9663366336633668,3.1940594059405947,99.65544554455448,Michigan,Wayne,Dearborn,2017-01-26
,281.62732743988687,0.5714285714285713,1.8090523338048092,99.51909476661952,Nevada,Clark,Sunrise Manor,2013-03-01
,54.82241345584696,0.0531061358600137,1.1093451516772377,99.97998013295636,Michigan,Wayne,Dearborn,2016-08-01
,284.45107846567635,0.4522292993630573,2.221656050955414,99.72229299363056,Illinois,Cook,Chicago,2015-07-18
,195.96366791414945,0.0094329623741388,1.0,100.0,California,Fresno,Not in a city,2000-09-06
,0.1633263787587973,0.0,1.0,100.0,District Of Columbia,District of Columbia,Washington,1991-08-28
,280.9125114882507,0.4947780678851176,2.028720626631854,99.85770234986948,Texas,Harris,Deer Park,2013-12-16
,289.0527134724858,0.2827324478178368,1.7618595825426953,99.81119544592028,Illinois,Cook,Chicago,2007-05-10
,94.50692163732158,0.0206366630076838,1.0336333699231617,99.99714599341382,Michigan,Lenawee,Tecumseh,2009-06-06
,0.1333776541353382,0.0,1.0,100.0,Utah,Garfield,Not in a city,1990-05-19
,262.17219468371474,0.0787348586810228,1.09892328398385,99.83176312247645,California,Santa Clara,San Jose,2002-03-04
,252.3133355106889,0.9073634204275536,3.218527315914492,99.0023752969121,Michigan,Lenawee,Tecumseh,2017-12-19
,76.98709215422927,0.0248095331119358,1.0413655010744305,99.99472553233066,Texas,Harris,Deer Park,2014-01-29
,105.94167546190393,0.0374802041175435,1.0673060003519277,99.95671300369534,Texas,Harris,Deer Park,2013-10-10
,49.93149004794121,0.0312150428807328,1.0573696265913817,99.97661535183504,Michigan,Wayne,Dearborn,2017-01-19
,262.4777192982456,0.4770258980785299,2.053467000835422,99.953216374269,Maine,Hancock,Not in a city,2021-12-21
,296.69490196078425,0.1888544891640867,1.626418988648091,99.94530443756447,Illinois,Cook,Chicago,2010-08-29
,256.33510213114755,0.6448087431693992,3.2641165755919856,99.8360655737705,Michigan,Wayne,Dearborn,2016-09-25
,47.20543248685402,0.0659690869495934,1.0678281191905274,99.9976098156903,Ohio,Stark,Canton,2019-04-03
,277.2410300261096,0.0,1.0,100.0,Massachusetts,Hampden,Chicopee,2001-05-26
,87.51278800026513,0.013649615690432,1.0267691492181306,99.99743793621325,Maine,Hancock,Not in a city,2010-06-19
,266.25318422636974,0.0656231186032511,1.1204093919325706,99.98254063816978,California,Riverside,Rubidoux,2002-03-14
,283.802037815126,0.5021008403361344,1.8350840336134455,99.9579831932773,Illinois,Cook,Chicago,2008-04-05
,286.6585343035343,0.2182952182952183,1.6548856548856552,99.94490644490644,Maine,Hancock,Not in a city,2011-03-05
,219.49694196428567,1.299107142857143,3.5089285714285725,99.33258928571428,California,Orange,Anaheim,2020-02-20
,43.0393602184692,0.0645336225596529,1.1053610164239238,99.9894638983576,Maine,Hancock,Not in a city,2019-05-30
,37.54008205752849,0.0291645222165037,1.0758849431005897,99.9960542117,Maine,Hancock,Not in a city,2021-02-09
,113.90713210587658,0.0239234449760765,1.0475401791191268,99.96325604220334,California,Trinity,Not in a city,2004-04-12
,274.2726676024278,0.1191198786039454,1.1858877086494692,99.9749620637329,Illinois,Cook,Chicago,2002-05-28
,93.57070752980712,0.0208813648639746,1.0613266583229028,99.99683815295435,Illinois,Cook,Chicago,2008-10-12
,0.0811983820754716,0.0,1.0,100.0,Arizona,Coconino,Grand Canyon,1997-12-31
,272.2726283846872,0.477124183006536,1.73295985060691,99.83380018674136,Nevada,Clark,Las Vegas,2005-05-12
