air/lead_daily_summary.o3_AQI,air/lead_daily_summary.f0_,air/lead_daily_summary.f1_,air/lead_daily_summary.f2_,air/lead_daily_summary.f3_,air/lead_daily_summary.f4_,air/lead_daily_summary.f5_,air/lead_daily_summary.f6_,Day
,0.117375,0.0,1.0,100.0,Indiana,Allen,Not in a city,1995-02-15
,0.1159999999999999,0.0,1.0,100.0,Illinois,Cook,Chicago,1993-07-13
,1.11225,0.0,1.0,100.0,Texas,Dallas,Dallas,2003-07-13
,0.1934545454545454,0.0,1.0,100.0,Indiana,Delaware,Muncie,2009-12-25
,0.1640833333333333,1.3333333333333337,1.0,100.0,Texas,Dallas,Dallas,1985-05-12
,0.2558333333333333,3.833333333333333,1.0,100.0,Texas,Dallas,Dallas,1986-07-06
,0.2066666666666667,0.0,1.0,100.0,California,Kern,Bakersfield,1988-12-06
,0.00775,0.0,1.0,100.0,Missouri,Iron,Not in a city,2021-11-14
,0.020436902173913,0.0489130434782608,1.0,100.0,Illinois,Cook,Chicago,2006-02-04
,0.012,0.0,1.0,100.0,Missouri,Iron,Not in a city,2020-07-12
,0.2979782608695652,0.0,1.0,100.0,Missouri,Holt,Not in a city,1990-06-30
,0.0144,0.0,1.0,100.0,Missouri,Iron,Not in a city,2018-12-15
,0.7143714285714284,0.2285714285714285,1.0,100.0,New Jersey,Essex,Newark,1985-05-16
,0.0328333333333333,0.0,1.0,100.0,Missouri,Iron,Not in a city,2017-09-12
,0.0568,0.0,1.0,100.0,Illinois,Cook,Chicago,1991-06-12
,0.219,0.0,1.0,100.0,Texas,Dallas,Dallas,2004-09-17
,0.38976,0.0,1.0,100.0,Pennsylvania,Berks,Not in a city,1986-09-08
,0.6628,0.0,1.0,100.0,Missouri,Jefferson,Herculaneum,2012-05-05
,0.1313681388012617,0.0252365930599368,1.0,100.0,Illinois,Cook,Chicago,1996-11-17
,0.2633333333333333,0.0,1.0,100.0,California,San Diego,San Diego,1982-03-02
,0.2869230769230769,0.0,1.0,100.0,Pennsylvania,Berks,Laureldale,1998-08-29
,0.675896153846154,0.0,1.0,100.0,Tennessee,Roane,Not in a city,2011-03-07
,0.0175,0.0,1.0,100.0,Illinois,Cook,Schiller Park,2002-02-06
,0.4558833333333333,0.0,1.0,100.0,Texas,Dallas,Dallas,2002-11-14
,0.0190216666666666,0.0,1.0,100.0,Missouri,Iron,Not in a city,2020-01-14
,0.7723529411764705,0.0,1.0,100.0,Missouri,Iron,Not in a city,1995-08-04
,0.1828888888888889,0.0,1.0,100.0,Texas,Dallas,Dallas,1986-01-07
,0.2976923076923076,0.0,1.0,100.0,Pennsylvania,Berks,Laureldale,1986-01-04
,0.1935238095238095,0.0,1.0,100.0,Missouri,Iron,Not in a city,1998-03-21
,0.2788405479452057,0.0,1.0,100.0,Illinois,Cook,Chicago,1991-01-18
,0.0616666666666666,0.0,1.0,100.0,Colorado,Adams,Commerce City,1991-12-15
,0.13,0.0,1.0,100.0,Oklahoma,Oklahoma,Oklahoma City,1982-07-05
,0.4460526315789473,0.0,1.0,100.0,Missouri,Iron,Not in a city,1997-03-26
,0.2815384615384615,0.0,1.0,100.0,Pennsylvania,Berks,Laureldale,1986-05-24
,0.0588737931034483,0.0620689655172413,1.0,100.0,Illinois,Cook,Chicago,2007-07-29
,0.1763124999999999,0.0,1.0,100.0,Missouri,Iron,Not in a city,2005-12-22
,0.3835384615384615,0.0,1.0,100.0,Pennsylvania,Berks,Laureldale,1998-02-12
,0.029,3.2857142857142856,1.0,100.0,Colorado,Adams,Commerce City,1992-04-11
,0.16,0.0,1.0,100.0,Texas,Dallas,Dallas,2000-11-22
,0.5660952380952381,0.0,1.0,100.0,Texas,Dallas,Dallas,2005-10-04
,0.0450625,0.0,1.0,100.0,Missouri,Iron,Not in a city,2019-10-15
,0.0251812865497076,0.0,1.0,100.0,Illinois,Cook,Chicago,2019-07-02
,1.111272727272727,0.0,1.0,100.0,Colorado,Adams,Commerce City,1992-10-22
,0.07,0.0,1.0,100.0,Texas,Dallas,Dallas,1997-02-04
,0.2249999999999999,0.0,1.0,100.0,California,Kern,Oildale,1981-03-18
,0.107442513368984,0.0,1.0,100.0,Idaho,Ada,Boise (corporate name Boise City),1989-06-03
,0.0636,0.0,1.0,100.0,Texas,Dallas,Dallas,2006-05-13
,0.0109127619047619,0.0,1.0,100.0,Illinois,Cook,Chicago,2017-01-01
,0.10525,0.0,1.0,100.0,Missouri,Jefferson,Herculaneum,2012-05-22
,0.1254325714285714,0.0514285714285714,1.0,100.0,Illinois,Cook,Chicago,2006-07-10
,0.0300833333333333,0.0798611111111111,1.0,100.0,Idaho,Ada,Not in a city,2013-02-15
,0.6973333333333332,0.0,1.0,100.0,Missouri,Iron,Not in a city,1995-10-19
,0.1933333333333333,0.0,1.0,100.0,Oklahoma,Oklahoma,Oklahoma City,1982-11-26
,0.0570666666666666,0.0,1.0,100.0,Idaho,Ada,Not in a city,2016-11-29
,0.9353333333333332,0.0,1.0,100.0,Maine,York,Saco,1990-03-14
,0.19,0.0,1.0,100.0,Pennsylvania,Philadelphia,Philadelphia,1982-07-24
,0.065,0.0,1.0,100.0,Texas,Dallas,Dallas,1997-10-12
,0.1339645320197044,0.0443349753694581,1.0,100.0,Georgia,Bibb,Macon,2004-02-09
,1.086936363636364,0.0,1.0,100.0,Indiana,Lake,Hammond,1985-01-29
,0.0398,0.0,1.0,100.0,Missouri,Iron,Not in a city,2018-10-19
,0.0603111111111111,0.0,1.0,100.0,Missouri,Iron,Not in a city,2018-06-28
,0.0956,0.0,1.0,100.0,Missouri,Jefferson,Herculaneum,2012-09-08
,0.0312631578947368,0.0,1.0,100.0,Arizona,Gila,Not in a city,2014-06-01
,0.2102470588235294,0.1460446247464503,1.0,100.0,Idaho,Ada,Boise (corporate name Boise City),1985-07-30
,0.17,0.0,1.0,100.0,Idaho,Shoshone,Not in a city,1982-07-08
,0.236,0.0,1.0,100.0,Nebraska,Douglas,Omaha,2000-12-06
