CONSOLIDATION,POLLING PLACE,POLLING PLACE STREET,POLLING PLACE CITY,POLLING PLACE ZIP,POLL TYPE,PRECINCT
900-2477A,NORMANDIE SENIOR HOUSING,6301 S NORMANDIE AVE,LOS ANGELES,90044,SRHMS,900-2477F
900-2324A,THE JEFFREY FOUNDATION CENTER,5443 W WASHINGTON BLVD,LOS ANGELES,90016,SC-PR,900-1988C
900-2510A,COMMUNITY CHURCH OF L A,10611 S HOOVER ST,LOS ANGELES,90044,CHUR1,900-0296A
900-1985A,FIRE STATION #43,3690 MOTOR AVE,LOS ANGELES,90034,MISCP,900-1985A
900-3029C,CHARLES W BARRETT ELEM SCH,419 W 098TH ST,LOS ANGELES,90003,LAUSD,900-3029D
900-1681A,NORMANDIE RECREATION CENTER,1550 S NORMANDIE AVE,LOS ANGELES,90006,LACPR,900-1681B
900-0283A,HOLY TABERNACLE BAPTIST CHR,2312 W FLORENCE AVE,LOS ANGELES,90043,CHUR1,900-0283D
900-7230A,WEST BETHEL PRESBYTERIAN CHR,857 S LA BREA AVE,LOS ANGELES,90036,CHUR1,900-7230E
900-5305A,WEST BETHEL PRESBYTERIAN CHR,857 S LA BREA AVE,LOS ANGELES,90036,CHUR1,900-5305B
900-2461A,ST JOHN BAPTIST CHURCH,946 W 049TH ST,LOS ANGELES,90037,CHURC,900-2461H
751-0003C,LADERA PARK BUILDING,6027 LADERA PARK AVE,LOS ANGELES,90056,MISCP,751-0013C
900-2074B,MARTIN LUTHER KING REC CTR,3916 S WESTERN AVE,LOS ANGELES,90062,LACPR,900-2074C
900-1768A,HOLY NAME OF JESUS CHURCH,2186 W 031ST ST,LOS ANGELES,90018,CHURC,900-1760C
900-1961A,ST ANTHONY GRAND LODGE,4126 S FIGUEROA ST,LOS ANGELES,90037,BUS.,900-1961C
900-1455A,PALMS RECREATION CENTER,2950 OVERLAND AVE,LOS ANGELES,90064,LACPR,900-1305A
900-1583B,MENLO AVE ELEMENTARY SCHOOL,4156 MENLO AVE,LOS ANGELES,90037,LAUSD,900-1583C
900-1535A,CULVER CITY ELKS LODGE 1917,11160 WASHINGTON PL,CULVER CITY,90232,CLUB,900-1535G
900-1455A,PALMS RECREATION CENTER,2950 OVERLAND AVE,LOS ANGELES,90064,LACPR,900-1432A
900-3866A,CHARLES W BARRETT ELEM SCH,419 W 098TH ST,LOS ANGELES,90003,LAUSD,900-3866A
900-1782A,VINEYARD SENIOR CITIZEN CTR,2942 VINEYARD AVE,LOS ANGELES,90016,LACPR,900-1782A
900-1956A,OUR SAVIOR PARISH CHURCH,844 W 032ND ST,LOS ANGELES,90007,CHUR1,900-1956E
900-2494A,RITA WALTERS LEARNING COMPLEX,915 W MANCHESTER AVE,LOS ANGELES,90044,MISCP,900-2494E
900-1621A,RESIDENCE,160 S WINDSOR BLVD,LOS ANGELES,90004,RES,900-1517B
900-1591C,GOOD SHEPHERD BAPTIST CHURCH,510 W 053RD ST,LOS ANGELES,90037,CHUR1,900-1591C
900-1623A,KOREAN INSTITUTE OF SO CAL,4900 WILSHIRE BLVD,LOS ANGELES,90010,SC-PR,900-1623A
900-0650C,ARLINGTON HEIGHTS ELEM SCH,1717 007TH AVE,LOS ANGELES,90019,LAUSD,900-0673B
900-2001A,AMOS MEMORIAL CME CHURCH,2445 W WASHINGTON BLVD,LOS ANGELES,90018,CHURC,900-1720D
900-2144A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2144E
900-2466A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2466A
900-1291A,PALMS WESTMINSTER PRESBY CHR,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-1058B
900-2499A,LA SALLE AVENUE ELEMENTARY,8715 LA SALLE AVE,LOS ANGELES,90047,LAUSD,900-2499C
900-2214A,ST MARKS METHODIST CHURCH,8305 S GRAMERCY PL,LOS ANGELES,90047,CHUR1,900-2214B
900-2083B,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-3050C
900-2207A,GUIDANCE CHR OF REL SCIENCE ,7225 CRENSHAW BLVD,LOS ANGELES,90043,CHUR1,900-2208F
900-1474C,NAZARETH HOUSE,3333 MANNING AVE,LOS ANGELES,90064,SRHMS,900-1476A
751-0006A,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0006F
900-2140A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2136F
900-7168B,ST JOHN EVANGELIST CHURCH,6021 VICTORIA AVE,LOS ANGELES,90043,CHURC,900-2129A
900-1751A,OUR SAVIOR PARISH CHURCH,844 W 032ND ST,LOS ANGELES,90007,CHUR1,900-1751A
900-7166B,VAN NESS PARK RECREATION CTR,5720 002ND AVE,LOS ANGELES,90043,LACPR,900-7166E
900-2900A,CENTURY PK EAST APARTMENTS ,2170 CENTURY PARK E,LOS ANGELES,90067,APTBL,900-1257A
