CONSOLIDATION,POLLING PLACE,POLLING PLACE STREET,POLLING PLACE CITY,POLLING PLACE ZIP,POLL TYPE,PRECINCT
900-2021B,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-1170B
767-0006A,FAITH UNITED METHODIST CHR,1713 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0006A
900-2153A,ST BRIGID PRE-SCHOOL,1755 W 052ND ST,LOS ANGELES,90062,SC-PR,900-2153A
900-2362A,PALMS WESTMINISTER PRESBY CHR,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-1497E
900-2497A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-2497F
900-1256B,WESTFIELD BUILDING,1801 AVE,LOS ANGELES,90067,BUS.,900-1256B
900-1681A,NORMANDIE RECREATION CENTER,1550 S NORMANDIE AVE,LOS ANGELES,90006,LACPR,900-7107B
767-0001A,MESSIAH LUTHERAN CHURCH,1149 W MANCHESTER AVE,LOS ANGELES,90044,CHURC,767-0001B
900-0288A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-0288A
900-5494B,FIRE STATION #68,5023 W WASHINGTON BLVD,LOS ANGELES,90016,MISCP,900-5494C
900-2132B,FAIRVIEW HEIGHTS BAPTIST CHR,640 HARGRAVE ST,INGLEWOOD,90302,CHUR1,900-2132B
900-2117B,JIM GILLIAM PARK,4000 S LA BREA AVE,LOS ANGELES,90008,LACPR,900-2117C
900-2113A,FIRE STATION #94,4470 COLISEUM ST,LOS ANGELES,90016,FIRE,900-2113C
900-2069B,JIM GILLIAM PARK,4000 S LA BREA AVE,LOS ANGELES,90008,LACPR,900-2069B
900-2167A,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-2167D
900-2083B,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-2083D
900-1111A,CULVER PALMS CHURCH OF CHRIST,9733 VENICE BLVD,LOS ANGELES,90034,CHURC,900-1111B
900-1444A,SUNNY HILLS ASSISTED LIVING,8755 W OLYMPIC BLVD,LOS ANGELES,90035,SRHMS,900-1444A
900-1492A,PALMS WESTMINISTER PRESBY CHR,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-1492A
900-1784A,VINEYARD SENIOR CITIZEN CTR,2942 VINEYARD AVE,LOS ANGELES,90016,LACPR,900-1784C
900-0288A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-0288G
900-2140A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2136C
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,13210 PURCHE AVE,GARDENA,90249,SCH-P,250-0001B
900-2348A,WILLIAM GRANT STILL ART CTR,2520 WEST VIEW ST,LOS ANGELES,90016,MISCP,900-2348G
900-2500A,CHURCH OF THE LIVING GOD ,9800 S WESTERN AVE,LOS ANGELES,90047,CHUR1,900-2500C
900-2358A,NAZARETH HOUSE,3333 MANNING AVE,LOS ANGELES,90064,SRHMS,900-2358B
900-5321A,TOM BRADLEY FAMILY CENTER,5213 W PICO BLVD,LOS ANGELES,90019,COMMU,900-5321G
767-0014A,FIRST NEW CHRISTIAN CHURCH,1555 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0014A
900-1961A,ST ANTHONY GRAND LODGE,4126 S FIGUEROA ST,LOS ANGELES,90037,BUS.,900-1961A
900-1454A,HEYLER REALTY,10659 W PICO BLVD,LOS ANGELES,90064,BUS.,900-1454C
900-1456A,FIRE STATION #92,10556 W PICO BLVD,LOS ANGELES,90064,MISCP,900-1456G
900-2451A,EXPO CENTER,3990 MENLO AVE,LOS ANGELES,90037,LACPR,900-2451C
900-2454A,EXPO CENTER,3990 MENLO AVE,LOS ANGELES,90037,LACPR,900-1979A
900-2083B,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-3050B
900-1583B,MENLO AVE ELEMENTARY SCHOOL,4156 MENLO AVE,LOS ANGELES,90037,LAUSD,900-1583B
900-2116A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2116C
900-1465C,MT CALVARY LUTHERAN CHURCH,436 S BEVERLY DR,BEVERLY HILLS,90212,CHUR1,900-2416C
900-2114A,FIRE STATION #94,4470 COLISEUM ST,LOS ANGELES,90016,FIRE,900-2114D
900-2788A,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-2788A
900-2465A,ST JOHN BAPTIST CHURCH,946 W 049TH ST,LOS ANGELES,90037,CHURC,900-2019D
900-1000A,FIRST AME CHURCH,2270 S HARVARD BLVD,LOS ANGELES,90018,CHUR1,900-1000B
900-2485C,TRUE GOSPEL BAPTIST CHURCH ,7723 S HOOVER ST,LOS ANGELES,90044,CHURC,900-2485D
751-0006A,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0006E
900-5484A,KIPP EMPOWER ACADEMY,8466 S FIGUEROA ST,LOS ANGELES,90003,SC-PR,900-5484B
900-2481A,MT CARMEL RECREATION CTR,830 W 070TH ST,LOS ANGELES,90044,LACPR,900-2481C
767-0024A,FAITH UNITED METHODIST CHR,1713 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0024C
900-1461A,THE WORKMENS CIRCLE,1525 S ROBERTSON BLVD,LOS ANGELES,90035,BUS.,900-1461A
900-2927A,STENTORIANS ,1409 W VERNON AVE,LOS ANGELES,90062,COMMU,900-2927A
900-1783A,WILLIAM GRANT STILL ART CTR,2520 WEST VIEW ST,LOS ANGELES,90016,MISCP,900-1783A
900-2080A,LOS ANGELES SENTINEL,3800 CRENSHAW BLVD,LOS ANGELES,90008,BUS.,900-2080C
900-1785A,MESSIAH BAPTIST CHURCH,4500 W ADAMS BLVD,LOS ANGELES,90016,CHUR1,900-5503F
900-2370A,ST MARYS CHURCH',3647 WATSEKA AVE,LOS ANGELES,90034,CHURC,900-2370D
900-1461A,THE WORKMENS CIRCLE,1525 S ROBERTSON BLVD,LOS ANGELES,90035,BUS.,900-1461B
900-0908A,VAN NESS PARK RECREATION CTR,5720 002ND AVE,LOS ANGELES,90043,LACPR,900-0908D
900-0288A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-0288E
900-7166B,VAN NESS PARK RECREATION CTR,5720 002ND AVE,LOS ANGELES,90043,LACPR,900-7166D
900-1767A,AADAP,2900 CRENSHAW BLVD,LOS ANGELES,90016,HOSP,900-1775B
900-2302A,MARVIN AVE ELEMENTARY SCHOOL,2411 MARVIN AVE,LOS ANGELES,90016,LAUSD,900-2302A
900-5317A,TOM BRADLEY FAMILY CENTER,5213 W PICO BLVD,LOS ANGELES,90019,COMMU,900-5317E
250-0002A,PURCHE AVE ELEMENTARY SCHOOL,13210 PURCHE AVE,GARDENA,90249,SCH-P,250-0002A
250-0046A,ROWLEY PARK,13220 VAN NESS AVE,GARDENA,90249,CITYO,250-0004A
900-1471A,ROBERTSON RECREATION CENTER,1641 PREUSS RD,LOS ANGELES,90035,LACPR,900-1471D
900-2156A,54TH ST SEVENTH DAY ADVENTIST,1973 W 054TH ST,LOS ANGELES,90062,CHUR1,900-2156A
900-2889A,PALMS RECREATION CENTER,2950 OVERLAND AVE,LOS ANGELES,90064,LACPR,900-1216A
767-0001A,MESSIAH LUTHERAN CHURCH,1149 W MANCHESTER AVE,LOS ANGELES,90044,CHURC,767-0002A
900-2156A,54TH ST SEVENTH DAY ADVENTIST,1973 W 054TH ST,LOS ANGELES,90062,CHUR1,900-2156D
900-1522A,PALMS MIDDLE SCHOOL,10860 WOODBINE ST,LOS ANGELES,90034,LAUSD,900-1522A
900-2499A,LA SALLE AVENUE ELEMENTARY,8715 LA SALLE AVE,LOS ANGELES,90047,LAUSD,900-2642A
900-2927A,STENTORIANS ,1409 W VERNON AVE,LOS ANGELES,90062,COMMU,900-2927F
900-2116A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2116D
900-1461A,THE WORKMENS CIRCLE,1525 S ROBERTSON BLVD,LOS ANGELES,90035,BUS.,900-1461E
900-2262B,PARK LA BREA,475 S CURSON AVE W,LOS ANGELES,90036,APTBL,900-2262F
900-5504C,MERIDIAN OF CHEVIOT HILLS,3340 SHELBY DR,LOS ANGELES,90034,SRHMS,900-2369A
900-2497A,ST ANDREWS RECREATION CENTER,8701 S ST ANDREWS PL,LOS ANGELES,90047,LACPR,900-2497B
900-2330A,SMYRNA 7TH DAY ADVENTIST,4394 W WASHINGTON BLVD,LOS ANGELES,90016,CHUR1,900-2330G
767-0013A,FIRST NEW CHRISTIAN CHURCH,1555 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0013B
900-2330A,SMYRNA 7TH DAY ADVENTIST,4394 W WASHINGTON BLVD,LOS ANGELES,90016,CHUR1,900-2330A
900-1764A,ST PAUL EVANGELICAL LUTH CHR,3901 W ADAMS BLVD,LOS ANGELES,90018,CHURC,900-1764E
751-0003C,LADERA PARK BUILDING,6027 LADERA PARK AVE,LOS ANGELES,90056,MISCP,751-0013A
250-0001A,PURCHE AVE ELEMENTARY SCHOOL,13210 PURCHE AVE,GARDENA,90249,SCH-P,250-0046C
900-1776B,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-1776B
767-0010A,FAITH UNITED METHODIST CHR,1713 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0010C
900-5424A,PALMS RECREATION CENTER,2950 OVERLAND AVE,LOS ANGELES,90064,LACPR,900-5424E
900-1768A,HOLY NAME OF JESUS CHURCH,2186 W 031ST ST,LOS ANGELES,90018,CHURC,900-1768B
900-5315A,WESTERN CHR OF  LOS ANGELES,1218 S FAIRFAX AVE,LOS ANGELES,90019,CHURC,900-2413C
900-2465A,ST JOHN BAPTIST CHURCH,946 W 049TH ST,LOS ANGELES,90037,CHURC,900-2465D
270-0092A,I-COPP CENTER,2666 W IMPERIAL HWY,INGLEWOOD,90303,CITYO,270-0092B
900-2021A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2021C
900-2280A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-2280F
900-2069B,JIM GILLIAM PARK,4000 S LA BREA AVE,LOS ANGELES,90008,LACPR,900-2069C
900-5316A,COCHRAN AV BAPTIST CHURCH,1304 S COCHRAN AVE,LOS ANGELES,90019,CHURC,900-5316B
900-2330A,SMYRNA 7TH DAY ADVENTIST,4394 W WASHINGTON BLVD,LOS ANGELES,90016,CHUR1,900-2330D
900-2083B,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-2083B
900-3866A,CHARLES W BARRETT ELEM SCH,419 W 098TH ST,LOS ANGELES,90003,LAUSD,900-3029A
900-5303A,AROMA OF JESUS MISSION CHURCH,4323 W PICO BLVD,LOS ANGELES,90019,CHUR1,900-1470D
900-2074B,MARTIN LUTHER KING REC CTR,3916 S WESTERN AVE,LOS ANGELES,90062,LACPR,900-2074B
900-5322A,L.A.P.D. OPERATIONS WEST,4849 VENICE BLVD,LOS ANGELES,90019,MISCP,900-5322C
900-2316A,FIRST PRESBYTERIAN CHURCH,1809 WEST BLVD,LOS ANGELES,90019,CHURC,900-1716E
751-0006A,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0006D
900-2086A,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-2086E
900-1613D,RESIDENCE,171 S CITRUS AVE,LOS ANGELES,90036,RES,900-2836A
270-0094A,I-COPP CENTER,2666 W IMPERIAL HWY,INGLEWOOD,90303,CITYO,270-0094E
900-2107A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2107A
900-1779C,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-1779D
900-7221A,WESTSIDE JEWISH COMM CENTER,5870 W OLYMPIC BLVD,LOS ANGELES,90036,RELFA,900-7221A
900-2471A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2471D
900-2021A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2020A
900-2503A,CHURCH OF THE LIVING GOD ,9800 S WESTERN AVE,LOS ANGELES,90047,CHUR1,900-2503E
900-1465C,MT CALVARY LUTHERAN CHURCH,436 S BEVERLY DR,BEVERLY HILLS,90212,CHUR1,900-2416B
900-2954A,WESTERN PARKING ENFORCEMENT,11214 EXPOSITION BLVD,LOS ANGELES,90064,MISCP,900-2954B
900-2556A,SHABACH FOUR SQUARE CHURCH,4300 W SLAUSON AVE,LOS ANGELES,90043,CHUR1,900-2556B
900-1942A,HARRIS HALL,635 W 035TH ST,LOS ANGELES,90089,SC-PR,900-1942B
900-2083B,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-1776A
900-3029C,CHARLES W BARRETT ELEM SCH,419 W 098TH ST,LOS ANGELES,90003,LAUSD,900-3029E
900-1490A,PALMS WESTMINISTER PRESBY CH,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-1490D
751-0008A,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0008A
900-2503A,CHURCH OF THE LIVING GOD ,9800 S WESTERN AVE,LOS ANGELES,90047,CHUR1,900-2503B
900-3029C,CHARLES W BARRETT ELEM SCH,419 W 098TH ST,LOS ANGELES,90003,LAUSD,900-3662C
900-1729A,SOUTH SEAS HOUSE,2301 W 024TH ST,LOS ANGELES,90018,LACPR,900-1729A
900-1551A,COUNTRY VILLA NORTH,3233 W PICO BLVD,LOS ANGELES,90019,SRHMS,900-2478B
900-2572A,COMMUNITY CHURCH OF L A,10611 S HOOVER ST,LOS ANGELES,90044,CHUR1,900-2572A
900-5312C,KOREAN INSTITUTE OF SO CAL,4900 WILSHIRE BLVD,LOS ANGELES,90010,SC-PR,900-5312C
900-1470B,WESTSIDE MANOR,1224 S NORTON AVE,LOS ANGELES,90019,MISCP,900-1470B
900-0948A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-0948D
900-3210A,HARRIS HALL,635 W 035TH ST,LOS ANGELES,90089,SC-PR,900-1048A
900-2334A,ST PAUL PRESBYTERIAN CHURCH,5100 COLISEUM ST,LOS ANGELES,90016,CHURC,900-2334F
900-2362A,PALMS WESTMINISTER PRESBY CHR,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-2362E
900-2087B,MARTIN LUTHER KING REC CTR,3916 S WESTERN AVE,LOS ANGELES,90062,LACPR,900-2860B
900-1725A,ST PAUL EVANGELICAL LUTH CHR,3901 W ADAMS BLVD,LOS ANGELES,90018,CHURC,900-1725A
900-1474C,NAZARETH HOUSE,3333 MANNING AVE,LOS ANGELES,90064,SRHMS,900-1474D
900-2280A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-2280G
900-2025B,MT CARMEL RECREATION CTR,830 W 070TH ST,LOS ANGELES,90044,LACPR,900-1974C
900-2334A,ST PAUL PRESBYTERIAN CHURCH,5100 COLISEUM ST,LOS ANGELES,90016,CHURC,900-2334B
900-2362A,PALMS WESTMINISTER PRESBY CHR,2908 ROBERTSON PL,LOS ANGELES,90034,CHUR1,900-1497A
900-1456A,FIRE STATION #92,10556 W PICO BLVD,LOS ANGELES,90064,MISCP,900-1456A
900-1502A,CULVER PALMS CHURCH OF CHRIST,9733 VENICE BLVD,LOS ANGELES,90034,CHURC,900-1051B
900-2345A,RANCHO CIENEGA PARK BLDG,5001 RODEO RD,LOS ANGELES,90016,LACPR,900-2345A
900-2889A,PALMS RECREATION CENTER,2950 OVERLAND AVE,LOS ANGELES,90064,LACPR,900-2889A
900-1956A,OUR SAVIOR PARISH CHURCH,844 W 032ND ST,LOS ANGELES,90007,CHUR1,900-1956A
900-2262B,PARK LA BREA,475 S CURSON AVE W,LOS ANGELES,90036,APTBL,900-2262G
900-1729A,SOUTH SEAS HOUSE,2301 W 024TH ST,LOS ANGELES,90018,LACPR,900-1730E
900-1000A,FIRST AME CHURCH,2270 S HARVARD BLVD,LOS ANGELES,90018,CHUR1,900-1000A
900-5317A,TOM BRADLEY FAMILY CENTER,5213 W PICO BLVD,LOS ANGELES,90019,COMMU,900-5317C
900-1769C,HOLY NAME OF JESUS CHURCH,2186 W 031ST ST,LOS ANGELES,90018,CHURC,900-1769C
900-2163A,VAN NESS PARK RECREATION CTR,5720 002ND AVE,LOS ANGELES,90043,LACPR,900-2163B
900-1456A,FIRE STATION #92,10556 W PICO BLVD,LOS ANGELES,90064,MISCP,900-1456D
767-0009A,BRET HARTE MIDDLE SCHOOL,9301 S HOOVER ST,LOS ANGELES,90044,LAUSD,767-0026A
900-2070A,FIRE STATION #34,3661 007TH AVE,LOS ANGELES,90018,LACPR,900-2070B
900-7349A,ST PAUL PRESBYTERIAN CHURCH,5100 COLISEUM ST,LOS ANGELES,90016,CHURC,900-7349C
900-2324A,THE JEFFREY FOUNDATION CENTER,5443 W WASHINGTON BLVD,LOS ANGELES,90016,SC-PR,900-1988A
900-1026C,WEEMES ELEMENTARY SCHOOL,1260 W 036TH PL,LOS ANGELES,90007,LAUSD,900-1026F
900-2113A,FIRE STATION #94,4470 COLISEUM ST,LOS ANGELES,90016,FIRE,900-2113D
900-3050A,BRADLEY MAGNET SCHOOL,3875 DUBLIN AVE,LOS ANGELES,90008,LAUSD,900-1996A
900-1472A,RESIDENCE,9543 BOLTON RD,LOS ANGELES,90034,RES,900-1472F
900-2162A,NEW HORIZON C.C.C,1601 W FLORENCE AVE,LOS ANGELES,90047,CHUR1,900-2162A
900-1190D,KOREAN INSTITUTE OF SO CAL,4900 WILSHIRE BLVD,LOS ANGELES,90010,SC-PR,900-1190F
900-2280A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-2280H
900-5321A,TOM BRADLEY FAMILY CENTER,5213 W PICO BLVD,LOS ANGELES,90019,COMMU,900-5321D
900-2136A,BROOKINS DEVELOPMENT CTR,4831 S GRAMERCY PL,LOS ANGELES,90062,CHUR1,900-2428B
900-1929A,OUR SAVIOR PARISH CHURCH,844 W 032ND ST,LOS ANGELES,90007,CHUR1,900-1929D
900-2067D,COLISEUM ST ELEM SCHOOL,4400 COLISEUM ST,LOS ANGELES,90016,LAUSD,900-2067F
900-2128A,NAT`L COUNCIL OF NEGRO WOMEN,3720 W 054TH ST,LOS ANGELES,90043,CLUB,900-2128B
900-1681A,NORMANDIE RECREATION CENTER,1550 S NORMANDIE AVE,LOS ANGELES,90006,LACPR,900-7107C
900-2472B,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-2157C
900-2494A,RITA WALTERS LEARNING COMPLEX,915 W MANCHESTER AVE,LOS ANGELES,90044,MISCP,900-2494A
767-0010A,FAITH UNITED METHODIST CHR,1713 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0023C
900-2262B,PARK LA BREA,475 S CURSON AVE W,LOS ANGELES,90036,APTBL,900-2262D
900-2021B,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2021D
900-2067D,COLISEUM ST ELEM SCHOOL,4400 COLISEUM ST,LOS ANGELES,90016,LAUSD,900-2067D
900-1026C,WEEMES ELEMENTARY SCHOOL,1260 W 036TH PL,LOS ANGELES,90007,LAUSD,900-1026C
900-2322B,ST ELMO VILLAGE INCORPORATION,4830 ST ELMO DR,LOS ANGELES,90019,BUS.,900-2322B
751-0006A,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0006B
900-1729A,SOUTH SEAS HOUSE,2301 W 024TH ST,LOS ANGELES,90018,LACPR,900-1729E
767-0016A,NEW CONG MISSION BAPTIST CHR,11205 S VERMONT AVE,LOS ANGELES,90044,CHURC,767-0016C
900-2211A,KRST UNITY CENTER,1811 W 078TH PL,LOS ANGELES,90047,CHURC,900-2211C
900-2091A,BRYANT TEMPLE AME CHURCH,2514 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2091C
900-2077A,CAMINO AL CIELO,1501 W MARTIN L KING JR BLVD,LOS ANGELES,90062,CHUR1,900-2077D
900-3866A,CHARLES W BARRETT ELEM SCH,419 W 098TH ST,LOS ANGELES,90003,LAUSD,900-3662B
900-2087B,MARTIN LUTHER KING REC CTR,3916 S WESTERN AVE,LOS ANGELES,90062,LACPR,900-2087B
900-1456A,FIRE STATION #92,10556 W PICO BLVD,LOS ANGELES,90064,MISCP,900-1476E
767-0021A,FIRST SAMOAN CHURCH OF LA,1749 W 125TH ST,LOS ANGELES,90047,CHUR1,767-0021B
900-4218A,LIBERAL ARTS MASONIC LODGE,2244 WESTWOOD BLVD,LOS ANGELES,90064,RELFA,900-4218B
250-0046A,ROWLEY PARK,13220 VAN NESS AVE,GARDENA,90249,CITYO,250-0004C
900-1716A,ARLINGTON HEIGHTS ELEM SCH,1717 007TH AVE,LOS ANGELES,90019,LAUSD,900-1716C
767-0018A,FIRST SAMOAN CHURCH OF LA,1749 W 125TH ST,LOS ANGELES,90047,CHUR1,767-0018B
250-0007A,LAS FLORES CONV HOME,14165 PURCHE AVE,GARDENA,90249,SRHMS,250-0007E
900-1522A,PALMS MIDDLE SCHOOL,10860 WOODBINE ST,LOS ANGELES,90034,LAUSD,900-1522C
900-2342B,ZOE CHRISTIAN FELLOWSHIP CHR,5315 W ADAMS BLVD,LOS ANGELES,90016,CHUR1,900-2342G
900-2021A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2021A
900-2126B,ST JOHN EVANGELIST CHURCH,6021 VICTORIA AVE,LOS ANGELES,90043,CHURC,900-2126C
900-2485A,TRUE GOSPEL BAPTIST CHURCH ,7723 S HOOVER ST,LOS ANGELES,90044,CHURC,900-2485A
900-2285A,NAZARETH HOUSE,3333 MANNING AVE,LOS ANGELES,90064,SRHMS,900-1319A
900-2001A,AMOS MEMORIAL CME CHURCH,2445 W WASHINGTON BLVD,LOS ANGELES,90018,CHURC,900-1720E
900-2279A,CARTHAY CENTER ELEM SCHOOL,6351 W OLYMPIC BLVD,LOS ANGELES,90048,LAUSD,900-2279C
900-2339B,LONGWOOD MANOR,4853 W WASHINGTON BLVD,LOS ANGELES,90016,SRHMS,900-2339B
900-2461A,ST JOHN BAPTIST CHURCH,946 W 049TH ST,LOS ANGELES,90037,CHURC,900-2461D
900-1444A,SUNNY HILLS ASSISTED LIVING,8755 W OLYMPIC BLVD,LOS ANGELES,90035,SRHMS,900-0661C
900-1290A,CASTLE HEIGHTS ELEM SCHOOL,9755 CATTARAUGUS AVE,LOS ANGELES,90034,LAUSD,900-1290C
900-2156A,54TH ST SEVENTH DAY ADVENTIST,1973 W 054TH ST,LOS ANGELES,90062,CHUR1,900-2156B
900-1721A,AMOS MEMORIAL CME CHURCH,2445 W WASHINGTON BLVD,LOS ANGELES,90018,CHURC,900-2478A
900-1532A,CULVER CITY ELKS LODGE 1917,11160 WASHINGTON PL,CULVER CITY,90232,CLUB,900-1532B
900-2499A,LA SALLE AVENUE ELEMENTARY,8715 LA SALLE AVE,LOS ANGELES,90047,LAUSD,900-2499A
900-2150A,STENTORIANS ,1409 W VERNON AVE,LOS ANGELES,90062,COMMU,900-2150D
900-2316A,FIRST PRESBYTERIAN CHURCH,1809 WEST BLVD,LOS ANGELES,90019,CHURC,900-1716F
900-2252A,PARK LA BREA,475 S CURSON AVE W,LOS ANGELES,90036,APTBL,900-2265A
900-1471A,ROBERTSON RECREATION CENTER,1641 PREUSS RD,LOS ANGELES,90035,LACPR,900-1238A
900-1444A,SUNNY HILLS ASSISTED LIVING,8755 W OLYMPIC BLVD,LOS ANGELES,90035,SRHMS,900-1444B
900-2166A,HARVARD RECREATION CENTER ,1535 W 062ND ST,LOS ANGELES,90047,LACPR,900-2157E
900-1984B,FIRE STATION #43,3690 MOTOR AVE,LOS ANGELES,90034,MISCP,900-2111A
900-2908A,MESSIAH LUTHERAN CHURCH,1149 W MANCHESTER AVE,LOS ANGELES,90044,CHURC,900-2908E
900-2073A,MARTIN LUTHER KING REC CTR,3916 S WESTERN AVE,LOS ANGELES,90062,LACPR,900-2073B
900-2466A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2466D
900-2080A,LOS ANGELES SENTINEL,3800 CRENSHAW BLVD,LOS ANGELES,90008,BUS.,900-2082A
900-7230A,WEST BETHEL PRESBYTERIAN CHR,857 S LA BREA AVE,LOS ANGELES,90036,CHUR1,900-7230D
900-1480A,CONGREGATION OHEL MOSHE,8765 W PICO BLVD,LOS ANGELES,90035,RELFA,900-1480B
900-5305A,WEST BETHEL PRESBYTERIAN CHR,857 S LA BREA AVE,LOS ANGELES,90036,CHUR1,900-2247D
900-2063A,KIPP EMPOWER ACADEMY,8466 S FIGUEROA ST,LOS ANGELES,90003,SC-PR,900-2063E
900-1111A,CULVER PALMS CHURCH OF CHRIST,9733 VENICE BLVD,LOS ANGELES,90034,CHURC,900-1051C
900-2471A,SECOND AME CHURCH,5500 S HOOVER ST,LOS ANGELES,90037,CHUR1,900-2471C
900-2097B,CHRIST THE GOOD SHEPHERD CHR,3303 W VERNON AVE,LOS ANGELES,90008,CHURC,900-2093B
767-0004A,GREATER TRUE VINE TEMPLE,9616 S NORMANDIE AVE,LOS ANGELES,90044,CHUR1,767-0004E
900-2451A,EXPO CENTER,3990 MENLO AVE,LOS ANGELES,90037,LACPR,900-2451D
900-1681A,NORMANDIE RECREATION CENTER,1550 S NORMANDIE AVE,LOS ANGELES,90006,LACPR,900-7107A
900-5319A,WESTERN CHR OF  LOS ANGELES,1218 S FAIRFAX AVE,LOS ANGELES,90019,CHURC,900-5319C
900-2090A,MARTIN LUTHER KING REC CTR,3916 S WESTERN AVE,LOS ANGELES,90062,LACPR,900-2861A
751-0008A,ANGELES MESA PRESBY CHURCH,3751 W 054TH ST,LOS ANGELES,90043,CHUR1,751-0008F
900-2103A,CONSOLIDATED BD OF REALTISTS ,3725 DON FELIPE DR,LOS ANGELES,90008,BUS.,900-2103A
767-0013A,FIRST NEW CHRISTIAN CHURCH,1555 W 108TH ST,LOS ANGELES,90047,CHUR1,767-0013A
900-2357B,MARVIN AVE ELEMENTARY SCHOOL,2411 MARVIN AVE,LOS ANGELES,90016,LAUSD,900-2357F
900-1716A,ARLINGTON HEIGHTS ELEM SCH,1717 007TH AVE,LOS ANGELES,90019,LAUSD,900-1572B
250-0008A,LAS FLORES CONV HOME,14165 PURCHE AVE,GARDENA,90249,SRHMS,250-0009C
900-5405A,ST ANDREWS HEALTH CARE,2300 W WASHINGTON BLVD,LOS ANGELES,90018,SRHMS,900-5405A
