DBN,School Name,School Pupil-Teacher Ratio
09X053,P.S. 053 BASHEER QUISIM,15.09178
10X051,P.S. 051 BRONX NEW SCHOOL,16.02337
12X050,P.S. 050 CLARA BARTON,5.32666
07X049,P.S. 049 WILLIS AVENUE,12.05539
08X048,P.S. 048 JOSEPH R. DRAKE,12.4103
12X047,P.S. 047 JOHN RANDOLPH,15.36858
10X046,P.S. 046 EDGAR ALLAN POE,13.39061
12X044,P.S. 044 DAVID C. FARRAGUT,10.78422
07X043,P.S. 043 JONAS BRONCK,13.83066
09X042,P.S. 042 CLAREMONT,12.04435
11X041,P.S. 041 GUN HILL ROAD,16.01673
08X036,P.S. 036 UNIONPORT,13.62626
09X035,P.S. 035 FRANZ SIEGEL,14.41385
10X033,P.S. 033 TIMOTHY DWIGHT,14.99577
10X032,P.S. 032 BELMONT,12.8989
07X030,P.S. 030 WILTON,14.43256
09X028,P.S. 028 MOUNT HOPE,14.65517
07X025,P.S. 025 BILINGUAL SCHOOL,11.64569
10X024,P.S. 024 SPUYTEN DUYVIL,16.76713
10X023,P.S. 023 THE NEW CHILDREN'S SCHOOL,12.34249
11X021,P.S. 021 PHILIP H. SHERIDAN,16.93244
07X018,P.S. 018 JOHN PETER ZENGER,13.01628
11X016,P.S. 016 WAKEFIELD,13.18563
08X014,P.S. X014 SENATOR JOHN CALANDRA,14.41301
09X011,P.S. 011 HIGHBRIDGE,13.06261
10X009,P.S. 9 RYER AVENUE ELEMENTARY SCHOOL,14.46967
10X008,P.S. 008 ISSAC VARIAN,13.54443
10X007,MILTON FEIN SCHOOL,16.2893
12X006,P.S. 006 WEST FARMS,13.54035
09X004,P.S./M.S. 004 CROTONA PARK WEST,13.22164
07X001,P.S. 001 COURTLANDT SCHOOL,13.32087
31R078,PS 78,13.44592
31R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,11.86363
31R069,P.S. 069 DANIEL D. TOMPKINS,10.42267
31R065,P.S. 65 THE ACADEMY OF INNOVATIVE LEARNING,14.54842
31R062,P.S. 62,11.17647
31R060,P.S. 060 ALICE AUSTEN,15.42776
31R059,THE HARBOR VIEW SCHOOL,12.71496
31R058,SPACE SHUTTLE COLUMBIA SCHOOL,16.05378
31R057,P.S. 057 HUBERT H. HUMPHREY,15.0806
31R056,P.S. 56 THE LOUIS DESARIO SCHOOL,14.22602
31R055,P.S. 055 HENRY M. BOEHM,15.67006
31R054,P.S. 054 CHARLES W. LENG,15.6279
31R053,P.S. 053 BAY TERRACE,16.57362
31R052,P.S. 052 JOHN C. THOMPSON,14.06556
31R050,P.S. 050 FRANK HANKINSON,16.7164
31R046,P.S. 046 ALBERT V. MANISCALCO,11.83156
