DBN,School Name,School Pupil-Teacher Ratio
16K636,YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION,16.69942
16K628,BROOKLYN BROWNSTONE SCHOOL,16.20689
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL,19.81505
23K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,19.84458
19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,12.8409
17K532,NEW BRIDGES ELEMENTARY,11.66025
15K516,SUNSET PARK AVENUES ELEMENTARY SCHOOL,13.78653
20K506,P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,14.26023
20K503,PS 503: THE SCHOOL OF DISCOVERY,11.96299
23K446,RIVERDALE AVENUE COMMUNITY SCHOOL,13.69674
15K418,THE CHILDREN'S SCHOOL,13.21123
14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,14.60583
23K401,CHRISTOPHER AVENUE COMMUNITY SCHOOL,14.22772
17K399,P.S. 399 STANLEY EUGENE CLARK,18.88365
17K398,P.S. 398 WALTER WEAVER,12.94495
17K397,P.S. 397 FOSTER-LAURIE,11.757
14K380,P.S. 380 JOHN WAYNE ELEMENTARY,12.82907
32K376,P.S. 376,15.00686
17K375,P.S. 375 JACKIE ROBINSON SCHOOL,12.53226
22K361,P.S. 361 EAST FLATBUSH EARLY CHILDHOOD SCHOOL,14.39568
19K346,P.S. 346 ABE STARK,12.87159
19K345,P.S. 345 PATROLMAN ROBERT BOLDEN,16.31178
16K335,P.S. 335 GRANVILLE T. WOODS,10.77317
21K329,P.S. 329 SURFSIDE,14.36447
19K328,P.S. 328 PHYLLIS WHEATLEY,12.29942
22K326,P.S. 326,12.90248
19K325,THE FRESH CREEK SCHOOL,15.89688
15K321,P.S. 321 WILLIAM PENN,18.15612
14K319,P.S. 319,12.91025
17K316,P.S. 316 ELIJAH STROUD,10.57641
22K315,P.S. K315,15.71765
22K312,P.S. 312 BERGEN BEACH,15.9986
20K310,THE SCHOOL FOR FUTURE LEADERS,13.92026
16K309,P.S. 309 THE GEORGE E. WIBECAN PREPARATORY ACADEMY,8.921568
16K308,P.S. 308 CLARA CARDWELL,11.57692
13K307,P.S. 307 DANIEL HALE WILLIAMS,7.837062
13K305,P.S. 305 DR. PETER RAY,13.37425
32K299,P.S. 299 THOMAS WARREN FIELD,12.12025
23K298,P.S. 298 DR. BETTY SHABAZZ,11.23258
14K297,P.S. 297 ABRAHAM STOCKTON,12.50053
15K295,P.S. 295,12.16335
19K290,P.S. 290 JUAN MOREL CAMPOS,14.00407
17K289,P.S. 289 GEORGE V. BROWER,12.69955
21K288,P.S. 288 THE SHIRLEY TANYHILL,15.41139
13K287,P.S. 287 BAILEY K. ASHFORD,13.40918
18K279,P.S. 279 HERMAN SCHREIBER,13.7086
22K277,P.S. 277 GERRITSEN BEACH,14.14146
18K276,P.S. 276 LOUIS MARSHALL,15.98766
32K274,P.S. 274 KOSCIUSKO,15.93398
19K273,P.S. 273 WORTMAN,11.78861
18K272,P.S. 272 CURTIS ESTABROOK,13.02301
13K270,P.S. 270 JOHANN DEKALB,13.11372
22K269,P.S. 269 NOSTRAND,16.86921
18K268,P.S. 268 EMMA LAZARUS,17.6542
20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,13.97188
15K261,P.S. 261 PHILIP LIVINGSTON,15.86805
14K257,P.S. 257 JOHN F. HYLAN,16.29921
13K256,P.S. 256 BENJAMIN BANNEKER,13.70445
22K255,P.S. 255 BARBARA REING SCHOOL,13.37968
22K254,P.S. 254 DAG HAMMARSKJOLD,18.86738
21K253,P.S. 253,14.2447
22K251,P.S. 251 PAERDEGAT,15.41296
14K250,P.S. 250 GEORGE H. LINDSAY,16.48417
17K249,P.S. 249 THE CATON,16.8714
20K247,P.S. 247 BROOKLYN,13.86759
22K245,P.S. 245,13.92618
18K244,P.S. 244 RICHARD R. GREEN,10.37348
16K243,P.S. 243K- THE WEEKSVILLE SCHOOL,10.38329
17K241,P.S. 241 EMMA L. JOHNSTON,14.45036
22K236,P.S. 236 MILL BASIN,16.40486
18K233,P.S. 233 LANGSTON HUGHES,14.2248
15K230,P.S. 230 DORIS L. COHEN,13.60912
19K224,P.S. 224 HALE A. WOODRUFF,16.22812
22K222,P.S. 222 KATHERINE R. SNYDER,12.92105
17K221,P.S. 221 TOUSSAINT L'OUVERTURE,15.79963
18K219,P.S. 219 KENNEDY-KING,15.60561
22K217,P.S. 217 COLONEL DAVID MARCUS SCHOOL,15.46369
21K216,P.S. 216 ARTURO TOSCANINI,18.06974
21K215,P.S. 215 MORRIS H. WEISS,15.76653
19K214,P.S. 214 MICHAEL FRIEDSAM,15.08361
19K213,P.S. 213 NEW LOTS,14.98048
21K212,P.S. 212 LADY DEBORAH MOODY,13.47234
18K208,P.S. 208 ELSA EBELING,17.96116
20K205,P.S. 205 CLARION,16.3928
20K204,P.S. 204 VINCE LOMBARDI,16.1128
22K203,P.S. 203 FLOYD BENNETT SCHOOL,15.79551
19K202,P.S. 202 ERNEST S. JENKYNS,14.50999
20K200,P.S. 200 BENSON SCHOOL,17.30686
21K199,P.S. 199 FREDERICK WACHTEL,10.9402
22K198,P.S. 198 BROOKLYN,12.92133
22K197,P.S. 197 - THE KINGS HIGHWAY ACADEMY,13.4309
14K196,P.S. 196 TEN EYCK,12.57839
22K195,P.S. 195 MANHATTAN BEACH,18.72322
22K194,P.S. 194 RAOUL WALLENBERG,13.13286
22K193,P.S. 193 GIL HODGES,15.42714
17K191,P.S. 191 PAUL ROBESON,12.92307
19K190,P.S. 190 SHEFFIELD,11.08695
21K188,P.S. 188 MICHAEL E. BERDY,13.45115
20K186,P.S. 186 DR. IRVING A GLADSTONE,15.95656
20K185,P.S. 185 WALTER KASSENBROCK,16.96718
20K179,P.S. 179 KENSINGTON,14.47017
21K177,P.S. 177 THE MARLBORO,15.87628
20K176,P.S. 176 OVINGTON,16.62737
19K174,P.S. 174 DUMONT,9.25
15K172,P.S. 172 BEACON SCHOOL OF EXCELLENCE,12.19452
20K170,RALPH A. FABRIZIO SCHOOL,16.21673
15K169,P.S. 169 SUNSET PARK,15.42665
17K167,P.S. 167 THE PARKWAY,6.714285
23K165,P.S. 165 IDA POSNER,9.5115
20K164,P.S. 164 CAESAR RODNEY,13.93282
17K161,P.S. 161 THE CROWN,14.55068
20K160,P.S. 160 WILLIAM T. SAMPSON,14.83959
19K159,P.S. 159 ISAAC PITKIN,16.34123
19K158,P.S. 158 WARWICK,15.31526
23K156,P.S. 156 WAVERLY,13.71389
15K154,THE WINDSOR TERRACE SCHOOL,15.22738
21K153,P.S. 153 HOMECREST,15.50302
22K152,SCHOOL OF SCIENCE & TECHNOLOGY,14.64131
32K151,P.S. 151 LYNDON B. JOHNSON,11.18844
23K150,P.S. 150 CHRISTOPHER,13.80977
19K149,P.S. 149 DANNY KAYE,19.17492
14K147,P.S. 147 ISAAC REMSEN,12.70002
15K146,P.S. 146,13.66908
32K145,P.S. 145 ANDREW JACKSON,14.59539
22K139,P.S. 139 ALEXINE A. FENTY,15.47296
18K135,P.S. 135 SHELDON A. BROOKNER,17.16122
22K134,P.S. K134,12.94896
13K133,P.S. 133 WILLIAM A. BUTLER,16.75
14K132,P.S. 132 THE CONSELYEA SCHOOL,16.20771
15K131,P.S. 131 BROOKLYN,13.98886
15K130,P.S. 130 THE PARKSIDE,15.08655
21K128,P.S. 128 BENSONHURST,13.29045
20K127,P.S. 127 MCKINLEY PARK,14.02463
15K124,P.S. 124 SILAS B. DUTCHER,13.57298
32K123,P.S. 123 SUYDAM,13.82433
14K120,P.S. 120 CARLOS TAPIA,14.86956
22K119,P.S. 119 AMERSFORT,14.41018
15K118,THE MAURICE SENDAK COMMUNITY SCHOOL,28.48841
32K116,P.S. 116 ELIZABETH L FARRELL,14.548
18K115,P.S. 115 DANIEL MUCATEL SCHOOL,16.5202
18K114,P.S. 114 RYDER ELEMENTARY,14.48456
20K112,P.S. 112 LEFFERTS PARK,13.8091
14K110,P.S. 110 THE MONITOR,15.94237
19K108,P.S. 108 SAL ABBRACCIAMENTO,14.74525
15K107,P.S. 107 JOHN W. KIMBALL,16.01119
32K106,P.S. 106 EDWARD EVERETT HALE,14.45678
20K105,P.S. 105 THE BLYTHEBOURNE,17.31081
20K102,P.S. 102 THE BAYVIEW,16.02887
21K101,P.S. 101 THE VERRAZANO,14.24362
21K100,P.S. 100 THE CONEY ISLAND SCHOOL,16.78254
21K097,P.S. 97 THE HIGHLAWN,13.68231
15K094,P.S. 094 THE HENRY LONGFELLOW,16.41604
13K093,P.S. 093 WILLIAM H. PRESCOTT,16.16052
17K092,P.S. 092 ADRIAN HEGEMAN,13.86055
17K091,P.S. 091 THE ALBANY AVENUE SCHOOL,12.96649
21K090,P.S. 90 EDNA COHEN SCHOOL,14.01358
32K086,P.S. 086 THE IRVINGTON,14.29213
16K081,P.S. 081 THADDEUS STEVENS,11.47772
32K075,P.S. 075 MAYDA CORTIELLA,14.37684
23K073,P.S. 073 THOMAS S. BOYLAND,5.67172
20K069,P.S. 69 VINCENT D. GRIPPO SCHOOL,14.48694
13K067,P.S. 067 CHARLES A. DORSEY,16.2402
19K065,P.S. 065,16.64778
14K059,P.S. 059 WILLIAM FLOYD,13.97849
15K058,P.S. 058 THE CARROLL,16.38914
13K056,P.S. 056 LEWIS H. LATIMER,11.77636
13K054,P.S. 054 SAMUEL C. BARNES,10.24164
22K052,P.S. 052 SHEEPSHEAD BAY,16.85158
20K048,P.S. 048 MAPLETON,15.52945
13K046,P.S. 046 EDWARD C. BLUM,10.85365
13K044,P.S. 044 MARCUS GARVEY,14.24115
16K040,P.S. 040 GEORGE W. CARVER,14.33734
15K039,P.S. 039 HENRY BRISTOW,15.21931
15K038,P.S. 038 THE PACIFIC,13.74173
14K034,P.S. 034 OLIVER H. PERRY,15.82418
15K032,P.S. 032 SAMUEL MILLS SPROLE,8.511029
14K031,P.S. 031 SAMUEL F. DUPONT,15.8095
15K029,P.S. 029 JOHN M. HARRIGAN,16.76136
16K028,P.S. 028 THE WARREN PREP ACADEMY,10.19447
16K026,P.S. 026 JESSE OWENS,11.52715
16K025,P.S. 025 EUBIE BLAKE SCHOOL,6.921498
15K024,P.S. 024,11.88979
14K023,P.S. 023 CARTER G. WOODSON,11.22242
16K021,P.S. 021 CRISPUS ATTUCKS,15.30219
13K020,P.S. 020 CLINTON HILL,15.87155
14K018,P.S. 018 EDWARD BUSH,12.14285
14K017,P.S. 017 HENRY D. WOODWORTH,11.0425
14K016,P.S. 016 LEONARD DUNKLY,13.01639
15K015,P.S. 015 PATRICK F. DALY,9.407476
19K013,P.S. 013 ROBERTO CLEMENTE,16.40392
17K012,DR. JACQUELINE PEEK-DAVIS SCHOOL,16.33184
13K011,P.S. 011 PURVIS J. BEHAN,17.52246
15K010,"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",14.9822
13K009,P.S. 009 TEUNIS G. BERGEN,18.99028
19K007,P.S. 007 ABRAHAM LINCOLN,14.86666
17K006,P.S. 006,14.65564
16K005,P.S. 005 DR. RONALD MCNAIR,13.94681
13K003,P.S. 003 THE BEDFORD VILLAGE,13.25233
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,17.19226
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,9.533333
02M570,SATELLITE ACADEMY HIGH SCHOOL,16.85874
04M497,CENTRAL PARK EAST I,13.85737
06M513,CASTLE BRIDGE SCHOOL,11.80461
07X381,BRONX HAVEN HIGH SCHOOL,12.24375
08X537,BRONX ARENA HIGH SCHOOL,12.19891
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,15.71511
11X566,PELHAM GARDENS MIDDLE SCHOOL,13.17855
08X562,BLUEPRINT MIDDLE SCHOOL,11.74507
11X556,BRONX PARK MIDDLE SCHOOL,10.92297
11X532,BAYCHESTER MIDDLE SCHOOL,11.95833
11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,9.375482
11X498,PS/MS 11X498 - VAN NEST ACADEMY,16.09488
11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,16.73505
08X467,MOTT HALL COMMUNITY SCHOOL,14.28393
11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),17.92869
10X459,EAST FORDHAM ACADEMY FOR THE ARTS,12.08106
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,12.01025
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,12.35181
10X447,CRESTON ACADEMY,14.35229
08X424,THE HUNTS POINT SCHOOL,9.983172
10X391,THE ANGELO PATRI MIDDLE SCHOOL,11.6282
10X390,M.S. 390,15.90437
12X384,ENTRADA ACADEMY,12.80765
12X383,EMOLIOR ACADEMY,15
08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,12.65131
08X371,URBAN INSTITUTE OF MATHEMATICS,14.91437
08X366,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,9.490632
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,8.531899
09X361,THE HIGHBRIDGE GREEN SCHOOL,12.06605
11X355,BRONX ALLIANCE MIDDLE SCHOOL,11.54018
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,17.22887
12X341,ACCION ACADEMY,11.38452
09X339,I.S. 339,9.066128
08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,15.65752
10X331,THE BRONX SCHOOL OF YOUNG LEADERS,12.16545
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,12.02422
11X326,BRONX GREEN MIDDLE SCHOOL,13.21256
09X325,URBAN SCIENCE ACADEMY,12.14152
09X323,BRONX WRITING ACADEMY,12.37135
12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",13.26195
12X316,KAPPA III,15.61966
10X315,P.S. 315 LAB SCHOOL,14.5
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,11.2039
10X308,BRONX DANCE ACADEMY SCHOOL,13.70294
09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,12.67243
08X302,M.S. 302 LUISA DESSUS CRUZ,12.54886
08X301,M.S. 301 PAUL L. DUNBAR,11.3125
07X298,ACADEMY OF PUBLIC RELATIONS,10.63624
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,15.24047
11X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,12.0299
11X287,THE FORWARD SCHOOL,17.9197
12X286,FANNIE LOU HAMER MIDDLE SCHOOL,13.66666
10X280,P.S./M.S. 280 MOSHOLU PARKWAY,14.36688
10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",14.86073
12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,12.67928
11X272,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,10.73874
10X254,I.S. 254,14.00124
10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,14.85294
09X232,I.S. 232,17.46096
09X229,I.S. 229 ROLAND PATTERSON,8.874311
10X228,JONAS BRONCK ACADEMY,13.84225
07X224,P.S. / I.S. 224,14.58641
09X219,I.S. 219 NEW VENTURE SCHOOL,11.21727
09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,14.92739
12X217,SCHOOL OF PERFORMING ARTS,10.09882
09X215,KAPPA,14.30995
12X214,P.S. 214,15.54705
12X212,P.S. 212,13.17567
12X211,P.S. 211,14.19775
10X206,I.S. 206 ANN MERSEREAU,12.45019
11X194,PS/MS 194,15.12819
12X190,E.S.M.T- I.S. 190,11.97221
11X181,I.S. 181 PABLO CASALS,15.30202
11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,16.46384
11X175,P.S. 175 CITY ISLAND,12.90194
07X162,J.H.S. 162 LOLA RODRIGUEZ DE TIO,10.78662
07X151,J.H.S. 151 LOU GEHRIG,11.16965
09X145,J.H.S. 145 ARTURO TOSCANINI,11.21865
11X144,J.H.S. 144 MICHELANGELO,16.85762
08X131,J.H.S. 131 ALBERT EINSTEIN,13.98276
12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,14.39286
09X128,MOTT HALL III,15.95454
11X127,J.H.S. 127 THE CASTLE HILL,15.53476
08X125,J.H.S. 125 HENRY HUDSON,13.73156
08X123,J.H.S. 123 JAMES M. KIERAN,12.05041
10X118,J.H.S. 118 WILLIAM W. NILES,13.81332
09X117,I.S. 117 JOSEPH H. WADE,12.7499
08X101,M.S. X101 EDWARD R. BYRNE,13.9691
12X098,J.H.S. 098 HERMAN RIDDER,10.11764
10X095,P.S. 095 SHEILA MENCHER,14.9798
11X089,P.S. 089 BRONX,16.66418
10X086,P.S. 086 KINGSBRIDGE HEIGHTS,15.54102
11X083,P.S. 083 DONALD HERTZ,15.26744
10X080,J.H.S. 080 THE MOSHOLU PARKWAY,12.17474
08X071,P.S. 071 ROSE E. SCALA,14.03484
10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,14.34105
10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,14.90905
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,13.86783
07X029,P.S./M.S. 029 MELROSE SCHOOL,12.16523
09X022,J.H.S. 022 JORDAN L. MOTT,9.442191
10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",15.04041
11X019,P.S. 019 JUDITH K. WEISS,16.16926
10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,17.04804
07X005,PS 5 PORT MORRIS,14.47828
10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,12.44614
31R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,15.02055
31R075,I.S. 075 FRANK D. PAULO,14.43105
31R072,I.S. 072 ROCCO LAURIE,14.7166
31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,15.06962
31R061,I.S. 061 WILLIAM A MORRIS,14.88841
31R051,I.S. 051 EDWIN MARKHAM,15.56847
31R049,I.S. 49 BERTA A. DREYFUS,14.23344
31R048,P.S. 048 WILLIAM G. WILCOX,16.08261
31R034,I.S. 034 TOTTENVILLE,17.12267
31R027,I.S. 027 ANNING S. PRALL,15.48653
31R024,I.S. 024 MYRA S. BARNES,13.92917
31R007,I.S. 007 ELIAS BERNSTEIN,16.32061
31R002,I.S. R002 GEORGE L. EGBERT,14.50022
25Q499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",18.73704
28Q358,M.S. 358,12.73684
29Q356,COMMUNITY VOICES MIDDLE SCHOOL,12.84222
29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL,13.86817
27Q333,GOLDIE MAPLE ACADEMY,14.12667
28Q332,REDWOOD MIDDLE SCHOOL,14.26867
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,11.67921
24Q311,CORONA ARTS AND SCIENCES ACADEMY,16.42434
30Q300,THE 30TH AVENUE SCHOOL (G&T CITYWIDE),18.24222
27Q297,HAWTREE CREEK MIDDLE SCHOOL,12.31765
29Q295,P.S./I.S. 295,16.01455
25Q294,BELL ACADEMY,15.04729
30Q111,P.S. 111 JACOB BLACKWELL,9.16657
30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,11.38663
29Q289,QUEENS UNITED MIDDLE SCHOOL,14.67532
28Q287,THE EMERSON SCHOOL,13.11106
27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,18.43148
29Q270,THE GORDON PARKS SCHOOL,16.52061
29Q268,PS/IS 268,14.38818
26Q266,P.S. / I.S. 266,16.26681
25Q250,I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL,14.50341
29Q238,I.S. 238 - SUSAN B. ANTHONY ACADEMY,17.58845
25Q237,I.S. 237,17.82408
30Q235,ACADEMY FOR NEW AMERICANS,12.5
27Q232,P.S. 232 LINDENWOOD,16.53109
30Q230,I.S. 230,16.2585
30Q227,I.S. 227 LOUIS ARMSTRONG,16.6972
27Q226,J.H.S. 226 VIRGIL I. GRISSOM,18.97378
25Q219,P.S. 219 PAUL KLAPPER,11.53625
28Q217,J.H.S. 217 ROBERT A. VAN WYCK,18.8394
26Q216,J.H.S. 216 GEORGE J. RYAN,21.19303
27Q210,J.H.S. 210 ELIZABETH BLACKWELL,17.14616
29Q208,P.S. / I.S. 208,14.67503
27Q207,P.S. 207 ROCKWOOD PARK,10.13384
30Q204,I.S. 204 OLIVER W. HOLMES,12.44133
27Q202,J.H.S. 202 ROBERT H. GODDARD,18.33253
25Q200,PS/MS 200 - THE POMONOK SCHOOL & STAR ACADEMY,14.14694
25Q194,J.H.S. 194 WILLIAM CARR,17.34902
29Q192,I.S. 192 THE LINDEN,15.77056
28Q190,J.H.S. 190 RUSSELL SAGE,16.99437
25Q189,J.H.S. 189 DANIEL CARTER BEARD,17.66118
25Q185,J.H.S. 185 EDWARD BLEEKER,16.76421
27Q183,P.S. 183 DR. RICHARD R. GREEN,12.98324
26Q178,P.S./ IS 178 HOLLISWOOD,16.66233
26Q172,IRWIN ALTMAN MIDDLE SCHOOL 172,17.79954
25Q164,P.S. 164 QUEENS VALLEY,14.11057
26Q158,M.S. 158 MARIE CURIE,17.68003
29Q147,PS/MS 147 RONALD MCNAIR,15.58788
27Q146,P.S. 146 HOWARD BEACH,14.97219
30Q145,I.S. 145 JOSEPH PULITZER,14.25555
30Q141,I.S. 141 THE STEINWAY,17.13636
29Q138,P.S./ M.S.138 SUNRISE,15.2494
27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES,17.44347
24Q128,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",17.16957
30Q127,P.S. 127 AEROSPACE SCIENCE MAGNE,14.22584
30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,16.18594
24Q125,I.S. 125 THOM J. MCCANN WOODSIDE,16.42713
27Q124,P.S. 124 OSMOND A CHURCH,17.42951
30Q122,P.S. 122 MAMIE FAY,18.95532
24Q119,I.S. 119 THE GLENDALE,17.88917
29Q116,PS/IS 116 WILLIAM C. HUGHLEY,13.70318
27Q114,P.S. / M.S. 114 BELLE HARBOR,13.69039
24Q113,P.S./I.S. 113 ANTHONY J. PRANZO,17.96528
29Q109,JEAN NUZZI INTERMEDIATE SCHOOL,17.17388
27Q105,P.S. 105 THE BAY SCHOOL,14.54988
24Q102,P.S. 102 BAYVIEW,15.18127
24Q093,I.S. 093 RIDGEWOOD,14.85821
24Q087,P.S. / I.S. 087 MIDDLE VILLAGE,11.85779
30Q084,P.S. 084 STEINWAY,11.06678
30Q078,P.S./I.S. 78Q,15.33599
24Q077,I.S. 077,13.30071
26Q074,J.H.S. 074 NATHANIEL HAWTHORNE,18.03861
24Q073,I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,15.90277
28Q072,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,12.82704
26Q067,J.H.S. 067 LOUIS PASTEUR,21.33184
24Q061,I.S. 061 LEONARDO DA VINCI,13.53149
29Q059,I.S. 059 SPRINGFIELD GARDENS,17.01059
27Q053,M.S. 053 BRIAN PICCOLO,12.93706
24Q049,P.S. 049 DOROTHY BONAWIT KOLE,17.59049
27Q047,P.S. 047 CHRIS GALAS,10.63637
27Q043,P.S. 043,15.38562
27Q042,P.S./M.S 042 R. VERNAM,12.63045
25Q025,I.S. 025 ADRIEN BLOCK,21.95182
30Q010,I.S. 010 HORACE GREELEY,14.30789
28Q008,J.H.S. 008 RICHARD S. GROSSLEY,11.44998
24Q005,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,16.68668
02M933,CITY KNOLL MIDDLE SCHOOL,11.21428
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,13.64275
03M862,MOTT HALL II,17.5328
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,13.32057
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,14.875
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,14.38216
05M514,NEW DESIGN MIDDLE SCHOOL,9.683634
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",16.17021
03M421,WEST PREP ACADEMY,14.11422
05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,9.922415
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,17.96713
04M406,GLOBAL TECHNOLOGY PREPARATORY,14.4119
04M381,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL,7.172413
01M378,SCHOOL FOR GLOBAL LEADERS,11.7743
06M366,WASHINGTON HEIGHTS ACADEMY,18.36705
06M349,HARBOR HEIGHTS,12.45454
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,4.489074
01M345,"COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LANGUAGE-ARTS EDUCATION",7.389223
03M334,THE ANDERSON SCHOOL,21.16021
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,14.88803
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,9.528298
06M328,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,6.777777
06M326,M.S. 326 - WRITERS TODAY & LEADERS TOMORROW,7.993145
06M324,M.S. 324 - PATRIA MIRABAL,12.81261
06M322,MIDDLE SCHOOL 322,10.20177
06M319,M.S. 319 - MARIA TERESA,14.2771
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,16.15267
05M302,KAPPA IV,11.37964
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",10.31483
03M291,WEST END SECONDARY SCHOOL OF URBAN STUDIES,14.31578
02M289,I.S. 289,16.06448
06M278,PAULA HEDBAVNY SCHOOL,16.65573
02M276,BATTERY PARK CITY SCHOOL,14.62857
03M258,COMMUNITY ACTION SCHOOL - MS 258,12.4297
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,16.20696
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,14.22251
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,11.29825
03M245,M.S. M245 THE COMPUTER SCHOOL,16.33919
03M243,M.S. 243 CENTER SCHOOL,15.94707
02M225,ELLA BAKER SCHOOL,14.74222
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,12.69784
06M223,THE MOTT HALL SCHOOL,12.23255
06M218,I.S. 218 SALOME URENA,9.536118
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,17.07195
06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,12.09463
06M209,HAMILTON GRANGE MIDDLE SCHOOL,15.5238
04M206,P.S. 206 JOSE CELSO BARBOSA,7.09375
03M191,P.S. 191 AMSTERDAM,10.8385
01M188,P.S. 188 THE ISLAND SCHOOL,12.65919
06M187,P.S./I.S. 187 HUDSON CLIFFS,17.62104
01M184,P.S. 184M SHUANG WEN,15.126
03M180,P.S. 180 HUGO NEWMAN,12.97436
02M177,YORKVILLE EAST MIDDLE SCHOOL,12.20779
04M171,P.S. 171 PATRICK HENRY,16.23085
02M167,J.H.S. 167 ROBERT F. WAGNER,15.61726
03M165,P.S. 165 ROBERT E. SIMON,12.21953
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,12.53234
03M149,P.S. 149 SOJOURNER TRUTH,10.61736
