all/school_o.csv.DBN,all/school_o.csv.LOCATION NAME,all/school_o.csv.LOCATION CATEGORY,all/school_o.csv.ADMINISTRATIVE DISTRICT,all/school_o.csv.AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.ASIAN STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.BLACK STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.HISPANIC STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.WHITE STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.UNKNOWN STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.TOTAL STUDENTS With 2 or More Suspensions or Removals
20K609,Urban Assembly School for Criminal Justice,Secondary School,20.0,*,*,10,*,*,*,*,13
20K205,P.S. 205 Clarion,Elementary,20.0,*,*,*,*,*,*,*,*
17K533,School for Democracy and Leadership,Secondary School,17.0,*,*,47,*,*,*,*,52
14K196,P.S. 196 Ten Eyck,Elementary,14.0,*,*,*,*,*,*,*,*
03M859,Special Music School,K-12 all grades,3.0,*,*,*,*,*,*,*,*
02M543,New Design High School,High school,2.0,*,*,*,*,*,*,*,7
20K187,The Christa McAuliffe School\I.S. 187,Junior High-Intermediate-Middle,20.0,*,*,*,*,*,*,*,*
02M042,P.S. 042 Benjamin Altman,Elementary,2.0,*,*,*,*,*,*,*,*
19K557,Brooklyn Gardens Elementary School,Elementary,19.0,*,*,*,*,*,*,*,*
04M497,Central Park East I,Elementary,4.0,*,*,*,*,*,*,*,*
30Q069,P.S. 069 Jackson Heights,Elementary,30.0,*,*,*,*,*,*,*,*
08X107,P.S. 107,Elementary,8.0,*,*,*,*,*,*,*,*
06M192,P.S. 192 Jacob H. Schiff,Elementary,6.0,*,*,*,*,*,*,*,*
08X507,Stevenson Yabc,High school,8.0,*,*,*,*,*,*,*,*
08X293,Renaissance High School for Musical Theater & Tech,High school,8.0,*,*,*,*,*,*,*,15
10X903,T. Roosevelt Evening Hs M/W,Ungraded,10.0,*,*,*,*,*,*,*,*
30Q122,P.S. 122 Mamie Fay,K-8,30.0,*,*,*,*,*,*,*,*
22K611,Origins High School,High school,22.0,*,*,6,*,*,*,*,9
21K100,P.S. 100 The Coney Island School,Elementary,21.0,*,*,*,*,*,*,*,*
29Q295,P.S./I.S. 295,K-8,29.0,*,*,6,*,*,*,*,7
11X508,Bronxdale High School,High school,11.0,*,*,*,*,*,*,*,*
22K315,P.S. K315,Elementary,22.0,*,*,6,*,*,*,*,7
27Q202,J.H.S. 202 Robert H. Goddard,Junior High-Intermediate-Middle,27.0,*,*,*,6,*,*,*,11
10X081,P.S. 081 Robert J. Christen,Elementary,10.0,*,*,*,*,*,*,*,*
02M217,P.S./I.S. 217 Roosevelt Island,K-8,2.0,*,*,*,*,*,*,*,8
01M301,"Technology, Arts, and Sciences Studio",Junior High-Intermediate-Middle,1.0,*,*,*,*,*,*,*,*
23K401,Christopher Avenue Community School,Elementary,23.0,*,*,*,*,*,*,*,*
20K444,Home Schooling,Central-HQ-Citywide,20.0,*,*,*,*,*,*,*,*
09X457,Sheridan Academy for Young Leaders,Elementary,9.0,*,*,*,*,*,*,*,*
08X119,P.S. 119,Elementary,8.0,*,*,*,*,*,*,*,*
03M403,The Global Learning Collaborative,High school,3.0,*,*,*,*,*,*,*,*
14K016,P.S. 016 Leonard Dunkly,Elementary,14.0,*,*,*,*,*,*,*,*
04M155,P.S. 155 William Paca,Elementary,4.0,*,*,*,*,*,*,*,*
14K454,Green School: An Academy for Environmental Careers,High school,14.0,*,*,*,*,*,*,*,*
20K768,District 20 Pre-K Center,District Pre-K Center,20.0,*,*,*,*,*,*,*,*
16K498,Brooklyn High School for Law and Technology,High school,16.0,*,*,23,*,*,*,*,27
07X221,South Bronx Preparatory: A College Board School,Secondary School,7.0,*,*,*,*,*,*,*,*
13K020,P.S. 020 Clinton Hill,Elementary,13.0,*,*,*,*,*,*,*,*
06M293,City College Academy of the Arts,Secondary School,6.0,*,*,*,*,*,*,*,*
19K510,World Academy for Total Community Health High Scho,High school,19.0,*,*,*,*,*,*,*,6
25Q189,J.H.S. 189 Daniel Carter Beard,Junior High-Intermediate-Middle,25.0,*,*,*,*,*,*,*,*
29Q243,Institute for Health Professions at Cambria Height,High school,29.0,*,*,7,*,*,*,*,8
09X227,Bronx Collegiate Academy,High school,9.0,*,*,*,*,*,*,*,*
79M984,LYFE,Ungraded,79.0,*,*,*,*,*,*,*,*
15K051,M.S. 51 William Alexander,Junior High-Intermediate-Middle,15.0,*,*,*,*,*,*,*,*
06M004,P.S. 004 Duke Ellington,Elementary,6.0,*,*,*,*,*,*,*,*
19K224,P.S. 224 Hale A. Woodruff,Elementary,19.0,*,*,*,*,*,*,*,6
03M860,Frederick Douglass Academy II Secondary School,Secondary School,3.0,*,*,*,*,*,*,*,44
03M084,P.S. 084 Lillian Weber,Elementary,3.0,*,*,*,*,*,*,*,8
31R027,I.S. 027 Anning S. Prall,Junior High-Intermediate-Middle,31.0,*,*,23,12,*,*,*,40
13K256,P.S. 256 Benjamin Banneker,Elementary,13.0,*,*,*,*,*,*,*,*
08X337,The School for Inquiry and Social Justice,Junior High-Intermediate-Middle,8.0,*,*,*,*,*,*,*,18
12X463,Urban Scholars Community School,Elementary,12.0,*,*,*,*,*,*,*,*
29Q355,Collaborative Arts Middle School,Junior High-Intermediate-Middle,29.0,*,*,*,*,*,*,*,11
22K139,P.S. 139 Alexine A. Fenty,Elementary,22.0,*,*,13,*,*,*,*,17
10X382,"Elementary School for Math, Science, and Technolog",Elementary,10.0,*,*,*,*,*,*,*,*
28Q086,P.S. Q086,Elementary,28.0,*,*,*,*,*,*,*,*
19K639,Brooklyn Lab School,High school,19.0,*,*,6,*,*,*,*,11
19K661,Vista Academy,Junior High-Intermediate-Middle,19.0,*,*,*,7,*,*,*,9
28Q080,P.S. 80 The Thurgood Marshall Magnet School of Mul,Elementary,28.0,*,*,*,*,*,*,*,*
31R034,I.S. 034 Tottenville,Junior High-Intermediate-Middle,31.0,*,*,*,*,*,*,*,*
21K281,I.S. 281 Joseph B Cavallaro,Junior High-Intermediate-Middle,21.0,*,*,8,*,8,*,*,21
04M037,River East Elementary,Elementary,4.0,*,*,*,*,*,*,*,6
02M003,P.S. 003 Charrette School,Elementary,2.0,*,*,*,*,*,*,*,*
14K126,John Ericsson Middle School 126,Junior High-Intermediate-Middle,14.0,*,*,*,*,*,*,*,8
10X024,P.S. 024 Spuyten Duyvil,Elementary,10.0,*,*,*,*,*,*,*,*
28Q680,Queens Gateway to Health Sciences Secondary School,Secondary School,28.0,*,*,*,*,*,*,*,*
29Q156,P.S. 156 Laurelton,Elementary,29.0,*,*,*,*,*,*,*,*
75R037,P.S. R037,K-12 all grades,75.0,*,*,*,*,*,*,*,*
27Q323,Scholars' Academy,Secondary School,27.0,*,*,*,*,*,*,*,*
02M374,Gramercy Arts High School,High school,2.0,*,*,8,*,*,*,*,13
27Q146,P.S. 146 Howard Beach,K-8,27.0,*,*,*,*,*,*,*,*
17K138,P.S. 138 Brooklyn,K-8,17.0,*,*,*,*,*,*,*,7
10X374,Knowledge and Power Preparatory Academy Internatio,High school,10.0,*,*,*,*,*,*,*,*
27Q210,J.H.S. 210 Elizabeth Blackwell,Junior High-Intermediate-Middle,27.0,*,*,*,9,*,*,*,10
14K132,P.S. 132 The Conselyea School,Elementary,14.0,*,*,*,*,*,*,*,*
05M125,P.S. 125 Ralph Bunche,Elementary,5.0,*,*,*,*,*,*,*,*
01M292,Henry Street School for International Studies,Secondary School,1.0,*,*,*,*,*,*,*,*
06M467,High School for Law and Public Service,High school,6.0,*,*,*,*,*,*,*,9
11X083,P.S. 083 Donald Hertz,K-8,11.0,*,*,*,11,*,*,*,15
08X152,P.S. 152 Evergreen,Elementary,8.0,*,*,*,*,*,*,*,*
25Q460,Flushing High School,High school,25.0,*,*,*,7,*,*,*,13
03M165,P.S. 165 Robert E. Simon,K-8,3.0,*,*,*,10,*,*,*,14
15K448,Brooklyn Secondary School for Collaborative Studie,Secondary School,15.0,*,*,8,*,*,*,*,15
01M364,Earth School,Elementary,1.0,*,*,*,*,*,*,*,*
11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY,K-8,11.0,*,*,*,6,*,*,*,9
29Q498,Humanities & Arts Magnet High School,High school,29.0,*,*,11,*,*,*,*,13
22K361,P.S. 361 East Flatbush Early Childhood School,Early Childhood,22.0,*,*,*,*,*,*,*,*
30Q149,P.S. 149 Christa Mcauliffe,Elementary,30.0,*,*,*,*,*,*,*,*
15K295,P.S. 295,Elementary,15.0,*,*,*,*,*,*,*,*
25Q130,P.S. 130,Elementary,25.0,*,*,*,*,*,*,*,*
31R041,The Stephanie A. Vierno School,Elementary,31.0,*,*,*,*,*,*,*,*
10X363,Academy For Personal Leadership And Excellence,Junior High-Intermediate-Middle,10.0,*,*,*,6,*,*,*,8
75Q009,P.S. 009,K-8,75.0,*,*,*,*,*,*,*,*
12X273,Frederick Douglass Academy V. Middle School,Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,7
18K279,P.S. 279 Herman Schreiber,Elementary,18.0,*,*,*,*,*,*,*,*
03M415,Wadleigh Secondary School for the Performing & Vis,Secondary School,3.0,*,*,*,*,*,*,*,6
18K637,Academy for Conservation and the Environment,High school,18.0,*,*,*,*,*,*,*,*
12X444,Home Schooling,Central-HQ-Citywide,12.0,*,*,*,*,*,*,*,*
29Q327,Eagle Academy for Young Men III,Secondary School,29.0,*,*,*,*,*,*,*,9
10X033,P.S. 033 Timothy Dwight,Elementary,10.0,*,*,*,*,*,*,*,*
21K096,I.S. 096 Seth Low,Junior High-Intermediate-Middle,21.0,*,*,7,*,*,*,*,11
09X324,Bronx Early College Academy for Teaching & Learnin,Secondary School,9.0,*,*,14,17,*,*,*,32
31R032,P.S. 032 The Gifford School,Elementary,31.0,*,*,*,*,*,*,*,*
15K836,Magnet Sch For Early Childhood,Early Childhood,15.0,*,*,*,*,*,*,*,*
13K492,Academy of Arts and Letters,K-8,13.0,*,*,*,*,*,*,*,*
05M285,Harlem Renaissance High School,High school,5.0,*,*,*,*,*,*,*,*
01M378,School for Global Leaders,Junior High-Intermediate-Middle,1.0,*,*,*,*,*,*,*,*
26Q566,"Queens High School of Teaching, Liberal Arts and t",High school,26.0,*,*,28,*,*,*,*,36
09X232,I.S. 232,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,6
23K514,Frederick Douglass Academy VII High School,High school,23.0,*,*,*,*,*,*,*,*
06M098,P.S. 098 Shorac Kappock,Elementary,6.0,*,*,*,6,*,*,*,7
18K272,P.S. 272 Curtis Estabrook,Elementary,18.0,*,*,*,*,*,*,*,*
24Q089,P.S. 089 Elmhurst,Elementary,24.0,*,*,*,*,*,*,*,*
08X140,P.S. X140 The Eagle School,Elementary,8.0,*,*,*,*,*,*,*,*
20K229,P.S. 229 Dyker,K-8,20.0,*,*,*,*,*,*,*,*
28Q312,Jamaica Children's School,Elementary,28.0,*,*,*,*,*,*,*,*
30Q076,P.S. 076 William Hallet,Elementary,30.0,*,*,*,*,*,*,*,7
07X321,Crotona Academy High School,High school,7.0,*,*,*,*,*,*,*,*
14K050,J.H.S. 050 John D. Wells,Junior High-Intermediate-Middle,14.0,*,*,*,*,*,*,*,*
26Q415,Benjamin N. Cardozo High School,High school,26.0,*,*,34,10,*,*,*,49
75M094,P.S. M094,K-12 all grades,75.0,*,*,*,*,*,*,*,*
02M531,Repertory Company High School for Theatre Arts,High school,2.0,*,*,*,*,*,*,*,*
75M169,P.S. M169 - Robert F. Kennedy,K-12 all grades,75.0,*,*,*,*,*,*,*,*
16K308,P.S. 308 Clara Cardwell,K-8,16.0,*,*,9,*,*,*,*,10
22K014,J.H.S. 014 Shell Bank,Junior High-Intermediate-Middle,22.0,*,*,*,*,*,*,*,6
27Q362,Wave Preparatory Elementary School,Elementary,27.0,*,*,*,*,*,*,*,*
02M316,"Urban Assembly School of Business for Young Women,",High school,2.0,*,*,9,*,*,*,*,12
29Q195,P.S. 195 William Haberle,Elementary,29.0,*,*,*,*,*,*,*,*
07X065,P.S. 065 Mother Hale Academy,Elementary,7.0,*,*,*,*,*,*,*,*
24Q307,Pioneer Academy,Elementary,24.0,*,*,*,*,*,*,*,*
09X274,The New American Academy at Roberto Clemente State,Elementary,9.0,*,*,*,*,*,*,*,*
02M473,Washington Irving Yabc,High school,2.0,*,*,*,*,*,*,*,*
32K123,P.S. 123 Suydam,Elementary,32.0,*,*,*,*,*,*,*,*
20K164,P.S. 164 Caesar Rodney,Elementary,20.0,*,*,*,*,*,*,*,*
75X186,P186X Walter J. Damrosch School,K-12 all grades,75.0,*,*,*,*,*,*,*,*
21K212,P.S. 212 Lady Deborah Moody,Elementary,21.0,*,*,*,*,*,*,*,*
22K152,School of Science & Technology,Elementary,22.0,*,*,*,*,*,*,*,6
25Q409,District 25 PRE-K Center,District Pre-K Center,25.0,*,*,*,*,*,*,*,*
16K021,P.S. 021 Crispus Attucks,Elementary,16.0,*,*,*,*,*,*,*,*
29Q033,P.S. 033 Edward M. Funk,Elementary,29.0,*,*,*,*,*,*,*,*
22K109,P.S. 109,K-8,22.0,*,*,36,*,*,*,*,38
