all/school_o.csv.DBN,all/school_o.csv.LOCATION NAME,all/school_o.csv.LOCATION CATEGORY,all/school_o.csv.ADMINISTRATIVE DISTRICT,all/school_o.csv.AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.ASIAN STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.BLACK STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.HISPANIC STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.WHITE STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.UNKNOWN STUDENTS With 2 or More Suspensions or Removals,all/school_o.csv.TOTAL STUDENTS With 2 or More Suspensions or Removals
19K615,Transit Tech Career and Technical Education High S,High school,19.0,*,*,*,*,*,*,*,6
28Q620,Thomas A. Edison Career and Technical Education Hi,High school,28.0,*,*,9,*,*,*,*,15
18K366,The Science And Medicine Middle School,Junior High-Intermediate-Middle,18.0,*,*,*,*,*,*,*,22
32K106,P.S. 106 Edward Everett Hale,Elementary,32.0,*,*,*,*,*,*,*,*
06M153,P.S. 153 Adam Clayton Powell,Elementary,6.0,*,*,*,*,*,*,*,*
14K561,Williamsburg Preparatory School,High school,14.0,*,*,*,*,*,*,*,8
28Q139,P.S. 139 Rego Park,Elementary,28.0,*,*,*,*,*,*,*,*
04M406,Global Technology Preparatory,Junior High-Intermediate-Middle,4.0,*,*,*,*,*,*,*,*
01M509,Marta Valle High School,High school,1.0,*,*,9,*,*,*,*,12
30Q235,Academy for New Americans,Junior High-Intermediate-Middle,30.0,*,*,*,*,*,*,*,*
09X070,P.S. 070 Max Schoenfeld,Elementary,9.0,*,*,9,6,*,*,*,16
75M751,Manhattan School for Career Development,High school,75.0,*,*,*,*,*,*,*,*
27Q318,Waterside School For Leadership,Junior High-Intermediate-Middle,27.0,*,*,8,*,*,*,*,10
04M495,Park East High School,High school,4.0,*,*,*,*,*,*,*,*
02M033,P.S. 033 Chelsea Prep,Elementary,2.0,*,*,*,*,*,*,*,*
13K527,Urban Assembly Institute of Math and Science for Y,Secondary School,13.0,*,*,*,*,*,*,*,6
20K170,Ralph A. Fabrizio School,Elementary,20.0,*,*,*,*,*,*,*,*
27Q444,Home Schooling Dist 27q,Central-HQ-Citywide,27.0,*,*,*,*,*,*,*,*
09X297,Morris Academy for Collaborative Studies,High school,9.0,*,*,*,*,*,*,*,6
29Q138,P.S./M.S. 138 Sunrise,K-8,29.0,*,*,*,*,*,*,*,*
75Q811,P.S. Q811,K-12 all grades,75.0,*,*,*,*,*,*,*,*
12X278,Peace and Diversity Academy,High school,12.0,*,*,*,*,*,*,*,*
31R054,P.S. 054 Charles W. Leng,Elementary,31.0,*,*,*,*,*,*,*,*
11X418,Bronx High School for the Visual Arts,High school,11.0,*,*,*,*,*,*,*,*
29Q289,Queens United Middle School,Junior High-Intermediate-Middle,29.0,*,*,*,*,*,*,*,*
24Q102,P.S. 102 Bayview,K-8,24.0,*,*,*,*,*,*,*,6
22K444,Home Schooling,Central-HQ-Citywide,22.0,*,*,*,*,*,*,*,*
28Q101,P.S. 101 School in the Gardens,Elementary,28.0,*,*,*,*,*,*,*,*
28Q349,The Queens School for Leadership and Excellence,Elementary,28.0,*,*,*,*,*,*,*,*
25Q525,Townsend Harris High School,High school,25.0,*,*,*,*,*,*,*,*
75Q277,The Riverview School,K-12 all grades,75.0,*,*,*,*,*,*,*,*
14K586,Lyons Community School,Secondary School,14.0,*,*,*,*,*,*,*,*
03M076,P.S. 076 A. Philip Randolph,K-8,3.0,*,*,14,*,*,*,*,16
18K276,P.S. 276 Louis Marshall,Elementary,18.0,*,*,*,*,*,*,*,*
23K522,Mott Hall IV,Junior High-Intermediate-Middle,23.0,*,*,*,*,*,*,*,*
15K124,P.S. 124 Silas B. Dutcher,Elementary,15.0,*,*,*,*,*,*,*,*
29Q095,P.S. 095 Eastwood,Elementary,29.0,*,*,*,*,*,*,*,*
16K455,Boys and Girls High School,High school,16.0,*,*,*,*,*,*,*,*
17K354,The School of Integrated Learning,Junior High-Intermediate-Middle,17.0,*,*,*,*,*,*,*,*
02M893,Jacob Riis School,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,*
31R048,P.S. 048 William G. Wilcox,K-8,31.0,*,*,*,*,*,*,*,*
10X032,P.S. 032 Belmont,Elementary,10.0,*,*,*,*,*,*,*,*
22K198,P.S. 198 Brooklyn,Elementary,22.0,*,*,*,*,*,*,*,*
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",Secondary School,24.0,*,*,*,*,*,*,*,*
75K231,P.S. K231,K-8,75.0,*,*,*,*,*,*,*,*
02M412,N.Y.C. Lab School for Collaborative Studies,High school,2.0,*,*,*,*,*,*,*,*
10X535,Rose Hill Pre-K Center,District Pre-K Center,10.0,*,*,*,*,*,*,*,*
30Q230,I.S. 230,Junior High-Intermediate-Middle,30.0,*,*,*,*,*,*,*,*
22K240,Andries Hudde,Junior High-Intermediate-Middle,22.0,*,*,14,*,*,*,*,17
02M131,M.S. 131,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,6
02M655,Life Sciences Secondary School,Secondary School,2.0,*,*,*,*,*,*,*,34
08X349,Bronx River High School,High school,8.0,*,*,11,20,*,*,*,34
75M226,P.S. M226,K-12 all grades,75.0,*,*,*,*,*,*,*,*
04M050,P.S. 050 Vito Marcantonio,K-8,4.0,*,*,*,*,*,*,*,6
32K299,P.S. 299 Thomas Warren Field,Elementary,32.0,*,*,*,*,*,*,*,*
21K840,Brooklyn's Daily Discovery Pre-K Center,District Pre-K Center,21.0,*,*,*,*,*,*,*,*
30Q127,P.S. 127 Aerospace Science Magnet School,K-8,30.0,*,*,7,*,*,*,*,8
01M137,P.S. 137 John L. Bernstein,Elementary,1.0,*,*,*,*,*,*,*,*
19K504,High School for Civil Rights,High school,19.0,*,*,6,*,*,*,*,7
31R004,P.S. 004 Maurice Wollin,Elementary,31.0,*,*,*,*,*,*,*,*
20K247,P.S. 247 Brooklyn,Elementary,20.0,*,*,*,*,*,*,*,*
09X215,Kappa,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,6
05M286,I.S. M286 Renaissance Leadership Academy,Junior High-Intermediate-Middle,5.0,*,*,*,*,*,*,*,*
26Q213,P.S. 213 The Carl Ullman School,Elementary,26.0,*,*,*,*,*,*,*,*
17K122,Pathways in Technology Early College High School (,High school,17.0,*,*,*,*,*,*,*,*
30Q011,P.S. 011 Kathryn Phelan,Elementary,30.0,*,*,*,*,*,*,*,*
16K584,M.S. 584,Junior High-Intermediate-Middle,16.0,*,*,*,*,*,*,*,*
32K151,P.S. 151 Lyndon B. Johnson,Elementary,32.0,*,*,*,*,*,*,*,*
11X249,Bronx Health Sciences High School,High school,11.0,*,*,*,*,*,*,*,*
07X343,Academy of Applied Mathematics and Technology,Junior High-Intermediate-Middle,7.0,*,*,8,*,*,*,*,10
29Q248,Queens Preparatory Academy,High school,29.0,*,*,24,*,*,*,*,28
05M469,Choir Academy of Harlem,Secondary School,5.0,*,*,*,*,*,*,*,*
26Q178,P.S./ IS 178 Holliswood,K-8,26.0,*,*,*,*,*,*,*,*
28Q325,Hillside Arts & Letters Academy,High school,28.0,*,*,*,*,*,*,*,*
02M630,Art and Design High School,High school,2.0,*,*,*,*,*,*,*,7
09X313,I.S. 313 School of Leadership Development,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,*
11X444,Home Schooling,Central-HQ-Citywide,11.0,*,*,*,*,*,*,*,*
75X188,P.S. X188,K-12 all grades,75.0,*,*,*,*,*,*,*,*
32K116,P.S. 116 Elizabeth L Farrell,Elementary,32.0,*,*,*,*,*,*,*,*
10X904,T. Roosevelt Evening Hs T/R,Ungraded,10.0,*,*,*,*,*,*,*,*
17K532,New Bridges Elementary,Elementary,17.0,*,*,*,*,*,*,*,*
09X443,The Family School,Elementary,9.0,*,*,*,*,*,*,*,*
31R022,P.S. 022 Graniteville,Elementary,31.0,*,*,10,7,*,*,*,18
23K165,P.S. 165 Ida Posner,K-8,23.0,*,*,*,*,*,*,*,6
02M600,The High School of Fashion Industries,High school,2.0,*,*,*,*,*,*,*,*
75K403,Hospital Schools - Brooklyn,Ungraded,75.0,*,*,*,*,*,*,*,*
08X348,Schuylerville Preparatory High School,High school,8.0,*,*,*,*,*,*,*,*
18K268,P.S. 268 Emma Lazarus,Elementary,18.0,*,*,*,*,*,*,*,*
31R901,New Dorp Evening Hs M/W,Ungraded,31.0,*,*,*,*,*,*,*,*
11X567,Linden Tree Elementary School,Elementary,11.0,*,*,*,*,*,*,*,*
27Q232,P.S. 232 Lindenwood,K-8,27.0,*,*,*,*,*,*,*,*
09X252,Mott Hall Bronx High School,High school,9.0,*,*,*,11,*,*,*,16
27Q065,P.S. 65 - The Raymond York Elementary School,Elementary,27.0,*,*,*,*,*,*,*,*
03M402,The Urban Assembly School for Green Careers,High school,3.0,*,*,*,*,*,*,*,41
22K255,P.S. 255 Barbara Reing School,Elementary,22.0,*,*,*,*,*,*,*,*
24Q143,P.S. 143 Louis Armstrong,Elementary,24.0,*,*,*,*,*,*,*,*
11X108,P.S. 108 Philip J. Abinanti,Elementary,11.0,*,*,*,*,*,*,*,*
02M575,Manhattan Comprehensive Night and Day High School,High school,2.0,*,*,*,*,*,*,*,*
13K575,Bedford Stuyvesant Preparatory High School,High school,13.0,*,*,*,*,*,*,*,*
19K013,P.S. 013 Roberto Clemente,Elementary,19.0,*,*,*,*,*,*,*,*
03M494,High School of Arts and Technology,High school,3.0,*,*,*,*,*,*,*,31
16K628,Brooklyn Brownstone School,Elementary,16.0,*,*,*,*,*,*,*,*
06M128,P.S. 128 Audubon,Elementary,6.0,*,*,*,*,*,*,*,10
06M223,The Mott Hall School,Junior High-Intermediate-Middle,6.0,*,*,*,*,*,*,*,*
