DBN,sch_type,location,enrollment,borough,principal,studentsurvey,rr_s,rr_t,rr_p,N_s,N_t,N_p,nr_s,nr_t,nr_p,saf_p_10,com_p_10,eng_p_10,aca_p_10,saf_t_10,com_t_10,eng_t_10,aca_t_10,saf_s_10,com_s_10,eng_s_10,aca_s_10,saf_tot_10,com_tot_10,eng_tot_10,aca_tot_10,p_q2i,p_q7a,p_q7b,p_q7c,p_q7d,p_q8a,p_q8b,p_q8c,p_q8d,p_q8e,p_q8f,p_q2b,p_q2d,p_q2f,p_q2g,p_q2h,p_q3a,p_q3b,p_q4b,p_q4c,p_q11c,p_q2a,p_q2c,p_q2e,p_q3c,p_q6,p_q11d,p_q11e,p_q5,p_q4a,p_q4d,p_q4e,p_q11a,p_q11b,p_q11f,p_q1,p_q3d,p_q9,p_q10,p_q12aa,p_q12ab,p_q12ac,p_q12ad,p_q12ba,p_q12bb,p_q12bc,p_q12bd,p_q1_1,p_q1_2,p_q1_3,p_q1_4,p_q1_5,p_q1_6,p_q1_7,p_q1_8,p_q1_9,p_q1_10,p_q1_11,p_q1_12,p_q1_13,p_q1_14,p_q2a_1,p_q2a_2,p_q2a_3,p_q2a_4,p_q2a_5,p_q2b_1,p_q2b_2,p_q2b_3,p_q2b_4,p_q2b_5,p_q2c_1,p_q2c_2,p_q2c_3,p_q2c_4,p_q2c_5,p_q2d_1,p_q2d_2,p_q2d_3,p_q2d_4,p_q2d_5,p_q2e_1,p_q2e_2,p_q2e_3,p_q2e_4,p_q2e_5,p_q2f_1,p_q2f_2,p_q2f_3,p_q2f_4,p_q2f_5,p_q2g_1,p_q2g_2,p_q2g_3,p_q2g_4,p_q2g_5,p_q2h_1,p_q2h_2,p_q2h_3,p_q2h_4,p_q2h_5,p_q2i_1,p_q2i_2,p_q2i_3,p_q2i_4,p_q2i_5,p_q3a_1,p_q3a_2,p_q3a_3,p_q3a_4,p_q3a_5,p_q3b_1,p_q3b_2,p_q3b_3,p_q3b_4,p_q3b_5,p_q3c_1,p_q3c_2,p_q3c_3,p_q3c_4,p_q3c_5,p_q3d_1,p_q3d_2,p_q3d_3,p_q3d_4,p_q3d_5,p_q4a_1,p_q4a_2,p_q4a_3,p_q4a_4,p_q4a_5,p_q4b_1,p_q4b_2,p_q4b_3,p_q4b_4,p_q4b_5,p_q4c_1,p_q4c_2,p_q4c_3,p_q4c_4,p_q4c_5,p_q4d_1,p_q4d_2,p_q4d_3,p_q4d_4,p_q4d_5,p_q4e_1,p_q4e_2,p_q4e_3,p_q4e_4,p_q4e_5,p_q5a,p_q5b,p_q5c,p_q5d,p_q5e,p_q5f,p_q5g,p_q5h,p_q5i,p_q5j,p_q6_1,p_q6_2,p_q6_3,p_q6_4,p_q6_5,p_q7a_1,p_q7a_2,p_q7a_3,p_q7a_4,p_q7a_5,p_q7b_1,p_q7b_2,p_q7b_3,p_q7b_4,p_q7b_5,p_q7c_1,p_q7c_2,p_q7c_3,p_q7c_4,p_q7c_5,p_q7d_1,p_q7d_2,p_q7d_3,p_q7d_4,p_q7d_5,p_q8a_1,p_q8a_2,p_q8a_3,p_q8a_4,p_q8a_5,p_q8b_1,p_q8b_2,p_q8b_3,p_q8b_4,p_q8b_5,p_q8c_1,p_q8c_2,p_q8c_3,p_q8c_4,p_q8c_5,p_q8d_1,p_q8d_2,p_q8d_3,p_q8d_4,p_q8d_5,p_q8e_1,p_q8e_2,p_q8e_3,p_q8e_4,p_q8e_5,p_q8f_1,p_q8f_2,p_q8f_3,p_q8f_4,p_q8f_5,p_q9_1,p_q9_2,p_q9_3,p_q9_4,p_q9_5,p_q9_6,p_q9_7,p_q9_8,p_q9_9,p_q9_10,p_q10a,p_q10b,p_q10c,p_q10d,p_q10e,p_q10f,p_q10g,p_q10h,p_q10i,p_q10j,p_q10k,p_q10l,p_q11a_1,p_q11a_2,p_q11a_3,p_q11a_4,p_q11b_1,p_q11b_2,p_q11b_3,p_q11b_4,p_q11c_1,p_q11c_2,p_q11c_3,p_q11c_4,p_q11d_1,p_q11d_2,p_q11d_3,p_q11d_4,p_q11e_1,p_q11e_2,p_q11e_3,p_q11e_4,p_q11f_1,p_q11f_2,p_q11f_3,p_q11f_4,p_q12aa_1,p_q12aa_2,p_q12aa_3,p_q12aa_4,p_q12aa_5,p_q12ab_1
06M005,Elementary School,P.S. 005 Ellen Lurie,785,MANHATTAN,Wanda Soto,No,,91,59,,61,386,,67,649,8.9,8.3,8.1,8.4,7.4,6.4,6.9,7.3,,,,,8.2,7.3,7.5,7.9,7.9,8.7,8.8,8.4,8.3,8.1,9.1,9.5,9.5,9.9,9.9,8,8.6,8.5,8.4,8,8,7.4,8.5,8.7,8.3,8.3,8.1,8,8.9,7.7,8.2,8.2,7.4,8.3,8.6,NA,8.7,8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,15,18,21,11,20,0,0,0,0,0,0,0,55,41,2,2,0,47,48,3,2,0,50,44,4,1,1,61,37,1,1,1,36,44,1,1,18,59,37,3,1,1,54,39,2,1,4,50,41,7,2,0,43,47,6,1,3,52,28,12,6,2,42,32,12,8,6,50,30,12,5,2,43,29,20,6,1,50,41,5,1,3,51,44,3,1,1,54,42,2,0,1,56,37,4,1,2,NA,NA,NA,NA,NA,41,14,17,10,10,33,7,53,16,31,39,43,8,2,8,55,42,1,1,1,57,41,1,1,1,51,40,2,1,6,50,44,1,1,4,45,21,4,4,26,65,10,1,3,21,67,6,0,2,25,67,6,1,1,26,79,1,0,0,19,75,2,0,0,23,3,12,23,8,3,8,1,27,14,1,55,17,13,68,6,17,58,15,7,60,5,3,65,32,3,1,50,42,7,1,55,41,3,1,53,43,3,1,52,44,3,1,60,36,4,0,29,47,9,4,11,28
06M008,Elementary School,P.S. 008 Luis Belliard,591,MANHATTAN,Rafaela Landin,No,,90,92,,44,433,,49,470,9.2,8.6,8.5,8.6,8.5,7.4,7.9,8.5,,,,,8.9,8,8.2,8.6,8.3,9.1,9.2,8.9,9,8.5,9.4,9.7,9.7,9.9,9.9,8.5,9,8.8,8.6,8.5,8,8.4,8.8,8.7,8.6,8.7,8.6,8.4,9.1,8.2,8.5,8.5,7.9,8.8,8.7,NA,8.9,8.2,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,14,17,15,21,20,0,0,0,0,0,0,0,65,32,1,1,0,59,38,2,1,0,62,35,3,1,0,71,27,1,0,0,49,36,2,1,13,67,30,2,1,0,62,33,2,1,2,60,33,4,1,1,54,36,4,1,4,50,30,11,6,3,59,28,7,4,3,52,33,8,5,3,48,32,13,6,2,61,34,2,1,1,58,39,1,1,1,59,36,4,0,1,56,39,3,1,2,NA,NA,NA,NA,NA,49,45,18,8,14,17,27,60,16,40,48,42,6,2,3,67,30,1,0,1,69,30,0,0,0,64,32,2,1,2,69,29,1,0,1,54,18,5,2,20,77,8,2,1,13,79,4,1,1,15,79,3,1,1,16,86,2,1,0,12,83,1,1,0,15,4,12,17,6,6,9,4,26,15,1,48,18,8,63,6,16,60,14,11,56,5,5,71,26,2,0,57,35,6,2,62,33,4,1,60,36,4,0,58,37,4,0,60,36,4,0,39,44,7,3,7,40
06M018,Elementary / Middle School,P.S. 018 Park Terrace,396,MANHATTAN,Aurea Porrata-Doria,Yes,84,87,67,120,27,198,143,31,295,9.1,8.4,8.4,8.5,8.2,7.6,8,8.6,7.2,6.5,7.5,7.8,8.2,7.5,8,8.3,8.5,9,9,8.7,8.8,8.3,9.3,9.8,9.6,9.8,9.8,8.4,9,8.6,8.6,8.5,7.7,7.9,8.6,8.5,8.4,8.8,8.6,8.2,8.6,8,8.5,8.4,8.3,8.5,8.6,NA,8.6,8.4,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,4,14,11,11,21,11,7,12,0,0,0,0,67,31,1,1,0,56,41,2,1,0,59,37,2,1,2,70,29,0,1,0,45,32,3,2,16,62,34,2,1,1,58,35,2,1,4,59,35,5,0,1,60,36,3,1,1,49,23,18,5,4,54,24,9,7,6,52,24,12,8,4,48,25,16,6,4,52,41,3,1,3,55,40,4,1,1,55,37,6,1,1,55,38,4,1,3,NA,NA,NA,NA,NA,48,55,15,12,28,44,14,47,25,44,45,41,8,2,4,63,34,1,0,2,66,29,3,0,2,62,32,5,1,2,62,28,2,1,8,49,24,7,2,19,77,9,3,1,9,83,4,1,1,13,76,8,1,0,16,79,2,0,1,19,78,2,0,1,19,3,12,20,14,11,6,2,19,11,1,38,20,6,72,11,34,71,37,23,67,6,5,63,33,4,1,55,42,3,0,56,39,4,0,58,39,4,0,56,41,3,0,61,35,3,0,30,50,8,3,8,32
06M028,Elementary School,P.S. 028 Wright Brothers,821,MANHATTAN,Elsa Nunez,No,,85,56,,64,374,,75,669,9,8.3,8.2,8.5,8.4,7.6,7.9,8.6,,,,,8.7,7.9,8.1,8.6,8.2,8.8,8.6,8.4,8.3,8.7,9.4,9.6,9.6,9.9,9.9,8.4,8.9,8.6,8.4,8.2,7.9,7.4,8.6,8.7,8.3,8.5,8.4,8.3,8.2,8.2,8.2,8.2,7.8,8.5,8.6,NA,8.8,8.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,16,17,19,20,6,0,0,0,0,0,0,0,59,39,2,1,0,54,44,1,1,1,54,42,3,0,1,68,30,1,0,1,43,38,2,1,17,61,35,3,1,1,55,37,3,1,3,55,35,7,1,1,48,39,6,0,6,50,29,14,5,3,47,29,6,9,9,47,26,12,6,9,46,25,19,8,2,56,35,3,1,5,51,44,3,1,2,56,39,3,1,2,54,40,2,0,4,NA,NA,NA,NA,NA,39,39,23,7,11,32,9,49,25,23,48,41,5,2,4,57,38,2,0,2,53,42,2,1,2,51,40,4,1,4,50,44,1,1,5,46,19,3,1,32,71,7,1,2,20,69,5,1,1,25,67,6,1,0,26,77,1,0,0,21,73,1,0,0,26,2,14,20,3,7,12,2,26,13,0,45,20,8,67,9,20,63,20,13,64,3,3,64,34,1,0,52,43,4,1,55,40,4,1,51,44,4,1,50,45,3,1,59,39,2,0,28,48,7,2,16,30
06M048,Elementary School,P.S. 048 P.O. Michael J. Buczek,579,MANHATTAN,Tracy Walsh,No,,85,72,,46,358,,54,499,9.1,8.3,8.4,8.7,7.8,6.3,6.9,7.5,,,,,8.5,7.3,7.6,8.1,8.2,8.9,9.1,8.6,8.6,8.4,9.3,9.8,9.6,9.9,9.9,8.2,8.8,8.5,8.3,8,8,7.5,8.8,8.8,8.4,8.7,8.3,8.2,9,7.9,8.5,8.5,8.3,8.7,8.6,NA,9.1,8.3,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,18,9,22,15,16,0,0,0,0,0,0,0,62,37,1,0,0,49,47,3,1,0,55,41,3,1,0,64,36,1,0,0,43,42,3,0,12,58,39,3,0,0,51,41,4,0,4,51,38,9,1,1,48,42,4,1,5,52,23,17,5,2,45,27,13,11,4,54,27,13,4,2,47,25,19,7,2,57,38,2,0,3,56,41,3,0,0,60,37,3,0,0,52,42,2,0,3,NA,NA,NA,NA,NA,62,29,28,39,9,41,10,51,12,20,41,45,9,1,4,60,38,2,0,0,66,32,1,0,0,53,41,2,1,3,59,36,2,0,3,51,15,6,3,25,75,6,3,2,15,75,3,1,0,21,71,5,2,1,22,81,1,0,0,18,77,2,0,0,20,2,14,31,6,4,6,2,23,12,0,43,25,5,69,5,10,54,13,8,56,2,3,74,24,2,0,56,40,4,1,57,37,5,1,59,37,4,0,58,39,3,1,65,33,2,0,34,47,6,2,11,30
06M052,Middle School,J.H.S. 052 Inwood,831,MANHATTAN,Sal Fernandez,Yes,94,93,45,772,71,349,821,76,771,9,8.5,8.4,8.5,7.7,7.4,8,8.2,6.8,5.8,6.8,7.4,7.8,7.2,7.7,8,8.3,8.7,8.7,8.6,8.6,8.4,9.3,9.7,9.4,9.8,9.7,8.5,8.9,8.6,8.6,8.2,7.6,8.3,8.5,8.6,8.6,8.7,8.6,8.3,9.1,8.5,8.3,8.3,7.4,8.6,8.5,NA,8.6,8.3,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,28,38,32,0,0,0,0,64,35,1,0,0,57,40,1,1,1,58,41,1,0,0,67,33,1,0,0,47,38,3,0,13,63,34,2,1,0,59,38,0,1,2,54,39,6,0,1,55,39,3,2,2,43,33,14,7,3,56,28,9,5,1,57,28,10,4,2,49,31,13,5,2,51,45,2,0,2,50,45,3,0,2,50,47,2,0,1,51,42,4,1,2,NA,NA,NA,NA,NA,41,31,19,11,11,19,25,43,18,25,52,42,3,1,2,54,42,2,1,2,53,44,2,0,1,53,41,2,1,2,59,37,1,0,3,50,21,4,2,22,74,8,2,2,14,76,7,0,0,17,70,10,1,1,18,75,4,0,0,21,68,6,0,0,26,6,13,10,8,5,4,17,22,15,0,56,27,4,48,8,17,72,31,7,47,3,3,61,37,1,1,55,40,5,1,60,37,3,0,56,38,5,1,54,43,3,1,58,38,3,1,36,46,8,1,9,33
06M098,Elementary School,P.S. 098 Shorac Kappock,643,MANHATTAN,Maritza Rodriguez,No,,33,56,,19,321,,57,578,9,8.1,8,8.3,6.4,4.7,4.9,5.5,,,,,7.7,6.4,6.5,6.9,7.9,8.6,8.7,8.3,8.5,8.2,9.5,9.7,9.6,9.9,9.8,8,8.7,8.3,8.3,7.8,7.4,7.8,8.2,8.5,8.1,8.2,8,8,8.8,7.4,7.9,8,8,8.1,8.4,NA,8.6,8,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,15,13,12,14,21,0,0,0,0,0,0,0,51,47,2,1,0,46,48,5,1,1,45,48,5,1,0,61,38,0,0,0,36,41,2,0,20,53,42,3,1,1,49,42,2,1,6,47,42,7,3,1,43,48,3,2,4,42,30,17,8,4,53,25,9,10,4,47,31,15,5,3,47,27,15,8,3,41,50,4,1,3,43,50,4,1,2,52,41,4,1,2,48,43,4,1,4,NA,NA,NA,NA,NA,47,45,11,5,12,29,12,54,15,36,36,45,11,4,5,49,48,1,1,0,52,46,2,0,0,44,46,4,1,5,53,41,0,0,6,43,24,4,3,25,74,7,2,1,17,76,5,0,0,18,71,7,1,0,20,83,2,0,0,15,81,4,0,0,14,4,19,22,10,9,5,2,23,7,1,45,18,3,66,5,14,51,21,10,54,4,2,63,34,2,1,49,44,6,2,49,45,4,1,46,47,6,1,46,48,6,0,54,40,5,1,30,46,7,3,14,27
06M115,Elementary School,P.S. 115 Alexander Humboldt,639,MANHATTAN,Angela Rodriguez,No,,71,53,,36,275,,51,519,9,8.4,8.3,8.6,7.3,6.2,7,7.4,,,,,8.2,7.3,7.7,8,7.9,8.8,8.8,8.4,8.5,8.5,9.5,9.6,9.6,10,9.9,8.2,8.7,8.5,8.4,8.2,8,8.4,8.6,8.8,8.4,8.5,8.3,8.2,9.1,8,8.4,8.4,7.9,8.5,8.7,NA,8.9,8.3,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,21,18,14,15,15,0,0,0,0,0,0,0,58,38,1,1,1,51,44,2,2,1,54,41,4,1,0,63,35,1,1,0,40,38,1,1,20,59,37,2,1,1,54,41,2,1,2,55,37,6,2,0,44,45,5,1,4,51,28,13,5,3,60,25,8,5,3,59,27,8,2,4,56,25,13,4,2,54,38,4,1,3,56,37,5,1,1,59,37,3,0,1,56,40,3,1,0,NA,NA,NA,NA,NA,54,45,21,14,10,34,12,49,12,42,45,40,8,2,5,58,39,2,1,1,60,37,3,0,1,51,38,4,2,5,57,37,2,1,3,45,18,0,4,32,76,5,1,1,16,74,4,1,1,20,70,3,0,2,25,81,1,0,0,19,75,2,0,0,24,4,13,20,8,5,11,5,19,14,1,44,20,6,63,4,16,52,20,11,60,3,3,69,28,2,1,55,39,4,1,56,40,3,1,57,39,3,0,55,43,2,0,60,37,3,1,30,49,7,4,10,27
06M128,Elementary School,P.S. 128 Audubon,704,MANHATTAN,Rosa Argelia Arredondo,No,,45,31,,30,178,,66,580,8.7,7.7,7.7,7.8,8,7.1,7.6,7.9,,,,,8.4,7.4,7.7,7.9,7.5,8.5,8.1,8.1,8.2,8.4,9,9.4,9.2,9.8,9.8,7.4,8.4,8.1,7.9,7.3,6.9,7.5,8,8.3,7.3,7.8,7.8,7.5,8.7,7.2,7.5,7.4,8,7.7,8,NA,8.2,7.5,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,17,16,16,18,16,13,1,0,0,0,0,0,0,45,45,7,2,0,40,47,8,5,0,45,46,5,2,1,56,41,2,1,0,23,44,1,2,30,51,44,4,2,0,43,43,6,2,7,39,46,10,4,1,36,51,7,2,3,36,27,19,14,4,47,27,7,16,3,53,25,10,7,5,44,22,19,9,5,39,46,8,4,4,42,47,5,3,3,48,45,2,3,2,43,46,6,3,2,NA,NA,NA,NA,NA,40,42,32,7,8,31,15,55,18,44,30,51,9,6,4,50,47,1,2,1,45,45,6,2,2,41,50,2,2,5,49,47,0,1,3,51,14,4,5,26,70,8,4,3,16,74,4,1,2,19,67,5,1,4,23,76,2,0,1,22,73,2,0,1,24,4,6,24,5,3,6,8,25,17,1,52,20,4,72,6,24,60,21,9,70,6,3,56,38,4,2,39,51,7,4,38,49,8,5,39,51,7,4,37,52,7,4,45,45,7,3,18,43,10,6,23,20
06M132,Elementary School,P.S. 132 Juan Pablo Duarte,786,MANHATTAN,Xiomara Nova,No,,100,70,,67,446,,66,633,8.9,8.1,8.1,8.2,6.8,6,6.2,6.6,,,,,7.8,7.1,7.1,7.4,7.9,8.6,8.2,8.3,8.2,8.3,9.2,9.7,9.5,9.8,9.8,8,8.6,8.3,8.3,8.1,7.7,7.1,8.4,8.4,8.1,8.2,8.1,8,8.8,7.6,8.1,8,7.6,8.3,8.2,NA,8.5,7.9,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,20,13,14,19,17,0,0,0,0,0,0,0,53,44,3,1,0,48,45,5,1,0,50,45,3,1,0,58,40,1,0,0,36,44,2,1,17,53,42,4,1,0,53,43,1,1,2,51,42,5,1,1,42,49,3,1,5,44,32,13,6,3,41,29,14,7,10,46,33,10,8,3,44,28,17,8,2,46,47,3,2,3,49,45,4,1,1,49,45,4,1,0,48,43,4,3,2,NA,NA,NA,NA,NA,35,42,13,7,13,37,11,36,14,21,35,49,10,2,4,50,46,2,1,1,43,47,6,0,3,43,50,5,1,2,48,47,2,0,3,47,20,5,3,24,67,9,2,2,20,75,3,0,1,21,75,4,1,2,17,81,1,0,1,17,77,2,1,1,20,9,12,25,5,3,9,4,20,13,0,45,23,7,66,9,15,52,10,5,52,2,2,60,35,4,1,47,43,8,2,48,48,3,1,49,46,4,1,45,51,4,1,54,39,5,1,25,52,9,3,10,28
06M143,Middle School,J.H.S. 143 Eleanor Roosevelt,743,MANHATTAN,Ourania Pappas,Yes,99,94,97,729,59,670,735,63,689,8.2,7.8,7.5,7.8,7.7,7.9,7.8,8.1,6.7,5.9,6.8,7.6,7.5,7.2,7.4,7.8,7.5,7.9,7.7,7.7,7.9,6.8,8.7,9.2,8.6,9.5,8.7,7.6,8.4,8.2,8,7.4,7,7.1,8,8.1,7.7,7.9,7.7,7.4,7.9,7.5,7.5,7.5,6.5,7.9,8,NA,7.8,7.3,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,32,32,35,0,0,0,0,40,56,3,1,0,35,59,5,1,0,39,54,5,1,1,57,41,2,1,0,28,50,8,1,14,50,46,3,1,0,48,45,4,2,1,39,45,12,2,1,38,48,8,2,4,36,31,17,7,9,40,29,15,10,6,36,32,14,8,10,29,30,26,10,5,36,53,5,1,6,37,54,5,1,2,44,45,7,1,3,42,47,6,2,2,NA,NA,NA,NA,NA,22,33,18,5,6,9,4,45,13,34,33,50,10,3,4,37,52,6,2,2,34,52,8,2,3,36,50,8,2,5,40,50,4,1,6,31,27,10,9,23,62,15,5,3,16,64,9,2,2,23,57,14,4,4,21,66,5,2,1,27,49,10,3,3,35,5,12,10,9,5,8,4,25,19,3,45,40,7,38,19,12,56,11,5,47,3,4,42,52,5,1,34,54,11,2,40,52,7,1,37,52,10,1,36,55,8,1,42,49,8,1,24,49,11,1,15,20
06M152,Elementary School,P.S. 152 Dyckman Valley,790,MANHATTAN,Julia Pietri,No,,82,25,,54,172,,66,701,8.8,7.7,7.7,7.9,6.7,4.8,5.4,5.8,,,,,7.7,6.3,6.5,6.9,7.5,8.4,8.2,8,8.2,7.9,9.3,9.5,9.5,10,9.9,7.3,8.3,8,7.9,7.6,7.1,7,8.1,8.4,7.7,7.9,7.7,7.5,7.9,7.5,7.6,7.5,7.8,7.8,8,NA,8.3,7.5,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,20,16,16,19,14,0,0,0,1,1,0,0,46,49,2,3,1,33,56,9,2,0,39,52,7,1,1,51,45,1,1,2,26,46,3,1,24,42,54,3,1,1,39,53,2,1,6,37,54,8,1,1,35,53,5,3,5,38,25,25,8,4,40,24,16,13,6,41,26,17,9,8,43,23,27,6,1,36,52,4,3,5,41,51,8,1,1,45,50,3,1,1,41,49,9,1,1,NA,NA,NA,NA,NA,49,24,45,7,10,10,17,61,23,38,36,46,9,5,4,46,47,2,1,4,45,49,5,2,0,39,52,5,2,2,48,45,2,2,5,38,18,7,3,34,67,6,4,1,22,67,5,1,1,25,66,7,1,1,25,77,1,0,0,23,70,1,0,0,29,4,11,20,7,10,7,7,23,11,0,50,20,10,69,4,19,56,15,8,61,3,2,56,40,2,2,38,50,10,2,41,51,8,1,40,49,9,2,35,59,5,2,45,48,4,3,17,46,11,7,19,20
06M153,Elementary School,P.S. 153 Adam Clayton Powell,957,MANHATTAN,Karen Bailey,No,,88,92,,67,742,,76,809,8.9,8.3,8.3,8.6,8.1,7.8,8,8.5,,,,,8.5,8,8.2,8.5,8.1,8.7,8.9,8.4,8.4,7.6,9,9.4,9.5,9.8,9.7,8.1,8.7,8.6,8.4,8.2,8,7.1,8.6,8.7,8.3,8.6,8.4,8.2,8.8,8.1,8.3,8.3,7.8,8.6,8.6,NA,8.9,8.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,17,18,13,16,18,11,0,0,0,0,0,0,0,60,38,1,1,0,49,45,4,1,1,55,42,2,1,1,63,35,1,0,0,41,38,2,1,18,61,36,2,1,0,54,40,2,0,4,53,39,6,1,1,48,42,4,2,3,51,29,13,6,3,40,31,12,6,11,47,33,11,4,4,48,30,14,5,4,54,39,2,0,4,53,41,3,1,2,56,39,3,0,2,54,41,2,1,2,NA,NA,NA,NA,NA,45,42,28,21,10,34,9,40,15,17,44,44,5,2,5,56,38,3,1,2,62,36,1,0,1,51,41,4,1,4,55,37,2,1,5,37,25,6,5,28,65,11,3,3,19,68,6,1,2,23,69,7,1,1,22,78,2,1,0,19,73,3,1,1,23,7,12,26,7,7,10,3,17,10,1,52,29,7,63,10,11,50,11,10,50,4,3,72,25,1,1,56,37,6,1,55,39,4,1,57,38,5,0,55,41,4,0,62,34,3,1,30,39,11,6,15,28
06M173,Elementary School,P.S. 173,654,MANHATTAN,Dawn Boursiquot,No,,53,71,,33,396,,62,555,8.8,7.7,7.7,8,7,4.9,5.5,6.3,,,,,7.9,6.3,6.6,7.1,7.5,8.4,8.4,8,8.2,7.7,9,9.7,9.5,9.9,9.9,7.9,8.4,7.9,7.9,7.4,7.3,5.9,7.9,8.2,8,8,7.9,7.7,7.8,6.8,7.8,7.6,7.9,8,8,NA,8.5,7.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,14,16,14,15,16,16,1,0,0,0,0,0,0,44,53,2,1,0,40,55,3,1,1,44,49,4,1,2,55,43,1,0,1,25,46,1,1,27,43,50,5,2,1,39,51,4,0,5,38,45,11,2,3,34,50,6,2,8,44,27,14,8,7,27,32,11,12,19,37,29,14,10,9,36,27,17,13,7,38,51,5,1,5,36,53,6,1,3,42,50,4,1,3,40,49,5,2,5,NA,NA,NA,NA,NA,42,42,9,4,7,32,13,44,15,12,22,49,13,4,11,44,51,2,1,2,44,53,2,1,1,35,54,3,1,6,48,46,1,1,4,35,28,6,4,27,68,11,3,2,15,75,4,1,1,20,68,6,1,1,24,77,1,0,0,21,73,1,0,1,25,7,16,27,8,5,11,3,14,9,1,48,26,6,55,7,10,58,11,7,53,3,4,60,36,3,1,38,51,10,2,47,46,6,1,41,51,7,1,37,55,7,2,47,46,5,1,20,49,13,2,16,24
06M178,Early Childhood School,Professor Juan Bosch Public School,227,MANHATTAN,Deirdre Budd,No,,100,100,,32,203,,32,204,9.4,8.9,8.9,8.9,9.1,7.9,8.3,8.7,,,,,9.3,8.4,8.6,8.8,8.9,9.3,9.5,9.1,8.8,9,9.7,9.8,9.8,9.9,9.9,8.9,9.2,8.9,8.8,8.7,9.4,8.2,9,8.9,8.7,9.1,8.9,8.7,9.6,8.5,8.8,8.8,8.9,9,9,NA,9.1,8.6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,30,38,1,0,0,0,0,0,0,0,0,0,74,26,0,0,0,68,32,1,0,0,68,30,2,0,0,76,24,1,0,0,55,34,0,0,11,70,28,2,0,0,59,30,2,0,10,63,33,4,0,0,67,31,0,0,2,77,20,2,0,0,48,40,6,4,2,50,41,7,2,0,52,32,13,3,1,60,38,0,0,2,62,37,1,0,0,60,38,2,0,1,63,34,1,0,2,NA,NA,NA,NA,NA,86,84,29,7,20,21,15,67,10,19,48,46,3,1,2,72,28,0,0,0,81,19,0,0,0,68,28,0,0,4,64,33,1,0,2,63,19,3,1,16,89,4,1,1,5,87,3,1,1,9,87,4,0,1,8,94,2,0,1,4,94,2,0,1,4,0,13,27,19,12,6,3,11,5,5,30,39,3,80,6,9,53,38,8,40,3,1,74,25,1,0,61,37,2,0,63,35,2,0,65,34,1,0,66,31,3,0,69,31,0,0,34,40,6,1,18,32
06M187,Elementary / Middle School,P.S. 187 Hudson Cliffs,755,MANHATTAN,Ms. Cynthia Chory,Yes,99,81,66,272,51,413,274,63,624,8.8,7.9,8,8.1,8,6.8,7.3,8.1,7.3,6.4,7.4,7.7,8.1,7,7.6,8,7.9,9.1,9,8.5,8.7,7.6,8.6,9.2,8.8,9.8,9.7,8.1,8.8,8.1,8.2,7.3,7.4,7.1,8.1,8,7.7,8.5,8.2,8,8.6,7.1,7.6,7.7,8.3,8.4,8.1,NA,8.4,7.8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,13,8,11,9,9,13,10,13,0,0,0,0,59,38,2,0,0,49,45,6,0,0,51,44,4,0,1,62,36,0,0,1,30,32,3,0,35,49,46,5,1,0,43,39,2,0,16,38,44,16,2,1,44,48,4,1,3,38,31,21,8,2,33,34,20,6,6,38,36,18,6,3,30,25,35,10,1,50,42,5,1,1,42,49,6,2,1,44,46,8,2,1,42,49,4,2,4,NA,NA,NA,NA,NA,57,59,22,5,3,31,12,58,18,23,29,48,17,3,3,65,33,0,0,0,67,31,1,1,0,58,32,5,1,5,60,31,2,1,7,33,38,5,3,21,58,24,3,2,13,61,12,1,1,24,55,19,2,1,23,73,3,1,0,22,74,2,1,0,22,4,12,17,12,13,2,1,31,8,0,34,58,8,66,19,9,43,13,8,48,6,4,57,39,3,1,42,51,6,1,40,53,6,1,40,50,8,1,41,51,6,2,47,47,5,2,17,34,12,7,29,19
