all/school_s2tr.DBN,all/school_s2tr.School Name,all/school_s2tr.School Pupil-Teacher Ratio
30Q112,P.S. 112 DUTCH KILLS,14.17105
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,20.22212
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,16.39393
24Q455,NEWTOWN HIGH SCHOOL,17.10203
08X304,P.S. 304 EARLY CHILDHOOD SCHOOL,15.57287
15K131,P.S. 131 BROOKLYN,13.98886
30Q280,P.S. 280,16.79763
20K160,P.S. 160 WILLIAM T. SAMPSON,14.83959
29Q251,P.S. 251 QUEENS,13.75757
09X022,J.H.S. 022 JORDAN L. MOTT,9.442191
05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,11.19191
19K328,P.S. 328 PHYLLIS WHEATLEY,12.29942
27Q051,P.S. 051,13.78205
13K011,P.S. 011 PURVIS J. BEHAN,17.52246
21K121,P.S. 121 NELSON A. ROCKEFELLER,7.717376
31R006,P.S. 6 CORPORAL ALLAN F. KIVLEHAN SCHOOL,14.73766
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,12.46219
25Q029,P.S. 029 QUEENS,15.68334
15K230,P.S. 230 DORIS L. COHEN,13.60912
31R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,11.86363
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,17.37043
17K352,EBBETS FIELD MIDDLE SCHOOL,8.318442
11X097,P.S. 097 BRONX,13.68085
29Q192,I.S. 192 THE LINDEN,15.77056
11X189,CORNERSTONE ACADEMY FOR SOCIAL ACTION,12.73637
08X305,PABLO NERUDA ACADEMY,10.44756
31R056,P.S. 56 THE LOUIS DESARIO SCHOOL,14.22602
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,12.20009
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,22.41176
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,12.32767
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,18.81818
04M381,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL,7.172413
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,11.9081
19K409,EAST NEW YORK FAMILY ACADEMY,14.35456
04M050,P.S. 050 VITO MARCANTONIO,11.66522
31R020,P.S. 020 PORT RICHMOND,12.58947
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,15.1939
02M392,MANHATTAN BUSINESS ACADEMY,13.78609
32K376,P.S. 376,15.00686
03M417,FRANK MCCOURT HIGH SCHOOL,14.37217
06M326,M.S. 326 - WRITERS TODAY & LEADERS TOMORROW,7.993145
02M397,SPRUCE STREET SCHOOL,14.0741
17K006,P.S. 006,14.65564
06M098,P.S. 098 SHORAC KAPPOCK,14.13721
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",19.37931
04M680,"HERITAGE SCHOOL, THE",13.29834
25Q021,P.S. 021 EDWARD HART,17.97661
07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL,12.49512
18K279,P.S. 279 HERMAN SCHREIBER,13.7086
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",19.00173
22K109,P.S. 109,14.72122
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,13.74274
13K044,P.S. 044 MARCUS GARVEY,14.24115
21K101,P.S. 101 THE VERRAZANO,14.24362
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",12.13258
28Q182,P.S. 182 SAMANTHA SMITH,14.82176
06M052,J.H.S. 052 INWOOD,14.96153
32K145,P.S. 145 ANDREW JACKSON,14.59539
29Q147,PS/MS 147 RONALD MCNAIR,15.58788
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,15.48637
19K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,14.35701
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,18.25348
01M064,P.S. 064 ROBERT SIMON,9.304845
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,14.70841
22K139,P.S. 139 ALEXINE A. FENTY,15.47296
28Q080,PS 80 THE THURGOOD MARSHALL MAGNET SCHOOL OF MULTIMEDIA AND COMMUNICATION,13.58093
27Q105,P.S. 105 THE BAY SCHOOL,14.54988
03M084,P.S. 084 LILLIAN WEBER,16.31172
14K582,M.S. 582,12.07716
06M173,P.S. 173,13.78835
01M110,P.S. 110 FLORENCE NIGHTINGALE,14.72584
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,12.24971
09X163,P.S. 163 ARTHUR A. SCHOMBURG,13.25196
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,17.25555
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,19.46868
08X537,BRONX ARENA HIGH SCHOOL,12.19891
30Q070,P.S. 070 QUEENS,16.10005
19K218,J.H.S. 218 JAMES P. SINNOTT,12.49619
02M655,LIFE SCIENCES SECONDARY SCHOOL,14.42356
23K518,KAPPA V,18.12928
10X059,P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,12.4773
12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,12.67928
09X128,MOTT HALL III,15.95454
08X069,P.S. 069 JOURNEY PREP SCHOOL,15.16586
02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,10.16821
02M225,ELLA BAKER SCHOOL,14.74222
13K670,BENJAMIN BANNEKER ACADEMY,21.78064
30Q148,P.S. 148 QUEENS,16.71834
09X329,DREAMYARD PREPARATORY SCHOOL,13.68823
27Q096,P.S. 096,15.02629
19K174,P.S. 174 DUMONT,9.25
02M002,P.S. 002 MEYER LONDON,11.70623
23K697,TEACHERS PREPARATORY HIGH SCHOOL,13.06747
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,15.55199
06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,12.09463
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,10.60917
05M286,I.S. M286 RENAISSANCE LEADERSHIP ACADEMY,16.25
24Q110,PS 110,15.152
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,10.61538
12X511,BRONX ENVISION ACADEMY,13.26357
24Q311,CORONA ARTS AND SCIENCES ACADEMY,16.42434
08X036,P.S. 036 UNIONPORT,13.62626
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,13.51533
14K250,P.S. 250 GEORGE H. LINDSAY,16.48417
24Q012,P.S. 012 JAMES B. COLGATE,16.07748
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,17.55882
24Q290,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,15.6216
10X009,P.S. 9 RYER AVENUE ELEMENTARY SCHOOL,14.46967
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,16.16595
23K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,11.50886
24Q049,P.S. 049 DOROTHY BONAWIT KOLE,17.59049
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",10.01081
27Q314,EPIC HIGH SCHOOL - SOUTH,15.8016
13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,12.2087
17K484,RONALD EDMONDS LEARNING CENTER II,16.875
18K219,P.S. 219 KENNEDY-KING,15.60561
09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,14.88308
31R024,I.S. 024 MYRA S. BARNES,13.92917
29Q118,P.S. 118 LORRAINE HANSBERRY,16.27508
28Q101,P.S. 101 SCHOOL IN THE GARDENS,16.74412
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,13.20356
30Q141,I.S. 141 THE STEINWAY,17.13636
10X032,P.S. 032 BELMONT,12.8989
28Q055,P.S. 055 MAURE,16.77358
02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,15.83157
30Q555,NEWCOMERS HIGH SCHOOL,15.42723
20K112,P.S. 112 LEFFERTS PARK,13.8091
21K212,P.S. 212 LADY DEBORAH MOODY,13.47234
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",15.78258
11X545,BRONX AEROSPACE HIGH SCHOOL,15.47153
08X125,J.H.S. 125 HENRY HUDSON,13.73156
31R053,P.S. 053 BAY TERRACE,16.57362
21K090,P.S. 90 EDNA COHEN SCHOOL,14.01358
21K288,P.S. 288 THE SHIRLEY TANYHILL,15.41139
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,18.82978
30Q361,P.S. 361,12.5677
29Q248,QUEENS PREPARATORY ACADEMY,15.50944
17K334,MIDDLE SCHOOL FOR ACADEMIC AND SOCIAL EXCELLENCE,5.502469
01M142,P.S. 142 AMALIA CASTRO,12.37712
08X075,P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,15.63049
23K327,P.S. 327 DR. ROSE B. ENGLISH,14.30561
15K024,P.S. 024,11.88979
31R055,P.S. 055 HENRY M. BOEHM,15.67006
02M116,P.S. 116 MARY LINDLEY MURRAY,14.41463
04M171,P.S. 171 PATRICK HENRY,16.23085
19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,12.8409
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,11.2039
12X341,ACCION ACADEMY,11.38452
20K229,P.S. 229 DYKER,18.29182
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,10.92817
04M497,CENTRAL PARK EAST I,13.85737
31R021,P.S. 21 MARGARET EMERY-ELM PARK,13.03766
05M194,P.S. 194 COUNTEE CULLEN,9.511767
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",14.02636
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,14.63636
29Q243,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,12.05218
14K016,P.S. 016 LEONARD DUNKLY,13.01639
25Q240,VERITAS ACADEMY,16.44164
08X424,THE HUNTS POINT SCHOOL,9.983172
22K206,P.S. 206 JOSEPH F LAMB,17.26635
28Q072,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,12.82704
30Q230,I.S. 230,16.2585
10X315,P.S. 315 LAB SCHOOL,14.5
26Q098,P.S. 098 THE DOUGLASTON SCHOOL,12.5229
02M276,BATTERY PARK CITY SCHOOL,14.62857
16K681,MADIBA PREP MIDDLE SCHOOL,8.751284
10X091,P.S. 091 BRONX,14.23112
10X209,P.S. 209,11.33024
21K239,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,18.35927
12X286,FANNIE LOU HAMER MIDDLE SCHOOL,13.66666
32K086,P.S. 086 THE IRVINGTON,14.29213
19K583,MULTICULTURAL HIGH SCHOOL,11.32251
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,12.35168
09X117,I.S. 117 JOSEPH H. WADE,12.7499
31R042,P.S. 042 ELTINGVILLE,18.27004
27Q104,P.S. 104 THE BAYS WATER,17.10721
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,19.04791
14K031,P.S. 031 SAMUEL F. DUPONT,15.8095
24Q019,P.S. 019 MARINO JEANTET,15.13769
20K186,P.S. 186 DR. IRVING A GLADSTONE,15.95656
20K102,P.S. 102 THE BAYVIEW,16.02887
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,18.3993
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,13.91146
21K209,P.S. 209 MARGARET MEAD,13.72342
20K192,P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,13.5045
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,15.66314
06M005,P.S. 005 ELLEN LURIE,13.12902
06M311,AMISTAD DUAL LANGUAGE SCHOOL,14.33044
29Q038,P.S. 038 ROSEDALE,14.73681
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,13.50423
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,21.391
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,11.64151
11X019,P.S. 019 JUDITH K. WEISS,16.16926
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,15.38743
20K105,P.S. 105 THE BLYTHEBOURNE,17.31081
28Q048,P.S. 048 WILLIAM WORDSWORTH,14.15301
27Q063,P.S. 063 OLD SOUTH,17.08101
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,15.25264
10X524,CROTONA INTERNATIONAL HIGH SCHOOL,12.89072
31R038,P.S. 038 GEORGE CROMWELL,13.64936
09X443,THE FAMILY SCHOOL,11.25711
31R031,P.S. 031 WILLIAM T. DAVIS,14.04685
25Q154,P.S. 154 QUEENS,16.63414
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,16.15267
17K138,P.S. 138 BROOKLYN,15.23392
12X480,BRONX REGIONAL HIGH SCHOOL,19.2979
08X014,P.S. X014 SENATOR JOHN CALANDRA,14.41301
22K217,P.S. 217 COLONEL DAVID MARCUS SCHOOL,15.46369
16K005,P.S. 005 DR. RONALD MCNAIR,13.94681
03M165,P.S. 165 ROBERT E. SIMON,12.21953
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,14.92857
22K203,P.S. 203 FLOYD BENNETT SCHOOL,15.79551
09X011,P.S. 011 HIGHBRIDGE,13.06261
04M372,ESPERANZA PREPARATORY ACADEMY,10.11679
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,16.26653
28Q220,P.S. 220 EDWARD MANDEL,15.59762
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,12.98162
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",10.32976
