all/school_esl.DBN,all/school_esl.Grade,all/school_esl.Year,all/school_esl.Category,all/school_esl.Number Tested,all/school_esl.Mean Scale Score,all/school_esl.Level 1 #,all/school_esl.Level 1 %,all/school_esl.Level 2 #,all/school_esl.Level 2 %,all/school_esl.Level 3 #,all/school_esl.Level 3 %,all/school_esl.Level 4 #,all/school_esl.Level 4 %,all/school_esl.Level 3+4 #,all/school_esl.Level 3+4 %
75K231,6,2011,All Students,2,,,,,,,,,,,
02M006,5,2007,All Students,125,698.0,1.0,0.8,13.0,10.4,81.0,64.8,30.0,24.0,111.0,88.8
31R050,5,2010,All Students,106,687.0,12.0,11.3,24.0,22.6,42.0,39.6,28.0,26.4,70.0,66.0
02M011,All Grades,2010,All Students,226,,11.0,4.9,60.0,26.5,102.0,45.1,53.0,23.5,155.0,68.6
12X212,8,2009,All Students,89,647.0,4.0,4.5,48.0,53.9,35.0,39.3,2.0,2.2,37.0,41.6
30Q234,3,2010,All Students,109,676.0,3.0,2.8,24.0,22.0,59.0,54.1,23.0,21.1,82.0,75.2
01M184,All Grades,2008,All Students,299,,3.0,1.0,23.0,7.7,232.0,77.6,41.0,13.7,273.0,91.3
21K098,8,2007,All Students,297,679.0,1.0,0.3,50.0,16.8,207.0,69.7,39.0,13.1,246.0,82.8
31R051,7,2011,All Students,282,659.0,29.0,10.3,164.0,58.2,86.0,30.5,3.0,1.1,89.0,31.6
04M007,8,2010,All Students,56,649.0,6.0,10.7,28.0,50.0,21.0,37.5,1.0,1.8,22.0,39.3
21K097,All Grades,2010,All Students,385,,28.0,7.3,124.0,32.2,181.0,47.0,52.0,13.5,233.0,60.5
17K246,7,2006,All Students,328,630.0,46.0,14.0,180.0,54.9,99.0,30.2,3.0,0.9,102.0,31.1
29Q231,7,2006,All Students,454,641.0,39.0,8.6,227.0,50.0,181.0,39.9,7.0,1.5,188.0,41.4
12X318,7,2011,All Students,106,652.0,26.0,24.5,58.0,54.7,22.0,20.8,0.0,0.0,22.0,20.8
26Q074,7,2011,All Students,305,675.0,12.0,3.9,63.0,20.7,200.0,65.6,30.0,9.8,230.0,75.4
31R041,3,2010,All Students,100,668.0,8.0,8.0,30.0,30.0,44.0,44.0,18.0,18.0,62.0,62.0
05M194,4,2010,All Students,49,653.0,9.0,18.4,28.0,57.1,12.0,24.5,0.0,0.0,12.0,24.5
02M408,8,2008,All Students,28,691.0,0.0,0.0,3.0,10.7,20.0,71.4,5.0,17.9,25.0,89.3
03M334,5,2011,All Students,56,696.0,0.0,0.0,0.0,0.0,30.0,53.6,26.0,46.4,56.0,100.0
02M111,3,2011,All Students,61,659.0,8.0,13.1,29.0,47.5,24.0,39.3,0.0,0.0,24.0,39.3
04M964,All Grades,2010,All Students,76,,13.0,17.1,29.0,38.2,27.0,35.5,7.0,9.2,34.0,44.7
19K159,3,2008,All Students,157,656.0,14.0,8.9,57.0,36.3,77.0,49.0,9.0,5.7,86.0,54.8
31R026,All Grades,2011,All Students,78,670.0,6.0,7.7,23.0,29.5,49.0,62.8,0.0,0.0,49.0,62.8
10X246,4,2010,All Students,124,651.0,31.0,25.0,70.0,56.5,21.0,16.9,2.0,1.6,23.0,18.5
22K236,All Grades,2011,All Students,305,679.0,7.0,2.3,90.0,29.5,162.0,53.1,46.0,15.1,208.0,68.2
31R075,6,2011,All Students,430,664.0,29.0,6.7,137.0,31.9,250.0,58.1,14.0,3.3,264.0,61.4
01M019,5,2009,All Students,41,673.0,0.0,0.0,7.0,17.1,30.0,73.2,4.0,9.8,34.0,82.9
27Q100,5,2010,All Students,185,674.0,17.0,9.2,75.0,40.5,62.0,33.5,31.0,16.8,93.0,50.3
32K162,8,2010,All Students,198,639.0,49.0,24.7,121.0,61.1,27.0,13.6,1.0,0.5,28.0,14.1
01M034,8,2009,All Students,65,648.0,1.0,1.5,34.0,52.3,30.0,46.2,0.0,0.0,30.0,46.2
03M087,5,2010,All Students,135,696.0,2.0,1.5,27.0,20.0,63.0,46.7,43.0,31.9,106.0,78.5
15K051,6,2011,All Students,325,678.0,10.0,3.1,18.0,5.5,236.0,72.6,61.0,18.8,297.0,91.4
23K178,5,2009,All Students,68,663.0,0.0,0.0,14.0,20.6,54.0,79.4,0.0,0.0,54.0,79.4
04M224,6,2007,All Students,82,663.0,4.0,4.9,16.0,19.5,58.0,70.7,4.0,4.9,62.0,75.6
32K299,All Grades,2006,All Students,269,,52.0,19.3,122.0,45.4,89.0,33.1,6.0,2.2,95.0,35.3
06M008,3,2006,All Students,60,648.0,7.0,11.7,22.0,36.7,31.0,51.7,0.0,0.0,31.0,51.7
09X053,3,2010,All Students,200,661.0,42.0,21.0,86.0,43.0,50.0,25.0,22.0,11.0,72.0,36.0
23K522,All Grades,2006,All Students,144,,3.0,2.1,36.0,25.0,96.0,66.7,9.0,6.3,105.0,72.9
02M413,6,2008,All Students,90,670.0,0.0,0.0,15.0,16.7,67.0,74.4,8.0,8.9,75.0,83.3
32K045,3,2010,All Students,119,662.0,20.0,16.8,44.0,37.0,36.0,30.3,19.0,16.0,55.0,46.2
13K336,6,2009,All Students,46,652.0,0.0,0.0,20.0,43.5,26.0,56.5,0.0,0.0,26.0,56.5
11X181,8,2010,All Students,215,650.0,30.0,14.0,98.0,45.6,82.0,38.1,5.0,2.3,87.0,40.5
04M375,All Grades,2011,All Students,133,658.0,21.0,15.8,77.0,57.9,35.0,26.3,0.0,0.0,35.0,26.3
04M072,4,2009,All Students,94,655.0,8.0,8.5,26.0,27.7,59.0,62.8,1.0,1.1,60.0,63.8
20K102,3,2006,All Students,142,682.0,11.0,7.7,19.0,13.4,89.0,62.7,23.0,16.2,112.0,78.9
25Q201,5,2008,All Students,47,653.0,2.0,4.3,17.0,36.2,28.0,59.6,0.0,0.0,28.0,59.6
06M278,5,2008,All Students,65,656.0,0.0,0.0,23.0,35.4,42.0,64.6,0.0,0.0,42.0,64.6
25Q193,5,2008,All Students,86,673.0,2.0,2.3,15.0,17.4,62.0,72.1,7.0,8.1,69.0,80.2
75K141,7,2007,All Students,39,587.0,21.0,53.8,14.0,35.9,4.0,10.3,0.0,0.0,4.0,10.3
02M003,4,2007,All Students,58,683.0,2.0,3.4,6.0,10.3,38.0,65.5,12.0,20.7,50.0,86.2
30Q149,3,2006,All Students,103,669.0,7.0,6.8,23.0,22.3,68.0,66.0,5.0,4.9,73.0,70.9
75M035,4,2010,All Students,5,,,,,,,,,,,
03M163,All Grades,2009,All Students,298,,7.0,2.3,52.0,17.4,196.0,65.8,43.0,14.4,239.0,80.2
06M528,All Grades,2006,All Students,273,,20.0,7.3,138.0,50.5,113.0,41.4,2.0,0.7,115.0,42.1
09X505,All Grades,2007,All Students,106,,0.0,0.0,61.0,57.5,45.0,42.5,0.0,0.0,45.0,42.5
20K179,3,2010,All Students,131,656.0,23.0,17.6,60.0,45.8,38.0,29.0,10.0,7.6,48.0,36.6
25Q154,3,2007,All Students,94,680.0,1.0,1.1,20.0,21.3,57.0,60.6,16.0,17.0,73.0,77.7
09X313,6,2010,All Students,127,649.0,46.0,36.2,62.0,48.8,18.0,14.2,1.0,0.8,19.0,15.0
11X096,3,2008,All Students,164,663.0,8.0,4.9,50.0,30.5,89.0,54.3,17.0,10.4,106.0,64.6
31R014,5,2010,All Students,96,652.0,34.0,35.4,46.0,47.9,15.0,15.6,1.0,1.0,16.0,16.7
03M334,8,2010,All Students,60,703.0,0.0,0.0,1.0,1.7,32.0,53.3,27.0,45.0,59.0,98.3
31R023,4,2009,All Students,83,678.0,3.0,3.6,9.0,10.8,58.0,69.9,13.0,15.7,71.0,85.5
20K163,5,2006,All Students,84,658.0,10.0,11.9,24.0,28.6,37.0,44.0,13.0,15.5,50.0,59.5
08X182,3,2006,All Students,131,665.0,4.0,3.1,38.0,29.0,87.0,66.4,2.0,1.5,89.0,67.9
01M034,7,2009,All Students,59,650.0,0.0,0.0,30.0,50.8,28.0,47.5,1.0,1.7,29.0,49.2
24Q128,4,2011,All Students,84,696.0,0.0,0.0,10.0,11.9,62.0,73.8,12.0,14.3,74.0,88.1
11X180,All Grades,2010,All Students,628,,77.0,12.3,271.0,43.2,254.0,40.4,26.0,4.1,280.0,44.6
01M063,5,2009,All Students,29,670.0,0.0,0.0,3.0,10.3,24.0,82.8,2.0,6.9,26.0,89.7
08X424,7,2011,All Students,113,646.0,34.0,30.1,65.0,57.5,14.0,12.4,0.0,0.0,14.0,12.4
31R024,All Grades,2008,All Students,1499,,18.0,1.2,395.0,26.4,1029.0,68.6,57.0,3.8,1086.0,72.4
09X505,All Grades,2009,All Students,149,,0.0,0.0,38.0,25.5,111.0,74.5,0.0,0.0,111.0,74.5
01M137,3,2006,All Students,36,646.0,7.0,19.4,10.0,27.8,19.0,52.8,0.0,0.0,19.0,52.8
03M044,6,2006,All Students,144,622.0,29.0,20.1,94.0,65.3,21.0,14.6,0.0,0.0,21.0,14.6
30Q111,6,2010,All Students,33,653.0,6.0,18.2,19.0,57.6,8.0,24.2,0.0,0.0,8.0,24.2
04M045,All Grades,2011,All Students,274,644.0,69.0,25.2,174.0,63.5,31.0,11.3,0.0,0.0,31.0,11.3
08X269,7,2011,All Students,60,655.0,7.0,11.7,40.0,66.7,13.0,21.7,0.0,0.0,13.0,21.7
16K028,3,2008,All Students,43,646.0,11.0,25.6,13.0,30.2,15.0,34.9,4.0,9.3,19.0,44.2
05M123,6,2009,All Students,72,658.0,0.0,0.0,19.0,26.4,53.0,73.6,0.0,0.0,53.0,73.6
31R008,3,2007,All Students,82,673.0,7.0,8.5,15.0,18.3,48.0,58.5,12.0,14.6,60.0,73.2
23K178,7,2006,All Students,40,658.0,0.0,0.0,12.0,30.0,28.0,70.0,0.0,0.0,28.0,70.0
03M084,3,2011,All Students,75,662.0,7.0,9.3,30.0,40.0,35.0,46.7,3.0,4.0,38.0,50.7
31R045,3,2011,All Students,176,663.0,20.0,11.4,66.0,37.5,86.0,48.9,4.0,2.3,90.0,51.1
31R069,3,2010,All Students,154,669.0,15.0,9.7,53.0,34.4,59.0,38.3,27.0,17.5,86.0,55.8
06M319,All Grades,2009,All Students,447,,1.0,0.2,175.0,39.1,267.0,59.7,4.0,0.9,271.0,60.6
75K368,8,2008,All Students,28,579.0,23.0,82.1,5.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0
08X123,7,2009,All Students,158,650.0,1.0,0.6,82.0,51.9,73.0,46.2,2.0,1.3,75.0,47.5
06M321,7,2010,All Students,67,651.0,17.0,25.4,37.0,55.2,12.0,17.9,1.0,1.5,13.0,19.4
20K102,3,2008,All Students,195,670.0,17.0,8.7,50.0,25.6,93.0,47.7,35.0,17.9,128.0,65.6
23K392,8,2009,All Students,86,691.0,0.0,0.0,0.0,0.0,75.0,87.2,11.0,12.8,86.0,100.0
13K265,7,2007,All Students,95,636.0,9.0,9.5,57.0,60.0,29.0,30.5,0.0,0.0,29.0,30.5
07X001,4,2009,All Students,78,644.0,5.0,6.4,43.0,55.1,30.0,38.5,0.0,0.0,30.0,38.5
29Q033,3,2011,All Students,163,663.0,11.0,6.7,57.0,35.0,91.0,55.8,4.0,2.5,95.0,58.3
75Q075,All Grades,2009,All Students,129,,31.0,24.0,76.0,58.9,22.0,17.1,0.0,0.0,22.0,17.1
30Q002,3,2007,All Students,93,663.0,9.0,9.7,19.0,20.4,58.0,62.4,7.0,7.5,65.0,69.9
26Q162,4,2011,All Students,120,684.0,2.0,1.7,21.0,17.5,93.0,77.5,4.0,3.3,97.0,80.8
21K209,3,2007,All Students,79,663.0,9.0,11.4,8.0,10.1,58.0,73.4,4.0,5.1,62.0,78.5
12X092,5,2011,All Students,79,652.0,25.0,31.6,40.0,50.6,14.0,17.7,0.0,0.0,14.0,17.7
23K332,6,2009,All Students,44,660.0,0.0,0.0,13.0,29.5,30.0,68.2,1.0,2.3,31.0,70.5
25Q189,7,2010,All Students,227,659.0,51.0,22.5,89.0,39.2,70.0,30.8,17.0,7.5,87.0,38.3
31R022,All Grades,2009,All Students,625,,23.0,3.7,134.0,21.4,433.0,69.3,35.0,5.6,468.0,74.9
01M137,3,2010,All Students,25,669.0,7.0,28.0,7.0,28.0,6.0,24.0,5.0,20.0,11.0,44.0
03M149,5,2008,All Students,45,655.0,0.0,0.0,18.0,40.0,26.0,57.8,1.0,2.2,27.0,60.0
30Q126,6,2009,All Students,198,655.0,0.0,0.0,76.0,38.4,120.0,60.6,2.0,1.0,122.0,61.6
08X140,3,2011,All Students,84,656.0,21.0,25.0,29.0,34.5,33.0,39.3,1.0,1.2,34.0,40.5
07X029,7,2011,All Students,81,652.0,11.0,13.6,60.0,74.1,10.0,12.3,0.0,0.0,10.0,12.3
19K273,4,2008,All Students,97,656.0,7.0,7.2,36.0,37.1,47.0,48.5,7.0,7.2,54.0,55.7
32K145,3,2010,All Students,131,654.0,37.0,28.2,52.0,39.7,35.0,26.7,7.0,5.3,42.0,32.1
09X145,6,2006,All Students,119,635.0,13.0,10.9,66.0,55.5,39.0,32.8,1.0,0.8,40.0,33.6
14K586,7,2011,All Students,70,650.0,11.0,15.7,53.0,75.7,6.0,8.6,0.0,0.0,6.0,8.6
10X226,All Grades,2006,All Students,126,,25.0,19.8,52.0,41.3,48.0,38.1,1.0,0.8,49.0,38.9
03M258,8,2006,All Students,86,629.0,10.0,11.6,60.0,69.8,15.0,17.4,1.0,1.2,16.0,18.6
08X146,All Grades,2007,All Students,187,,30.0,16.0,84.0,44.9,73.0,39.0,0.0,0.0,73.0,39.0
10X360,6,2009,All Students,62,656.0,0.0,0.0,21.0,33.9,40.0,64.5,1.0,1.6,41.0,66.1
02M255,7,2009,All Students,141,690.0,0.0,0.0,6.0,4.3,102.0,72.3,33.0,23.4,135.0,95.7
11X121,4,2010,All Students,129,661.0,17.0,13.2,57.0,44.2,55.0,42.6,0.0,0.0,55.0,42.6
14K250,3,2009,All Students,145,668.0,5.0,3.4,32.0,22.1,94.0,64.8,14.0,9.7,108.0,74.5
20K220,8,2008,All Students,363,638.0,36.0,9.9,201.0,55.4,126.0,34.7,0.0,0.0,126.0,34.7
16K025,All Grades,2008,All Students,173,,11.0,6.4,75.0,43.4,84.0,48.6,3.0,1.7,87.0,50.3
04M013,7,2007,All Students,159,626.0,18.0,11.3,117.0,73.6,24.0,15.1,0.0,0.0,24.0,15.1
10X024,3,2009,All Students,130,677.0,2.0,1.5,21.0,16.2,88.0,67.7,19.0,14.6,107.0,82.3
06M346,7,2008,All Students,91,639.0,5.0,5.5,59.0,64.8,27.0,29.7,0.0,0.0,27.0,29.7
32K347,6,2007,All Students,158,637.0,6.0,3.8,112.0,70.9,39.0,24.7,1.0,0.6,40.0,25.3
30Q152,3,2006,All Students,119,674.0,2.0,1.7,26.0,21.8,86.0,72.3,5.0,4.2,91.0,76.5
17K340,6,2010,All Students,86,663.0,4.0,4.7,31.0,36.0,50.0,58.1,1.0,1.2,51.0,59.3
07X025,4,2008,All Students,53,631.0,13.0,24.5,23.0,43.4,17.0,32.1,0.0,0.0,17.0,32.1
11X322,6,2007,All Students,193,649.0,5.0,2.6,92.0,47.7,89.0,46.1,7.0,3.6,96.0,49.7
13K067,4,2008,All Students,40,632.0,9.0,22.5,20.0,50.0,10.0,25.0,1.0,2.5,11.0,27.5
03M333,4,2008,All Students,85,677.0,1.0,1.2,16.0,18.8,60.0,70.6,8.0,9.4,68.0,80.0
23K323,5,2006,All Students,35,675.0,0.0,0.0,4.0,11.4,29.0,82.9,2.0,5.7,31.0,88.6
32K075,4,2009,All Students,80,656.0,4.0,5.0,31.0,38.8,42.0,52.5,3.0,3.8,45.0,56.3
04M825,6,2007,All Students,94,642.0,2.0,2.1,61.0,64.9,31.0,33.0,0.0,0.0,31.0,33.0
10X054,3,2010,All Students,74,655.0,16.0,21.6,36.0,48.6,18.0,24.3,4.0,5.4,22.0,29.7
27Q333,3,2007,All Students,14,667.0,0.0,0.0,4.0,28.6,10.0,71.4,0.0,0.0,10.0,71.4
22K255,5,2007,All Students,94,677.0,1.0,1.1,17.0,18.1,64.0,68.1,12.0,12.8,76.0,80.9
05M125,All Grades,2009,All Students,334,,20.0,6.0,118.0,35.3,191.0,57.2,5.0,1.5,196.0,58.7
02M033,4,2011,All Students,36,679.0,3.0,8.3,11.0,30.6,20.0,55.6,2.0,5.6,22.0,61.1
06M004,5,2008,All Students,74,648.0,5.0,6.8,28.0,37.8,41.0,55.4,0.0,0.0,41.0,55.4
31R003,3,2010,All Students,137,674.0,13.0,9.5,33.0,24.1,60.0,43.8,31.0,22.6,91.0,66.4
75K372,All Grades,2007,All Students,218,,10.0,4.6,38.0,17.4,140.0,64.2,30.0,13.8,170.0,78.0
06M311,5,2011,All Students,43,670.0,4.0,9.3,12.0,27.9,27.0,62.8,0.0,0.0,27.0,62.8
01M110,4,2009,All Students,81,670.0,2.0,2.5,17.0,21.0,56.0,69.1,6.0,7.4,62.0,76.5
25Q164,6,2008,All Students,88,663.0,1.0,1.1,24.0,27.3,59.0,67.0,4.0,4.5,63.0,71.6
06M210,All Grades,2010,All Students,264,,32.0,12.1,143.0,54.2,81.0,30.7,8.0,3.0,89.0,33.7
28Q175,All Grades,2008,All Students,260,,9.0,3.5,39.0,15.0,170.0,65.4,42.0,16.2,212.0,81.5
28Q055,3,2011,All Students,91,654.0,16.0,17.6,33.0,36.3,40.0,44.0,2.0,2.2,42.0,46.2
15K261,4,2010,All Students,110,680.0,6.0,5.5,30.0,27.3,63.0,57.3,11.0,10.0,74.0,67.3
29Q208,3,2010,All Students,79,677.0,8.0,10.1,22.0,27.8,33.0,41.8,16.0,20.3,49.0,62.0
31R008,All Grades,2010,All Students,188,,6.0,3.2,40.0,21.3,100.0,53.2,42.0,22.3,142.0,75.5
27Q183,6,2007,All Students,77,642.0,7.0,9.1,46.0,59.7,22.0,28.6,2.0,2.6,24.0,31.2
08X337,8,2007,All Students,97,636.0,3.0,3.1,69.0,71.1,25.0,25.8,0.0,0.0,25.0,25.8
15K463,All Grades,2007,All Students,182,,15.0,8.2,103.0,56.6,62.0,34.1,2.0,1.1,64.0,35.2
11X194,3,2008,All Students,118,657.0,13.0,11.0,40.0,33.9,54.0,45.8,11.0,9.3,65.0,55.1
24Q049,5,2006,All Students,75,674.0,2.0,2.7,12.0,16.0,43.0,57.3,18.0,24.0,61.0,81.3
10X032,All Grades,2011,All Students,362,667.0,26.0,7.2,140.0,38.7,188.0,51.9,8.0,2.2,196.0,54.1
24Q073,7,2007,All Students,637,648.0,49.0,7.7,276.0,43.3,291.0,45.7,21.0,3.3,312.0,49.0
09X323,All Grades,2006,All Students,536,,78.0,14.6,297.0,55.4,155.0,28.9,6.0,1.1,161.0,30.0
29Q136,3,2009,All Students,120,643.0,16.0,13.3,47.0,39.2,56.0,46.7,1.0,0.8,57.0,47.5
08X371,6,2010,All Students,84,660.0,11.0,13.1,32.0,38.1,40.0,47.6,1.0,1.2,41.0,48.8
20K503,5,2009,All Students,131,663.0,1.0,0.8,32.0,24.4,93.0,71.0,5.0,3.8,98.0,74.8
14K196,5,2010,All Students,62,662.0,8.0,12.9,32.0,51.6,21.0,33.9,1.0,1.6,22.0,35.5
17K399,5,2008,All Students,64,684.0,0.0,0.0,4.0,6.3,53.0,82.8,7.0,10.9,60.0,93.8
07X025,All Grades,2008,All Students,231,,47.0,20.3,107.0,46.3,74.0,32.0,3.0,1.3,77.0,33.3
30Q085,4,2008,All Students,42,675.0,0.0,0.0,5.0,11.9,34.0,81.0,3.0,7.1,37.0,88.1
29Q156,3,2009,All Students,93,659.0,7.0,7.5,22.0,23.7,62.0,66.7,2.0,2.2,64.0,68.8
31R072,6,2007,All Students,562,657.0,12.0,2.1,215.0,38.3,301.0,53.6,34.0,6.0,335.0,59.6
13K133,3,2009,All Students,40,662.0,0.0,0.0,14.0,35.0,25.0,62.5,1.0,2.5,26.0,65.0
15K146,4,2007,All Students,74,685.0,0.0,0.0,7.0,9.5,55.0,74.3,12.0,16.2,67.0,90.5
05M046,4,2010,All Students,93,660.0,13.0,14.0,50.0,53.8,30.0,32.3,0.0,0.0,30.0,32.3
27Q207,5,2009,All Students,74,677.0,0.0,0.0,10.0,13.5,56.0,75.7,8.0,10.8,64.0,86.5
10X244,All Grades,2010,All Students,694,,117.0,16.9,405.0,58.4,159.0,22.9,13.0,1.9,172.0,24.8
10X054,5,2006,All Students,72,627.0,16.0,22.2,33.0,45.8,23.0,31.9,0.0,0.0,23.0,31.9
75M035,5,2008,All Students,3,,,,,,,,,,,
17K399,4,2010,All Students,87,684.0,0.0,0.0,17.0,19.5,67.0,77.0,3.0,3.4,70.0,80.5
15K429,8,2007,All Students,49,639.0,1.0,2.0,35.0,71.4,13.0,26.5,0.0,0.0,13.0,26.5
23K184,5,2008,All Students,54,648.0,4.0,7.4,20.0,37.0,30.0,55.6,0.0,0.0,30.0,55.6
30Q227,7,2007,All Students,407,671.0,6.0,1.5,74.0,18.2,288.0,70.8,39.0,9.6,327.0,80.3
23K178,4,2009,All Students,64,671.0,0.0,0.0,12.0,18.8,48.0,75.0,4.0,6.3,52.0,81.3
20K030,All Grades,2006,All Students,328,,16.0,4.9,140.0,42.7,137.0,41.8,35.0,10.7,172.0,52.4
24Q058,All Grades,2011,All Students,527,670.0,38.0,7.2,168.0,31.9,298.0,56.5,23.0,4.4,321.0,60.9
08X071,8,2010,All Students,129,654.0,9.0,7.0,63.0,48.8,53.0,41.1,4.0,3.1,57.0,44.2
20K205,All Grades,2007,All Students,402,,32.0,8.0,114.0,28.4,239.0,59.5,17.0,4.2,256.0,63.7
14K059,All Grades,2007,All Students,257,,44.0,17.1,115.0,44.7,97.0,37.7,1.0,0.4,98.0,38.1
28Q896,7,2009,All Students,79,667.0,0.0,0.0,7.0,8.9,71.0,89.9,1.0,1.3,72.0,91.1
08X182,4,2009,All Students,155,665.0,3.0,1.9,38.0,24.5,109.0,70.3,5.0,3.2,114.0,73.5
29Q147,3,2010,All Students,87,655.0,16.0,18.4,42.0,48.3,27.0,31.0,2.0,2.3,29.0,33.3
10X094,All Grades,2009,All Students,469,,37.0,7.9,185.0,39.4,234.0,49.9,13.0,2.8,247.0,52.7
30Q230,All Grades,2010,All Students,912,,82.0,9.0,362.0,39.7,407.0,44.6,61.0,6.7,468.0,51.3
09X004,8,2006,All Students,52,623.0,9.0,17.3,35.0,67.3,8.0,15.4,0.0,0.0,8.0,15.4
75M811,6,2007,All Students,26,614.0,6.0,23.1,19.0,73.1,1.0,3.8,0.0,0.0,1.0,3.8
24Q058,3,2009,All Students,130,677.0,2.0,1.5,15.0,11.5,94.0,72.3,19.0,14.6,113.0,86.9
19K013,4,2009,All Students,87,645.0,14.0,16.1,34.0,39.1,37.0,42.5,2.0,2.3,39.0,44.8
09X517,All Grades,2009,All Students,186,,0.0,0.0,85.0,45.7,100.0,53.8,1.0,0.5,101.0,54.3
01M184,7,2011,All Students,48,680.0,0.0,0.0,4.0,8.3,38.0,79.2,6.0,12.5,44.0,91.7
22K255,3,2007,All Students,97,677.0,4.0,4.1,20.0,20.6,57.0,58.8,16.0,16.5,73.0,75.3
18K276,5,2008,All Students,134,661.0,3.0,2.2,35.0,26.1,94.0,70.1,2.0,1.5,96.0,71.6
20K247,All Grades,2007,All Students,273,,11.0,4.0,47.0,17.2,196.0,71.8,19.0,7.0,215.0,78.8
17K189,8,2008,All Students,131,661.0,3.0,2.3,45.0,34.4,78.0,59.5,5.0,3.8,83.0,63.4
09X241,6,2006,All Students,78,653.0,1.0,1.3,35.0,44.9,40.0,51.3,2.0,2.6,42.0,53.8
21K209,3,2006,All Students,58,675.0,6.0,10.3,10.0,17.2,37.0,63.8,5.0,8.6,42.0,72.4
13K044,4,2006,All Students,99,665.0,7.0,7.1,28.0,28.3,55.0,55.6,9.0,9.1,64.0,64.6
75Q009,6,2009,All Students,35,640.0,1.0,2.9,18.0,51.4,16.0,45.7,0.0,0.0,16.0,45.7
19K013,3,2008,All Students,92,644.0,20.0,21.7,35.0,38.0,32.0,34.8,5.0,5.4,37.0,40.2
06M143,8,2008,All Students,327,629.0,51.0,15.6,209.0,63.9,67.0,20.5,0.0,0.0,67.0,20.5
14K016,3,2008,All Students,65,643.0,11.0,16.9,27.0,41.5,27.0,41.5,0.0,0.0,27.0,41.5
13K044,All Grades,2007,All Students,289,,20.0,6.9,89.0,30.8,163.0,56.4,17.0,5.9,180.0,62.3
10X340,3,2009,All Students,68,661.0,1.0,1.5,21.0,30.9,44.0,64.7,2.0,2.9,46.0,67.6
07X179,3,2007,All Students,55,644.0,8.0,14.5,24.0,43.6,22.0,40.0,1.0,1.8,23.0,41.8
10X015,3,2011,All Students,54,661.0,5.0,9.3,24.0,44.4,25.0,46.3,0.0,0.0,25.0,46.3
19K174,3,2007,All Students,63,646.0,8.0,12.7,29.0,46.0,25.0,39.7,1.0,1.6,26.0,41.3
05M133,3,2008,All Students,33,636.0,7.0,21.2,12.0,36.4,13.0,39.4,1.0,3.0,14.0,42.4
20K176,All Grades,2007,All Students,541,,44.0,8.1,130.0,24.0,305.0,56.4,62.0,11.5,367.0,67.8
12X372,8,2010,All Students,119,643.0,24.0,20.2,65.0,54.6,29.0,24.4,1.0,0.8,30.0,25.2
14K018,3,2007,All Students,55,649.0,2.0,3.6,29.0,52.7,24.0,43.6,0.0,0.0,24.0,43.6
16K005,4,2011,All Students,68,668.0,8.0,11.8,26.0,38.2,33.0,48.5,1.0,1.5,34.0,50.0
15K172,All Grades,2011,All Students,237,682.0,0.0,0.0,30.0,12.7,178.0,75.1,29.0,12.2,207.0,87.3
17K241,5,2006,All Students,105,656.0,3.0,2.9,35.0,33.3,63.0,60.0,4.0,3.8,67.0,63.8
15K001,All Grades,2007,All Students,426,,38.0,8.9,184.0,43.2,191.0,44.8,13.0,3.1,204.0,47.9
75X010,6,2010,All Students,18,637.0,11.0,61.1,6.0,33.3,1.0,5.6,0.0,0.0,1.0,5.6
19K224,All Grades,2011,All Students,439,656.0,85.0,19.4,226.0,51.5,125.0,28.5,3.0,0.7,128.0,29.2
31R060,3,2007,All Students,133,660.0,14.0,10.5,37.0,27.8,74.0,55.6,8.0,6.0,82.0,61.7
12X271,7,2009,All Students,81,647.0,1.0,1.2,39.0,48.1,41.0,50.6,0.0,0.0,41.0,50.6
15K029,4,2008,All Students,79,682.0,4.0,5.1,9.0,11.4,56.0,70.9,10.0,12.7,66.0,83.5
75K231,6,2006,All Students,1,,,,,,,,,,,
15K130,4,2011,All Students,85,678.0,4.0,4.7,18.0,21.2,62.0,72.9,1.0,1.2,63.0,74.1
11X021,3,2007,All Students,130,648.0,19.0,14.6,54.0,41.5,50.0,38.5,7.0,5.4,57.0,43.8
10X246,5,2007,All Students,136,636.0,30.0,22.1,66.0,48.5,37.0,27.2,3.0,2.2,40.0,29.4
29Q176,3,2009,All Students,116,671.0,2.0,1.7,20.0,17.2,83.0,71.6,11.0,9.5,94.0,81.0
21K253,All Grades,2007,All Students,242,,35.0,14.5,96.0,39.7,108.0,44.6,3.0,1.2,111.0,45.9
22K078,6,2011,All Students,362,657.0,50.0,13.8,176.0,48.6,130.0,35.9,6.0,1.7,136.0,37.6
27Q262,6,2011,All Students,69,659.0,7.0,10.1,26.0,37.7,36.0,52.2,0.0,0.0,36.0,52.2
01M015,5,2007,All Students,48,637.0,5.0,10.4,28.0,58.3,15.0,31.3,0.0,0.0,15.0,31.3
07X162,6,2006,All Students,326,636.0,42.0,12.9,175.0,53.7,104.0,31.9,5.0,1.5,109.0,33.4
02M150,All Grades,2011,All Students,77,683.0,0.0,0.0,11.0,14.3,59.0,76.6,7.0,9.1,66.0,85.7
12X190,7,2006,All Students,86,633.0,9.0,10.5,53.0,61.6,24.0,27.9,0.0,0.0,24.0,27.9
