all/school_esl.DBN,all/school_esl.Grade,all/school_esl.Year,all/school_esl.Category,all/school_esl.Number Tested,all/school_esl.Mean Scale Score,all/school_esl.Level 1 #,all/school_esl.Level 1 %,all/school_esl.Level 2 #,all/school_esl.Level 2 %,all/school_esl.Level 3 #,all/school_esl.Level 3 %,all/school_esl.Level 4 #,all/school_esl.Level 4 %,all/school_esl.Level 3+4 #,all/school_esl.Level 3+4 %
75K141,5,2008,All Students,1,,,,,,,,,,,
21K209,All Grades,2007,All Students,381,,19.0,5.0,122.0,32.0,228.0,59.8,12.0,3.1,240.0,63.0
24Q016,All Grades,2007,All Students,609,,46.0,7.6,191.0,31.4,338.0,55.5,34.0,5.6,372.0,61.1
02M104,All Grades,2008,All Students,973,,20.0,2.1,249.0,25.6,654.0,67.2,50.0,5.1,704.0,72.4
12X217,8,2006,All Students,129,632.0,15.0,11.6,82.0,63.6,32.0,24.8,0.0,0.0,32.0,24.8
12X273,8,2007,All Students,75,649.0,2.0,2.7,31.0,41.3,42.0,56.0,0.0,0.0,42.0,56.0
17K394,4,2006,All Students,44,663.0,2.0,4.5,15.0,34.1,24.0,54.5,3.0,6.8,27.0,61.4
31R006,All Grades,2010,All Students,435,,29.0,6.7,138.0,31.7,220.0,50.6,48.0,11.0,268.0,61.6
27Q210,All Grades,2006,All Students,2047,,173.0,8.5,823.0,40.2,923.0,45.1,128.0,6.3,1051.0,51.3
18K219,4,2009,All Students,137,666.0,2.0,1.5,28.0,20.4,106.0,77.4,1.0,0.7,107.0,78.1
20K160,5,2007,All Students,119,658.0,4.0,3.4,35.0,29.4,79.0,66.4,1.0,0.8,80.0,67.2
05M161,4,2007,All Students,126,648.0,22.0,17.5,44.0,34.9,55.0,43.7,5.0,4.0,60.0,47.6
25Q194,7,2010,All Students,362,679.0,15.0,4.1,113.0,31.2,172.0,47.5,62.0,17.1,234.0,64.6
15K136,6,2007,All Students,125,636.0,11.0,8.8,83.0,66.4,31.0,24.8,0.0,0.0,31.0,24.8
26Q046,4,2011,All Students,74,695.0,0.0,0.0,11.0,14.9,52.0,70.3,11.0,14.9,63.0,85.1
14K019,3,2007,All Students,123,640.0,26.0,21.1,53.0,43.1,42.0,34.1,2.0,1.6,44.0,35.8
23K697,7,2009,All Students,55,663.0,0.0,0.0,11.0,20.0,43.0,78.2,1.0,1.8,44.0,80.0
08X071,7,2010,All Students,149,665.0,8.0,5.4,75.0,50.3,58.0,38.9,8.0,5.4,66.0,44.3
19K174,3,2008,All Students,30,644.0,2.0,6.7,18.0,60.0,9.0,30.0,1.0,3.3,10.0,33.3
11X144,7,2011,All Students,284,655.0,45.0,15.8,167.0,58.8,72.0,25.4,0.0,0.0,72.0,25.4
29Q268,3,2011,All Students,52,661.0,4.0,7.7,22.0,42.3,26.0,50.0,0.0,0.0,26.0,50.0
12X300,5,2010,All Students,83,655.0,24.0,28.9,40.0,48.2,16.0,19.3,3.0,3.6,19.0,22.9
27Q114,4,2011,All Students,107,692.0,1.0,0.9,16.0,15.0,83.0,77.6,7.0,6.5,90.0,84.1
13K011,3,2008,All Students,67,661.0,4.0,6.0,20.0,29.9,37.0,55.2,6.0,9.0,43.0,64.2
75K140,5,2006,All Students,25,577.0,18.0,72.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
17K241,4,2008,All Students,97,655.0,9.0,9.3,31.0,32.0,53.0,54.6,4.0,4.1,57.0,58.8
18K276,5,2006,All Students,188,661.0,8.0,4.3,57.0,30.3,104.0,55.3,19.0,10.1,123.0,65.4
03M084,4,2011,All Students,54,664.0,4.0,7.4,28.0,51.9,22.0,40.7,0.0,0.0,22.0,40.7
20K164,All Grades,2010,All Students,177,,9.0,5.1,65.0,36.7,78.0,44.1,25.0,14.1,103.0,58.2
28Q157,8,2008,All Students,287,660.0,17.0,5.9,108.0,37.6,138.0,48.1,24.0,8.4,162.0,56.4
03M149,All Grades,2006,All Students,316,,66.0,20.9,184.0,58.2,65.0,20.6,1.0,0.3,66.0,20.9
23K178,4,2007,All Students,64,641.0,7.0,10.9,31.0,48.4,25.0,39.1,1.0,1.6,26.0,40.6
